object,worker,response
0,3,0
0,8,1
0,9,0
0,23,0
0,11,1
0,13,0
0,15,0
0,16,0
0,18,0
0,27,1
1,0,0
1,3,1
1,4,0
1,6,0
1,8,1
1,11,1
1,12,0
1,13,1
1,26,0
1,16,0
2,0,1
2,1,1
2,6,0
2,9,1
2,23,1
2,11,1
2,13,1
2,14,0
2,18,1
2,31,0
3,2,0
3,4,1
3,7,0
3,8,1
3,10,1
3,12,1
3,26,0
3,15,0
3,16,0
3,31,0
4,2,1
4,3,0
4,5,1
4,7,1
4,8,1
4,11,0
4,12,0
4,16,1
4,32,1
4,42,1
5,20,0
5,3,1
5,4,0
5,5,0
5,7,1
5,8,1
5,10,0
5,23,1
5,12,0
5,14,0
6,2,0
6,6,0
6,8,0
6,11,1
6,13,0
6,15,0
6,29,0
6,17,0
6,27,1
6,72,0
7,2,0
7,3,0
7,22,0
7,8,0
7,9,0
7,10,0
7,11,1
7,13,0
7,14,0
7,18,0
8,2,0
8,4,0
8,9,0
8,10,0
8,12,1
8,13,0
8,26,1
8,16,0
8,29,0
8,18,0
9,0,0
9,4,0
9,5,0
9,8,1
9,11,1
9,13,1
9,14,0
9,15,0
9,16,0
9,18,0
10,3,1
10,21,0
10,7,0
10,9,0
10,10,1
10,12,1
10,16,0
10,17,0
10,18,1
10,30,0
11,1,0
11,2,0
11,3,0
11,5,0
11,21,1
11,9,0
11,23,0
11,13,0
11,18,0
11,28,0
12,20,0
12,3,1
12,6,0
12,8,1
12,9,0
12,11,1
12,12,1
12,13,0
12,29,0
12,18,1
13,4,0
13,5,0
13,7,0
13,8,1
13,9,0
13,11,1
13,12,1
13,13,1
13,14,0
13,18,0
14,20,0
14,2,0
14,8,0
14,9,0
14,12,1
14,13,0
14,26,1
14,16,0
14,29,0
14,18,0
15,1,1
15,20,0
15,3,1
15,25,1
15,7,0
15,10,0
15,23,0
15,11,1
15,13,0
15,18,1
16,20,1
16,2,1
16,22,0
16,7,1
16,10,0
16,23,1
16,11,1
16,12,1
16,18,1
16,19,1
17,20,0
17,2,0
17,5,0
17,8,0
17,11,1
17,12,1
17,15,0
17,29,1
17,31,0
17,42,0
18,3,0
18,5,0
18,6,0
18,7,0
18,8,1
18,10,0
18,23,0
18,12,0
18,29,0
18,18,0
19,20,0
19,3,1
19,22,1
19,7,1
19,9,0
19,23,0
19,26,1
19,16,0
19,18,1
19,19,1
20,22,1
20,7,0
20,8,1
20,10,0
20,11,1
20,13,0
20,14,0
20,15,0
20,16,0
20,18,0
21,20,0
21,2,1
21,4,0
21,6,0
21,7,0
21,9,0
21,26,0
21,15,0
21,29,0
21,17,0
22,0,0
22,20,1
22,5,0
22,8,0
22,9,0
22,10,0
22,23,0
22,12,1
22,13,0
22,42,0
23,20,0
23,3,1
23,4,0
23,6,0
23,22,1
23,25,1
23,8,0
23,23,0
23,17,0
23,18,0
24,0,0
24,2,0
24,3,0
24,7,0
24,23,0
24,12,1
24,13,0
24,16,0
24,31,0
24,32,0
25,0,0
25,2,1
25,3,0
25,5,0
25,21,1
25,6,0
25,23,0
25,12,1
25,13,0
25,18,0
26,0,1
26,20,1
26,3,1
26,25,1
26,7,0
26,8,1
26,11,1
26,15,0
26,29,1
26,18,1
27,1,0
27,2,1
27,3,1
27,21,0
27,22,0
27,25,1
27,8,0
27,9,0
27,18,1
27,27,0
28,0,1
28,2,1
28,5,1
28,6,1
28,7,1
28,9,1
28,23,1
28,26,0
28,31,1
28,32,1
29,3,0
29,5,0
29,6,1
29,8,0
29,10,0
29,11,0
29,12,0
29,26,0
29,18,1
29,48,1
30,1,0
30,20,0
30,2,0
30,3,0
30,6,0
30,8,1
30,23,0
30,11,1
30,13,0
30,15,0
31,20,1
31,2,1
31,3,1
31,6,1
31,22,0
31,7,1
31,13,1
31,14,1
31,15,1
31,16,1
32,20,1
32,3,0
32,5,0
32,6,0
32,25,1
32,7,0
32,9,1
32,16,1
32,18,1
32,28,0
33,0,0
33,2,0
33,4,0
33,6,0
33,25,1
33,9,0
33,10,0
33,23,0
33,18,0
33,19,1
34,0,0
34,2,0
34,25,1
34,7,0
34,23,0
34,11,1
34,12,0
34,13,0
34,26,0
34,32,0
35,0,1
35,1,1
35,3,1
35,6,1
35,8,1
35,9,1
35,10,1
35,29,1
35,18,1
35,31,1
36,0,1
36,2,1
36,5,0
36,21,0
36,7,1
36,8,1
36,11,1
36,14,1
36,15,1
36,16,0
37,20,0
37,21,0
37,7,1
37,9,1
37,10,1
37,11,0
37,13,1
37,15,0
37,29,1
37,18,1
38,0,1
38,1,1
38,4,1
38,21,0
38,7,1
38,9,1
38,11,1
38,13,1
38,14,1
38,18,1
39,0,0
39,4,0
39,5,1
39,6,0
39,10,1
39,23,0
39,12,0
39,13,1
39,15,0
39,28,1
40,0,0
40,1,0
40,2,0
40,3,0
40,6,0
40,8,0
40,10,0
40,12,1
40,15,0
40,18,0
41,0,0
41,2,0
41,5,0
41,21,1
41,6,0
41,8,0
41,11,1
41,14,0
41,32,0
41,44,0
42,0,0
42,1,0
42,3,0
42,22,1
42,7,0
42,10,0
42,16,0
42,18,0
42,27,1
42,19,1
43,1,1
43,2,0
43,4,0
43,6,0
43,8,0
43,10,1
43,23,1
43,12,0
43,17,0
43,19,1
44,20,0
44,2,0
44,3,0
44,5,0
44,6,0
44,22,1
44,9,0
44,11,1
44,29,0
44,27,0
45,0,0
45,4,1
45,7,1
45,11,1
45,12,1
45,13,1
45,26,1
45,15,1
45,29,0
45,18,1
46,0,0
46,2,0
46,6,0
46,23,0
46,13,0
46,26,1
46,15,0
46,18,0
46,31,0
46,28,0
47,0,1
47,3,1
47,5,0
47,6,0
47,7,0
47,9,1
47,10,0
47,12,1
47,13,0
47,18,0
48,2,1
48,3,0
48,25,1
48,7,1
48,8,1
48,11,0
48,13,1
48,14,1
48,16,1
48,19,0
49,2,0
49,22,1
49,8,1
49,23,0
49,11,1
49,12,0
49,26,0
49,29,0
49,18,0
49,19,1
50,0,0
50,2,0
50,5,0
50,25,0
50,9,0
50,10,1
50,15,0
50,17,0
50,28,0
50,39,0
51,2,1
51,10,0
51,12,0
51,13,1
51,14,1
51,26,0
51,29,0
51,17,1
51,18,1
51,27,1
52,2,0
52,6,0
52,25,1
52,7,0
52,8,0
52,9,0
52,12,0
52,14,0
52,26,1
52,55,0
53,0,0
53,1,0
53,20,0
53,25,1
53,7,0
53,9,0
53,10,0
53,11,1
53,12,1
53,13,0
54,0,0
54,2,0
54,3,0
54,6,0
54,8,1
54,9,0
54,10,1
54,16,0
54,31,0
54,19,1
55,0,1
55,1,1
55,2,1
55,4,1
55,6,1
55,14,1
55,15,1
55,16,1
55,18,1
55,31,1
56,0,0
56,2,1
56,6,0
56,22,1
56,23,0
56,11,1
56,12,0
56,15,0
56,17,0
56,18,0
57,20,1
57,2,0
57,5,1
57,6,1
57,13,0
57,16,1
57,18,1
57,27,1
57,55,0
57,51,0
58,0,1
58,5,1
58,7,1
58,8,1
58,9,1
58,12,1
58,26,0
58,16,0
58,40,1
58,41,1
59,0,0
59,1,0
59,2,1
59,3,1
59,4,0
59,9,0
59,10,0
59,23,0
59,12,0
59,26,1
60,0,1
60,20,1
60,8,1
60,9,0
60,10,1
60,11,0
60,13,0
60,16,1
60,18,0
60,28,1
61,1,1
61,5,0
61,7,0
61,8,0
61,9,0
61,12,0
61,26,1
61,17,0
61,19,1
61,45,0
62,0,0
62,2,0
62,4,0
62,5,0
62,6,0
62,9,0
62,12,1
62,14,0
62,16,0
62,31,0
63,0,0
63,3,1
63,6,0
63,22,1
63,10,0
63,11,1
63,12,1
63,15,0
63,32,0
63,19,1
64,0,1
64,2,1
64,3,0
64,5,0
64,25,0
64,9,1
64,23,1
64,26,1
64,27,1
64,24,0
65,0,0
65,20,0
65,2,0
65,4,0
65,7,0
65,8,1
65,23,0
65,11,1
65,18,0
65,19,1
66,0,1
66,2,1
66,3,1
66,4,0
66,7,1
66,8,1
66,29,1
66,18,1
66,31,1
66,43,1
67,20,1
67,2,1
67,22,0
67,7,1
67,8,1
67,9,1
67,23,1
67,13,1
67,16,1
67,32,1
68,1,1
68,3,0
68,5,1
68,6,0
68,22,1
68,7,0
68,13,0
68,16,0
68,18,0
68,19,1
69,3,1
69,4,0
69,25,1
69,8,0
69,10,0
69,11,1
69,13,0
69,31,0
69,38,0
69,48,0
70,0,0
70,2,0
70,4,1
70,6,0
70,22,0
70,25,1
70,7,0
70,8,1
70,23,0
70,11,1
71,2,1
71,4,0
71,8,1
71,9,0
71,10,1
71,12,1
71,26,0
71,15,0
71,31,0
71,55,0
72,0,0
72,20,0
72,2,1
72,3,1
72,4,0
72,6,0
72,7,0
72,8,0
72,9,0
72,29,0
73,2,1
73,4,1
73,6,0
73,8,1
73,10,0
73,11,1
73,26,1
73,15,1
73,27,1
73,32,1
74,1,1
74,8,1
74,11,1
74,12,1
74,16,1
74,29,1
74,18,0
74,31,1
74,32,1
74,19,0
75,3,0
75,7,0
75,10,1
75,23,0
75,11,1
75,12,1
75,16,1
75,29,0
75,18,1
75,31,0
76,0,1
76,20,1
76,25,0
76,7,1
76,8,1
76,9,1
76,12,0
76,26,1
76,16,1
76,18,1
77,1,1
77,5,1
77,21,0
77,7,1
77,10,1
77,23,1
77,12,1
77,26,0
77,18,1
77,28,1
78,0,0
78,1,0
78,4,1
78,22,1
78,8,1
78,12,0
78,13,0
78,15,0
78,16,0
78,44,0
79,0,0
79,4,0
79,5,0
79,21,1
79,6,0
79,7,0
79,11,1
79,12,1
79,26,1
79,16,1
80,0,0
80,6,0
80,8,1
80,9,0
80,12,0
80,13,0
80,26,1
80,16,0
80,31,0
80,19,1
81,1,1
81,4,1
81,5,1
81,21,0
81,25,0
81,7,0
81,23,1
81,15,0
81,18,1
81,28,1
82,5,1
82,6,1
82,7,1
82,8,1
82,10,1
82,23,1
82,12,1
82,29,1
82,27,1
82,38,1
83,0,0
83,2,0
83,3,0
83,5,0
83,6,0
83,25,1
83,10,0
83,23,0
83,18,0
83,28,0
84,0,0
84,1,0
84,2,0
84,6,0
84,7,0
84,23,0
84,11,1
84,17,0
84,18,0
84,28,1
85,20,1
85,2,1
85,3,1
85,4,0
85,6,0
85,7,0
85,8,0
85,9,0
85,11,1
85,12,0
86,0,0
86,2,0
86,3,0
86,4,0
86,6,0
86,11,1
86,12,0
86,13,0
86,18,0
86,19,1
87,20,1
87,3,0
87,5,1
87,22,0
87,25,0
87,7,1
87,9,1
87,26,0
87,18,1
87,27,1
88,20,1
88,3,1
88,6,0
88,7,1
88,8,1
88,11,1
88,13,0
88,26,1
88,29,1
88,18,1
89,0,0
89,2,0
89,3,0
89,21,0
89,6,0
89,7,0
89,9,0
89,23,0
89,11,1
89,27,0
90,20,0
90,2,0
90,3,0
90,21,1
90,22,1
90,8,0
90,11,1
90,13,0
90,15,0
90,31,0
91,3,1
91,6,0
91,9,0
91,10,0
91,12,1
91,14,0
91,26,0
91,15,0
91,18,0
91,32,1
92,1,1
92,3,1
92,6,0
92,22,1
92,9,0
92,13,1
92,15,0
92,16,0
92,29,1
92,17,0
93,1,0
93,5,0
93,6,0
93,8,1
93,9,0
93,23,0
93,11,1
93,12,1
93,14,0
93,19,1
94,4,1
94,5,1
94,6,1
94,25,0
94,10,1
94,12,1
94,14,1
94,15,1
94,16,1
94,27,1
95,3,1
95,21,0
95,6,1
95,22,0
95,8,1
95,11,1
95,12,0
95,13,1
95,14,1
95,16,1
96,0,0
96,2,0
96,4,0
96,25,0
96,9,0
96,13,0
96,15,0
96,18,0
96,44,0
96,48,0
97,0,1
97,1,1
97,20,1
97,4,1
97,21,0
97,7,1
97,11,1
97,26,0
97,17,1
97,18,1
98,1,0
98,2,1
98,3,0
98,6,0
98,11,1
98,13,1
98,16,1
98,32,1
98,38,0
98,42,1
99,0,0
99,2,0
99,4,0
99,21,1
99,6,0
99,25,1
99,10,0
99,11,1
99,15,0
99,31,0
100,20,1
100,6,0
100,8,1
100,9,0
100,10,0
100,23,0
100,11,1
100,13,0
100,29,0
100,18,0
101,0,0
101,20,0
101,5,0
101,8,0
101,9,0
101,12,0
101,13,0
101,15,0
101,29,0
101,18,0
102,0,0
102,2,1
102,3,0
102,5,1
102,7,0
102,23,0
102,12,0
102,13,1
102,16,0
102,18,0
103,2,0
103,5,0
103,6,0
103,7,0
103,10,1
103,23,1
103,11,1
103,12,1
103,15,0
103,16,0
104,3,0
104,4,1
104,5,1
104,6,1
104,7,0
104,9,0
104,10,0
104,12,0
104,13,1
104,29,0
105,1,1
105,6,0
105,8,1
105,9,1
105,23,1
105,11,1
105,12,0
105,13,1
105,29,0
105,18,1
106,2,1
106,3,1
106,4,0
106,6,0
106,22,1
106,7,0
106,8,1
106,23,0
106,12,0
106,18,1
107,0,1
107,1,1
107,20,1
107,3,1
107,5,1
107,8,1
107,23,1
107,12,1
107,14,1
107,31,1
108,2,1
108,4,1
108,5,1
108,6,0
108,22,0
108,9,1
108,10,1
108,12,1
108,13,1
108,31,1
109,0,1
109,20,1
109,2,1
109,25,0
109,7,0
109,9,1
109,13,1
109,29,1
109,18,0
109,19,1
110,3,0
110,6,0
110,25,1
110,8,1
110,12,1
110,13,0
110,14,0
110,26,1
110,16,0
110,18,0
111,1,0
