@relation 'music_genre_gold-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M31'

@attribute -0.133feature49-0.133feature50-0.133feature48-0.133feature51-0.133feature59... numeric
@attribute 0.206feature105+0.199feature106+0.188feature104+0.187feature107+0.179feature108... numeric
@attribute -0.186feature40-0.178feature39-0.178feature38-0.177feature41-0.173feature42... numeric
@attribute -0.257feature60-0.238feature1-0.231feature0-0.212feature29+0.178feature64... numeric
@attribute '0.294feature63+0.278feature62+0.24 feature1+0.238feature94+0.217feature93...' numeric
@attribute -0.309feature69-0.27feature70+0.251feature96-0.24feature100+0.229feature34... numeric
@attribute 0.255feature5-0.222feature6-0.217feature95-0.197feature62-0.184feature10... numeric
@attribute 0.312feature123+0.302feature92+0.279feature61-0.263feature109+0.257feature30... numeric
@attribute -0.296feature65-0.27feature96-0.234feature4-0.197feature108-0.193feature34... numeric
@attribute '0.252feature65-0.241feature9+0.231feature96+0.22 feature74-0.217feature99...' numeric
@attribute -0.297feature14-0.263feature13-0.249feature7+0.224feature8-0.209feature65... numeric
@attribute 0.306feature9-0.255feature16+0.245feature122-0.239feature15+0.237feature12... numeric
@attribute 0.366feature16-0.285feature6+0.274feature15-0.257feature11+0.244feature122... numeric
@attribute '-0.476feature7-0.282feature9+0.238feature71-0.211feature66+0.18 feature8...' numeric
@attribute '0.399feature12+0.3  feature10-0.259feature11-0.22feature9-0.207feature6...' numeric
@attribute -0.368feature15+0.355feature11-0.315feature10+0.196feature64-0.195feature7... numeric
@attribute -0.393feature8-0.304feature10-0.29feature9-0.227feature11-0.221feature16... numeric
@attribute 0.441feature11-0.42feature9-0.288feature14+0.242feature10+0.239feature16... numeric
@attribute -0.346feature14-0.333feature12-0.239feature13-0.196feature98-0.192feature67... numeric
@attribute 0.257feature12-0.248feature8-0.247feature34-0.242feature3-0.217feature16... numeric
@attribute -0.387feature8-0.277feature68+0.275feature16-0.27feature13-0.27feature7... numeric
@attribute -0.405feature13+0.285feature14-0.278feature69-0.232feature15-0.228feature67... numeric
@attribute -0.522feature15+0.382feature7+0.241feature16-0.218feature6+0.214feature14... numeric
@attribute '0.537feature16+0.335feature12-0.325feature14-0.22feature10+0.21 feature6...' numeric
@attribute '-0.305feature66-0.256feature70+0.25 feature65-0.227feature47+0.227feature9...' numeric
@attribute '0.383feature14-0.313feature13+0.294feature11+0.26 feature68-0.239feature9...' numeric
@attribute -0.329feature68-0.311feature95+0.267feature10+0.259feature12-0.239feature4... numeric
@attribute '0.441feature10+0.263feature6+0.25 feature70-0.24feature7+0.236feature68...' numeric
@attribute -0.274feature97-0.248feature98-0.246feature72-0.229feature4-0.229feature95... numeric
@attribute -0.339feature69+0.323feature95-0.311feature2-0.271feature100+0.263feature13... numeric
@attribute -0.324feature71-0.304feature6+0.281feature103-0.23feature35+0.218feature8... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
-1.527084,5.213448,-7.175063,1.298762,-2.460174,1.57602,-0.826448,-3.224225,-0.347548,0.906328,1.600206,-0.882991,-0.846621,0.575572,-0.011609,0.941037,1.653915,-0.31613,-0.758874,1.149245,1.901333,-0.195702,0.946809,0.436669,1.084706,-0.843964,-0.313496,0.878112,0.359311,-1.525787,-1.074693,0
-1.821251,-1.414432,2.318591,3.785707,-0.890349,-0.098223,-2.13596,0.353344,0.134697,1.239246,-0.084109,-0.105022,0.081169,-0.249375,-0.077716,0.450097,-0.760564,-0.16534,-0.602724,0.15673,0.550744,0.439918,1.410532,-1.284634,0.126285,-0.147357,-0.448873,-0.981764,-0.964821,-0.204027,0.585488,1
-0.100193,-1.413204,-3.022676,-1.951619,-0.468077,1.373017,-0.368992,-1.767641,1.755044,0.065454,0.183071,-0.825863,-0.420684,-0.738455,0.119828,2.20568,0.404447,0.740016,-0.186941,-0.012144,-0.104621,0.713555,-0.460742,-1.054414,-0.275963,-1.701922,-0.980389,-0.429499,-0.478943,1.046873,0.832562,0
-6.83635,-1.685582,0.488477,-2.309278,0.835965,0.502941,-1.02544,-0.501958,-0.697624,0.068426,0.565218,0.298833,1.127916,0.980424,-0.033022,0.146369,0.206164,-0.331021,0.309857,0.721562,-0.040444,0.268583,0.367914,-0.037337,-0.926246,0.612416,0.25137,-0.273049,-0.619807,0.019525,0.709487,1
-0.515155,2.983947,-5.728424,1.581135,0.211323,-2.288965,-0.839873,-1.239514,0.458561,0.940051,0.973263,-1.093835,0.136727,0.585146,-1.166287,0.956359,-0.851886,0.141938,1.01772,-1.5379,-0.971842,0.267011,0.927768,-0.666356,-0.047468,-0.41541,0.439825,-1.128084,0.154311,0.273423,-0.568037,2
2.038696,1.271775,-2.84626,-0.56152,-0.041764,-0.175006,-0.213347,0.263144,0.185935,-0.37743,0.540646,1.254394,1.148185,0.797612,-0.123282,-0.05357,-0.690226,-0.370009,0.200033,-0.481886,-0.045456,-0.809033,-1.330735,0.448318,0.492791,1.092217,-1.155933,-0.025322,-0.014719,0.12842,-1.476571,3
1.537124,-0.359462,1.323259,0.090176,-0.287163,-2.997404,2.335544,-0.035275,-0.096445,0.115677,-0.86441,0.046082,-0.674077,0.970592,0.028115,0.336837,0.413544,-0.240305,0.862164,0.40369,1.860877,0.164688,-0.180935,0.403087,-0.102505,-1.544715,-0.267327,0.786187,0.07559,0.20923,-0.15889,4
3.566239,7.04906,-0.518542,1.821223,3.617731,-2.883686,-4.286259,-0.428302,-0.140041,0.873038,-1.159813,0.609053,1.319825,-0.539389,0.043749,0.695336,0.033493,-0.566395,0.238171,-0.251327,1.191733,1.255709,0.805548,-0.164162,-0.043342,0.312131,-0.207811,-0.257852,0.239494,0.325431,-0.771047,4
2.95328,1.393137,-2.357928,1.913584,-1.457548,-1.073439,-1.98933,-0.688037,1.489918,-0.071083,0.011484,-0.970588,-0.326289,0.11093,-1.268058,0.478126,-0.053072,-0.718652,-0.118248,-0.799026,-2.271496,-0.206803,-0.890702,0.035762,-0.069685,-0.169913,0.192807,-1.050097,-1.053039,0.483091,0.876082,2
0.883632,-1.641655,-0.074394,-4.43395,-0.069362,1.911415,0.808645,0.984379,0.562256,-1.10142,-1.120251,0.298886,1.429581,0.379755,-0.258829,-0.445034,-0.467242,0.056232,0.062385,0.924921,-0.236866,0.289967,0.649391,0.084495,0.163442,-0.939123,-0.41479,-0.731047,-1.090722,-0.269761,0.121214,3
3.643593,3.36256,0.297616,1.285298,0.931587,-1.858437,1.261424,-0.726115,0.32069,-0.166277,-0.209107,-1.128599,-0.366487,-0.433728,-0.14503,-0.203688,0.892613,-1.371333,-0.56751,0.397564,0.90175,0.12572,-0.075867,-0.509,-1.104246,0.242715,-0.720984,2.230005,-0.999043,-0.386264,-0.009501,5
4.113085,-6.476511,-1.47043,-3.987947,0.770998,-0.453439,0.341891,0.120051,-0.610395,-0.369038,-0.270017,-1.418156,0.069438,0.474589,0.390695,0.967161,1.390332,1.012784,-0.116531,0.087252,-0.117116,1.454909,-0.046201,0.042954,-0.01831,0.403073,-0.056024,0.128436,0.082946,-0.400323,0.899207,6
-9.81549,-3.541735,4.381143,-1.700943,-0.993499,0.092035,-1.638288,-0.536563,-0.411189,1.214699,1.967168,1.429848,0.196832,0.620086,-0.074309,0.295867,-0.803069,-0.405386,0.937141,-0.258317,0.262149,0.277093,-0.061836,1.103968,0.364725,-0.426492,-0.33107,0.115205,0.416708,-0.058991,-0.259889,1
4.391046,0.4086,3.067755,3.43355,1.616701,-2.224609,2.106532,1.361455,-1.226684,-0.039539,-0.821521,0.896169,-0.508425,-0.259478,-0.616023,0.157061,0.213613,0.646614,-1.055202,-0.705324,1.974942,-0.875375,-0.399513,0.593388,-0.193848,-0.434324,0.105207,0.132473,1.557017,-0.262287,0.259844,4
5.502038,-0.762714,1.530152,4.441794,0.850433,-1.656524,-1.865124,1.709796,0.810166,0.745383,-0.22927,-0.071733,0.217918,0.129935,1.448302,-1.312022,-0.382534,0.048056,-0.963006,-0.056553,-0.124433,0.48501,0.830503,0.929973,0.471122,0.308094,-0.544428,-0.556602,-0.32998,-0.20301,0.002955,4
1.531605,3.714161,0.007204,2.275709,0.334169,-1.846422,1.380888,2.315999,-0.694848,-1.476257,-1.819886,0.687964,0.323745,-1.751763,0.104882,-2.428077,-0.179097,-1.447482,-0.802662,-0.774087,-0.912262,-1.195542,-0.726319,2.614066,0.30573,0.049429,-0.08819,-0.11852,-0.156496,-0.929295,-1.604449,5
5.443158,4.28871,2.311728,1.410181,-2.065405,2.495094,-0.432714,-4.142998,-2.578779,-2.371328,-0.126671,0.436772,1.812844,0.777795,1.065872,1.303349,-0.680707,0.015125,-0.022243,1.370046,0.738372,0.990393,-0.296386,-0.08124,0.206192,-0.277346,-0.578019,-0.060154,1.339329,0.781506,1.244262,7
