object,worker,response
0,18,1
0,10,1
0,11,1
0,33,1
0,9,0
1,5,1
2,18,0
2,11,6
2,32,0
2,33,0
2,9,0
3,5,1
4,18,2
4,10,2
4,33,2
4,26,2
4,11,4
5,28,1
5,5,1
6,0,4
6,18,4
6,9,4
6,39,4
6,11,0
7,4,5
7,15,4
7,11,3
7,39,4
7,18,4
8,8,2
8,18,2
8,9,2
8,33,2
8,11,5
9,18,3
9,10,3
9,9,3
9,1,3
9,11,2
10,22,5
11,5,8
12,22,1
12,5,1
13,18,4
13,10,4
13,9,4
13,33,7
13,11,1
14,5,4
15,5,5
15,28,5
16,5,7
17,8,4
17,20,4
17,11,2
17,39,4
17,9,4
18,18,2
18,10,2
18,11,8
18,23,2
18,9,2
19,22,3
20,5,4
20,14,4
21,8,9
21,18,9
21,11,6
21,39,9
21,9,9
22,18,1
22,11,5
22,39,1
22,15,1
22,0,1
23,5,2
24,4,7
24,0,7
24,30,5
24,32,7
24,11,5
25,18,7
25,11,2
25,32,7
25,7,9
25,9,7
26,8,9
26,18,9
26,10,9
26,31,9
26,11,1
27,18,4
27,10,4
27,11,5
27,15,4
27,9,4
28,5,7
29,18,2
29,10,2
29,11,3
29,33,2
29,9,2
30,0,1
30,23,4
30,9,4
30,11,8
30,18,4
31,5,4
32,18,8
32,10,8
32,9,8
32,26,8
32,11,0
33,6,0
33,18,0
33,11,3
33,39,0
33,9,0
34,28,0
34,5,0
35,18,8
35,2,6
35,11,2
35,39,8
35,9,8
36,5,4
37,27,3
37,5,3
37,14,3
38,18,4
38,42,4
38,33,4
38,39,4
38,11,4
39,40,3
39,5,3
40,5,6
41,18,9
41,2,9
41,33,9
41,6,9
41,11,1
42,5,2
42,28,2
43,5,2
44,8,1
44,18,5
44,10,1
44,9,5
44,11,9
45,5,1
46,18,3
46,10,3
46,9,3
46,33,3
46,11,3
47,5,5
48,5,1
49,4,4
49,18,4
49,9,4
49,39,4
49,11,7
50,21,1
51,5,2
52,8,5
52,18,5
52,11,7
52,33,5
52,9,5
53,5,1
54,5,7
55,28,7
55,5,7
56,5,8
57,8,1
57,11,7
57,39,8
57,24,8
57,9,8
58,5,6
59,0,4
59,41,4
59,39,4
59,7,4
59,11,8
60,0,7
60,18,7
60,9,7
60,32,7
60,11,7
61,5,4
62,5,1
63,5,4
64,5,7
65,5,2
66,18,1
66,41,1
66,39,1
66,11,2
66,9,1
67,5,1
68,5,1
69,5,9
69,28,9
70,24,7
70,41,7
70,39,7
70,9,7
70,11,9
71,0,1
71,18,3
71,24,3
71,33,3
71,11,1
72,5,1
73,39,1
73,18,8
73,9,8
73,33,1
73,11,7
74,4,4
74,15,5
74,9,5
74,6,5
74,18,5
75,18,6
75,6,6
75,12,6
75,9,6
75,11,7
76,18,5
76,10,1
76,11,0
76,15,7
76,9,5
77,5,1
78,18,3
78,10,3
78,9,3
78,33,3
78,17,3
79,6,2
79,2,2
79,17,2
79,39,2
79,11,6
80,6,9
80,18,9
80,11,4
80,7,9
80,9,9
81,8,7
81,0,5
81,10,7
81,9,5
81,11,7
82,5,9
83,28,7
83,5,7
84,39,3
84,18,3
84,9,3
84,3,3
84,11,4
85,21,7
86,5,3
87,5,4
88,5,8
89,8,1
89,11,6
89,39,1
89,24,1
89,9,1
90,33,2
90,41,2
90,39,2
90,26,2
90,11,8
91,41,0
91,10,0
91,11,4
91,25,0
91,9,0
92,30,2
92,6,2
92,9,2
92,39,2
92,11,2
93,6,5
93,18,3
93,11,4
93,39,3
93,9,3
94,5,1
95,8,5
95,18,5
95,11,9
95,33,5
95,9,5
96,5,2
97,8,5
97,18,4
97,10,4
97,9,5
97,11,5
98,8,2
98,18,2
98,11,0
98,33,2
98,9,2
99,5,5
100,4,9
100,41,9
100,39,9
100,9,9
100,11,9
101,5,8
102,17,0
102,10,0
102,11,5
102,23,0
102,9,0
103,20,3
103,18,1
103,10,3
103,11,7
103,9,3
104,15,9
104,10,9
104,11,6
104,26,9
104,9,9
105,5,8
106,28,4
106,5,4
106,14,1
107,2,3
107,18,1
107,10,3
107,9,3
107,15,3
108,18,5
108,11,1
108,32,4
108,33,4
108,9,5
109,5,6
109,14,6
110,40,0
110,5,0
111,18,8
111,41,8
111,33,1
111,11,6
111,9,4
112,15,4
112,10,4
112,11,0
112,26,4
112,9,4
113,18,1
113,10,1
113,23,1
113,33,1
113,11,3
114,18,7
114,10,7
114,11,0
114,33,7
114,9,7
115,18,6
115,10,6
115,11,5
115,23,8
115,9,6
116,5,1
117,5,7
118,5,8
119,5,0
119,28,0
120,5,8
121,5,1
122,0,1
122,18,1
122,10,1
122,9,5
122,11,1
123,4,1
123,18,1
123,9,5
123,39,4
123,11,5
124,18,8
124,2,8
124,11,3
124,39,8
124,9,8
125,39,8
125,18,1
125,9,1
125,3,1
125,11,5
126,5,5
127,5,1
128,5,6
129,5,1
130,5,1
131,5,4
132,10,0
132,9,0
132,39,0
132,29,0
132,11,4
133,18,9
133,11,5
133,9,9
133,16,9
133,31,9
134,5,4
135,5,8
135,14,8
136,39,2
136,18,2
136,11,2
136,33,2
136,0,2
137,5,6
138,8,9
138,18,9
138,10,9
138,31,9
138,11,4
139,18,1
139,10,0
139,9,1
139,33,1
139,11,2
140,5,8
141,5,4
142,0,8
142,18,1
142,9,4
142,39,8
142,11,5
143,5,9
144,18,1
144,10,1
144,9,1
144,33,1
144,11,2
145,4,7
145,15,7
145,9,7
145,6,7
145,18,7
146,5,2
146,19,2
147,5,7
148,4,4
148,41,4
148,39,4
148,9,5
148,11,1
149,18,1
149,11,2
149,33,4
149,26,4
149,15,4
150,18,8
150,11,2
150,39,8
150,33,6
150,9,8
151,0,1
151,18,1
151,9,1
151,32,1
151,11,2
152,5,4
152,14,4
153,41,0
153,10,0
153,11,2
153,25,1
153,9,3
154,5,8
155,39,7
155,18,7
155,9,7
155,33,7
155,11,5
156,41,0
156,18,0
156,9,0
156,33,0
156,11,2
157,18,0
157,10,0
157,9,0
157,1,0
157,11,3
158,20,0
158,41,0
158,11,2
158,26,0
158,31,0
159,5,8
159,19,8
160,28,2
160,5,2
161,18,6
161,41,6
161,33,6
161,11,0
161,9,6
162,5,7
163,18,5
163,10,5
163,41,5
163,9,5
163,11,5
164,5,9
165,0,2
165,18,2
165,11,1
165,33,7
165,34,2
166,18,9
166,23,9
166,33,9
166,26,9
166,11,2
167,5,3
168,6,6
168,2,6
168,17,8
168,39,8
168,11,3
169,5,2
170,18,8
170,41,8
170,33,6
170,15,8
170,11,1
171,5,8
172,5,7
172,14,7
173,5,9
173,14,9
174,5,9
175,5,4
176,5,1
177,18,5
177,10,5
177,9,5
177,33,5
177,11,2
178,5,8
179,28,4
180,28,4
180,5,4
181,5,8
182,10,1
182,9,1
182,39,1
182,29,3
182,11,1
183,5,3
184,20,9
184,18,9
184,10,9
184,11,7
184,9,9
185,5,4
186,18,0
186,29,0
186,13,0
186,9,0
186,24,0
187,5,1
188,17,9
188,10,4
188,11,6
188,23,4
188,9,4
189,8,9
189,18,9
189,9,9
189,41,9
189,6,9
190,41,4
190,18,4
190,29,9
190,11,6
190,9,4
191,18,7
191,10,7
191,9,7
191,36,7
191,11,5
192,4,7
192,41,7
192,9,7
192,43,7
192,11,1
193,0,5
193,18,5
193,10,3
193,9,5
193,11,8
194,5,0
195,28,8
195,5,8
196,8,4
196,6,4
196,18,4
196,39,4
196,9,4
197,27,3
197,5,3
197,14,3
198,5,7
199,5,5
200,32,1
200,18,1
200,9,1
200,33,1
200,11,4
201,5,9
202,5,0
203,5,8
204,4,4
204,18,5
204,9,4
204,39,5
204,11,2
205,4,6
205,18,6
205,9,8
205,39,8
205,11,5
206,4,0
206,18,0
206,9,0
206,39,1
206,11,3
207,5,5
208,28,3
209,5,6
210,18,3
210,10,3
210,9,3
210,1,1
210,11,9
211,5,7
212,5,9
213,5,4
214,5,1
215,5,9
216,5,8
217,8,8
217,18,8
217,10,6
217,9,6
217,11,1
218,18,6
218,42,6
218,23,6
218,9,6
218,11,2
219,5,4
220,2,9
220,18,9
220,10,9
220,9,9
220,15,9
221,5,1
222,18,3
