object,worker,response
0,10,2
1,3,2
1,16,2
2,6,5
2,31,2
2,38,2
3,2,2
3,6,2
3,11,3
3,14,3
3,25,2
4,13,2
4,20,2
4,31,2
5,4,2
5,39,2
6,2,2
6,9,5
7,1,2
7,5,2
7,12,2
7,21,3
7,27,2
8,3,2
8,12,2
8,23,2
8,32,0
9,5,2
10,17,2
11,16,2
12,24,2
12,32,2
13,18,2
14,9,2
14,16,2
14,39,2
15,0,2
15,4,2
15,24,2
15,32,4
15,39,2
16,28,3
17,1,5
17,2,5
17,34,5
18,7,2
18,16,1
18,21,2
19,30,3
19,34,2
20,18,2
21,14,2
21,28,2
21,34,2
22,24,5
23,29,2
24,9,3
24,23,0
24,30,0
25,0,2
25,20,1
26,2,5
26,5,2
26,6,2
27,30,2
28,14,2
29,2,4
29,4,2
30,14,4
30,19,4
30,21,4
30,23,4
30,29,3
30,30,3
30,32,4
31,6,3
31,38,5
32,31,2
32,38,2
33,18,5
34,29,2
34,31,2
34,34,2
35,6,4
35,31,4
36,25,1
36,27,4
36,31,2
37,5,2
37,14,3
38,1,2
38,15,2
38,27,3
39,21,2
39,38,2
40,6,2
40,23,2
40,39,2
41,6,2
41,29,2
42,23,3
43,3,0
43,8,2
43,15,2
43,24,2
44,12,4
44,16,4
44,32,4
45,26,2
46,25,2
47,15,2
48,9,2
48,13,2
48,14,1
48,20,4
48,36,3
49,0,2
49,8,2
49,11,2
50,5,5
50,14,2
50,37,3
51,14,2
51,23,2
51,32,2
52,14,2
52,26,2
53,4,2
53,23,4
54,13,5
54,24,2
54,34,1
54,38,2
55,9,5
56,6,2
57,12,2
58,24,2
58,34,2
59,18,2
60,6,3
60,15,2
61,3,1
61,12,2
61,15,5
62,9,0
62,15,2
63,16,4
63,27,1
64,1,2
64,12,0
64,19,2
65,24,2
65,26,2
66,0,4
66,14,3
67,24,1
67,39,1
68,4,0
68,13,2
68,14,2
68,24,2
68,30,2
69,16,2
69,24,4
70,4,2
70,14,2
70,18,2
70,34,2
71,21,2
71,33,2
72,0,0
72,5,2
72,30,2
72,35,2
73,20,2
73,33,2
74,15,1
74,19,4
74,30,3
75,19,3
76,12,1
76,26,2
76,31,1
76,38,1
77,4,2
77,21,2
77,26,3
78,12,2
78,15,2
78,16,3
78,21,2
78,23,2
78,25,2
78,35,3
79,3,2
79,14,0
79,21,2
80,29,0
81,14,3
81,16,2
81,34,2
82,0,1
82,26,5
82,34,1
82,37,1
82,38,1
82,39,1
83,29,2
83,30,2
84,25,2
84,26,2
85,21,2
85,37,2
86,12,1
86,25,1
87,30,2
88,1,1
88,2,4
88,12,3
88,26,1
