worker,label_prob,quality,n_labels
0,0.07739560485559634,0.7316635319256157,68
1,0.05318860913460682,0.6561716833846024,39
2,0.04940636036617771,0.690081573642758,53
3,0.02745702434609182,0.7203919006146589,28
4,0.06660995535675723,0.7888756249417788,54
5,0.05073239795930695,0.7315221271590446,47
6,0.09967566731443,0.6295017800617169,93
7,0.012930925215377032,0.72718751130095,16
8,0.03729391380882292,0.609276605124274,30
9,0.05245748332713342,0.6067731968834688,53
10,0.00886119937549965,0.8958151070050978,22
11,0.017449194202407925,0.7188165608035,9
12,0.09233135543016643,0.6515087398343717,93
13,0.021334981331209937,0.7626958796667904,20
14,0.09996913443012583,0.830198972782611,74
15,0.09140082690118512,0.8403792407556951,80
16,0.08668239349242321,0.6721670857538433,85
17,0.01731911150072666,0.8103829423729149,19
18,0.023006887495636577,0.8196384560624117,33
19,0.04190482844292209,0.7150058398757877,44
20,0.03286043343189188,0.7714995346154283,30
21,0.06862277595035828,0.7551587061848276,70
22,0.034129135311177505,0.8639551435501809,24
23,0.08265700568100572,0.7041386728623247,79
24,0.0948435429069111,0.7654525101750156,90
25,0.08567174335699063,0.7877090283645973,78
26,0.05328571214743194,0.7714932363612454,66
27,0.07683235517333938,0.6325864161734056,50
28,0.011966545376805627,0.7072183979538421,9
29,0.07934459209259251,0.7086481389695369,63
30,0.0880416601094507,0.7588279375644895,88
31,0.07391136519303584,0.7417083199541926,70
32,0.0625331986625738,0.7166840553928615,54
33,0.018517808655426096,0.8956034920385618,23
34,0.08086245785124346,0.89259986100993,78
35,0.02379101506383774,0.6471334711265534,30
36,0.006747296425313199,0.7445702443214087,6
37,0.02542291376628695,0.6573398634357533,19
38,0.08044304245358783,0.898208209902464,79
39,0.0859372229008431,0.7557404183317196,76
