object,worker,response
0,0,11
1,13,4
1,22,8
2,1,23
2,13,3
2,18,3
2,27,3
3,34,3
3,37,3
3,38,3
4,1,2
4,8,2
4,13,2
5,3,2
5,7,21
5,24,6
6,35,2
7,19,2
8,4,2
9,3,6
9,7,6
9,8,6
9,30,6
10,3,11
11,36,14
12,4,6
12,16,6
12,24,18
13,0,6
13,6,15
13,13,6
14,3,2
14,10,4
14,30,2
15,35,3
16,25,18
17,7,14
18,3,8
19,10,2
19,13,2
19,28,2
19,30,2
20,26,2
21,13,10
21,34,10
22,35,18
23,0,14
23,37,14
24,27,3
25,30,3
26,4,7
26,13,7
27,17,7
27,18,7
27,36,7
28,4,10
28,24,10
29,13,11
29,36,11
30,0,13
30,12,20
30,30,2
31,30,0
32,12,7
33,16,10
33,24,2
34,20,7
35,31,2
35,33,2
36,9,2
37,8,0
38,33,20
39,12,18
39,30,19
39,38,18
40,35,2
40,39,0
41,19,2
41,23,2
42,12,6
42,36,6
43,12,6
44,16,18
44,23,18
44,29,18
45,28,7
45,30,7
45,31,7
45,36,7
45,37,11
46,9,5
47,1,3
47,7,14
47,25,3
48,1,6
49,1,18
50,16,7
50,20,13
50,24,7
51,4,5
51,24,7
51,37,3
52,0,7
52,16,7
52,34,7
53,16,6
53,20,6
54,10,0
54,20,0
54,22,0
54,24,0
55,26,3
56,1,6
56,35,6
57,33,18
58,16,14
58,30,7
58,37,7
59,8,20
59,13,10
60,3,22
60,7,15
60,14,15
60,35,15
60,37,15
60,38,16
61,0,7
61,4,7
61,9,13
61,28,7
62,9,3
62,23,3
62,30,3
63,30,18
64,16,8
64,30,8
65,7,2
65,19,2
66,31,2
66,36,14
67,1,18
67,12,1
67,28,16
68,12,2
69,13,0
69,36,14
70,1,10
71,3,23
72,25,9
73,20,7
74,17,5
75,10,2
75,13,2
76,13,14
76,30,2
77,12,2
78,4,18
79,3,8
79,7,8
79,18,1
80,28,18
80,37,14
81,8,15
82,22,10
83,22,2
84,4,2
84,23,2
85,26,6
86,16,6
86,20,6
86,37,6
87,21,3
88,4,3
88,10,6
88,20,2
88,24,6
88,39,3
89,16,7
89,37,7
90,24,18
90,33,1
91,3,7
91,25,7
91,31,7
92,7,21
93,1,3
94,9,9
94,14,3
94,34,3
94,36,3
94,37,3
95,4,20
95,7,7
95,20,7
95,29,15
95,34,7
96,9,2
96,10,7
96,19,7
96,34,7
97,4,18
97,20,18
98,13,14
99,1,2
99,20,2
99,36,2
100,13,3
100,24,3
100,31,3
101,4,18
102,4,17
103,16,2
103,38,16
104,9,14
105,1,7
105,30,7
106,31,15
107,16,2
107,33,14
108,4,14
108,13,8
108,24,14
108,28,14
109,3,3
110,7,17
111,7,17
111,11,0
111,15,17
111,16,1
112,13,15
112,38,19
113,12,19
113,31,19
114,15,22
114,24,22
114,26,22
115,16,11
116,36,6
117,12,6
117,16,22
117,24,6
118,9,7
119,26,6
120,34,2
121,26,3
122,24,22
123,9,22
123,13,22
124,15,7
124,18,16
124,36,7
125,13,8
125,18,2
126,38,19
127,37,15
127,38,15
128,12,20
129,3,12
129,14,12
129,20,11
129,34,23
130,20,2
130,31,2
131,1,7
131,29,7
132,38,12
133,4,18
133,28,18
134,0,23
135,10,7
135,16,13
135,25,13
136,32,11
137,1,14
137,36,14
138,25,18
139,3,22
139,21,22
139,33,22
139,34,11
139,37,22
140,0,11
140,16,11
140,24,11
140,34,11
141,7,19
141,12,12
141,38,12
142,3,22
142,38,16
143,30,20
143,35,20
144,34,12
145,1,21
145,13,9
146,5,7
146,12,23
147,3,2
147,4,2
147,37,2
148,36,2
149,12,6
150,10,12
151,27,6
152,12,2
152,31,13
153,16,13
154,1,10
155,20,2
155,36,19
156,3,9
157,4,2
158,20,7
159,36,9
159,37,9
160,14,9
161,28,15
161,34,2
162,1,18
162,3,18
163,31,7
164,2,3
165,16,3
166,31,12
167,13,2
168,37,2
169,33,6
170,34,2
170,35,7
171,1,6
171,3,6
171,12,5
171,25,6
172,27,6
173,1,7
173,9,7
173,10,7
173,18,0
173,31,21
174,20,7
175,27,22
176,10,4
177,12,20
177,21,6
178,37,18
179,14,3
180,7,21
181,24,2
182,0,18
182,8,18
182,24,18
183,16,3
183,24,20
184,1,3
184,8,10
184,16,11
184,30,3
185,9,9
186,36,3
187,11,2
187,20,2
187,28,5
188,3,12
188,13,2
189,10,2
190,35,14
190,38,2
191,24,14
191,28,14
192,1,13
192,16,23
192,31,14
193,3,7
193,12,7
193,30,7
194,9,6
194,19,7
194,28,7
194,35,7
195,23,5
196,0,13
197,23,2
198,10,20
198,24,7
199,6,7
200,13,7
201,0,6
201,34,6
202,16,13
203,23,2
203,28,2
204,9,2
205,25,7
205,33,7
206,1,7
206,11,7
206,30,7
206,35,7
206,36,7
207,30,7
207,31,7
208,30,7
208,34,7
208,36,7
209,0,2
209,3,2
210,3,2
211,10,6
211,12,18
212,3,1
212,9,15
212,30,7
212,31,7
213,1,7
213,2,7
213,14,18
213,16,7
214,31,9
214,35,9
215,30,9
216,9,5
217,21,3
217,24,16
218,10,18
218,34,3
218,35,3
219,35,2
220,30,19
221,1,2
222,36,11
223,12,8
223,18,21
223,28,6
224,12,2
224,25,2
225,32,3
