worker,label_prob,quality,n_labels
0,0.06522992627009107,0.613132597091699,12
1,0.08522842584527023,0.7460160847417623,23
2,0.01140697661080915,0.8383551345423533,2
3,0.09270495748483991,0.7078546877755746,22
4,0.071834839511324,0.7102075096387996,17
5,0.01236444227484631,0.7424468829429797,1
6,0.001550312369971374,0.8388115453869615,2
7,0.027434675916446907,0.7050330756363775,13
8,0.057116900712851984,0.73513605222914,7
9,0.03094701420572329,0.6564140028046274,15
10,0.044947157512129216,0.7083872247614336,14
11,0.004112953896260418,0.7508950064711883,3
12,0.08679883825101986,0.6844669527909759,21
13,0.09661435643478741,0.6384244514612301,22
14,0.01297900517206645,0.6515922138565203,6
15,0.010126199051472818,0.7845022298171983,3
16,0.09625239129273967,0.6234973730733057,24
17,0.008415316754399526,0.7198866450303876,2
18,0.0475883022059216,0.6312373015072195,7
19,0.04250546373957531,0.7870215004062607,5
20,0.04219019357409348,0.7695279040335121,16
21,0.01455056791262447,0.8375697873615526,4
22,0.004779710870394239,0.7496366045342441,4
23,0.026076363579022013,0.6509601402878424,7
24,0.08833287418699823,0.6369975935187319,21
25,0.05023957998424845,0.8767384418998538,9
26,0.013226931729650193,0.6723388762259609,6
27,0.008710762133669914,0.7916454878740187,5
28,0.07203473215114461,0.7341736120245236,13
29,0.013514260186705119,0.6980949481745617,3
30,0.07422835929652281,0.8092450309524235,23
31,0.05743175503495396,0.7939409180249447,16
32,0.006012055407317829,0.6267028182976894,2
33,0.026887311821117345,0.6589928314870185,8
34,0.0681169292966632,0.7545490297574274,16
35,0.0670294568782679,0.7177453215868231,14
36,0.08778408291609341,0.796045342400684,19
37,0.07962079481867872,0.6649874351770098,16
38,0.0686418606364397,0.843141224715478,11
39,0.007718278474567953,0.8142993559128597,2
