object,worker,response
0,4,6
1,10,4
2,24,5
2,36,4
3,1,5
3,26,5
3,35,5
4,36,5
5,35,5
6,23,4
7,32,4
8,35,4
9,23,3
10,24,1
11,24,3
11,27,3
12,22,3
12,29,3
13,37,5
14,17,4
15,8,3
15,12,2
15,13,4
16,10,3
16,15,3
17,27,3
18,29,5
19,9,3
19,24,2
19,38,4
20,10,3
20,14,5
20,23,3
21,8,4
21,14,4
21,27,1
21,28,3
22,4,4
22,9,2
22,22,5
23,24,4
24,19,4
25,6,2
25,24,4
26,10,4
26,22,4
26,29,5
26,35,3
27,4,4
28,6,2
28,13,2
28,17,2
29,7,3
29,11,6
30,24,4
31,38,1
32,12,4
33,11,5
33,21,3
33,33,4
34,2,4
35,30,3
36,22,5
37,9,3
37,39,3
38,6,3
38,11,3
39,4,3
39,6,3
39,14,3
40,10,3
40,30,3
41,33,4
42,5,4
42,9,1
42,37,4
43,15,2
43,17,3
43,30,3
44,8,0
45,1,3
45,4,3
46,31,5
47,14,3
48,8,1
48,10,3
49,13,3
50,10,4
50,17,0
50,33,6
51,6,4
52,24,4
53,28,1
53,33,4
54,23,4
55,22,5
56,29,6
57,18,6
57,23,1
58,37,6
59,11,4
60,21,0
61,10,4
61,37,4
62,8,1
62,13,3
62,27,6
62,31,4
63,11,3
64,14,4
65,24,3
66,35,3
67,35,2
68,16,2
69,4,4
70,37,0
70,38,2
71,10,1
72,14,5
72,36,2
73,11,3
73,14,3
74,6,4
74,14,4
74,28,4
75,14,4
76,4,5
76,10,5
76,14,5
77,4,5
78,10,5
78,23,5
78,33,3
78,37,5
79,14,4
80,22,6
80,36,6
81,35,6
82,10,6
83,24,6
83,27,5
84,4,6
84,29,6
84,38,6
85,32,4
86,6,4
86,9,6
86,19,4
86,24,4
86,29,4
86,34,3
87,29,4
87,32,4
88,10,2
89,4,4
89,9,4
89,24,4
90,7,5
91,9,4
92,6,6
92,11,4
92,35,4
93,22,4
93,30,4
93,33,4
93,37,4
94,31,4
95,30,4
96,29,4
97,6,4
97,26,4
98,13,5
98,27,5
98,29,3
98,33,0
99,23,3
100,23,3
100,32,3
101,4,6
101,22,3
101,23,3
101,35,3
101,38,3
102,6,3
102,9,2
102,13,3
102,23,3
102,31,6
103,10,3
104,3,6
105,36,5
106,5,4
106,26,4
107,18,3
107,28,3
108,5,3
109,6,3
110,24,3
111,24,3
111,30,3
112,15,3
113,19,4
114,27,3
115,9,3
115,33,3
116,2,4
117,7,3
117,15,3
118,31,4
119,5,0
120,31,4
121,5,4
121,22,2
121,36,4
122,4,4
122,5,4
122,8,6
122,26,4
122,38,4
123,28,2
123,32,2
123,37,2
124,36,6
125,14,4
125,33,0
126,9,6
127,38,3
128,18,3
129,16,1
130,3,0
130,37,3
131,10,3
131,17,5
132,14,6
133,23,5
133,36,5
134,29,5
135,4,2
135,5,5
135,6,5
135,10,5
135,18,5
135,29,5
136,22,6
136,27,6
137,22,5
137,38,5
138,22,5
139,13,5
139,22,5
139,27,5
140,21,5
141,29,3
142,9,3
142,33,3
143,38,3
144,14,3
144,32,3
145,4,3
146,22,3
146,28,3
146,35,3
147,22,3
148,7,3
148,17,3
148,22,3
148,26,3
148,31,3
149,39,3
150,4,4
150,14,4
150,21,5
151,11,4
152,15,0
153,6,3
153,29,3
154,11,3
155,16,3
156,22,3
156,23,3
156,29,5
156,33,3
157,11,3
157,30,3
157,32,3
158,2,3
158,7,3
158,35,4
159,22,0
160,0,3
160,4,3
160,9,3
161,3,3
162,18,1
163,6,4
164,6,4
164,30,4
165,2,2
166,4,4
166,14,1
166,21,5
167,15,0
168,7,6
168,30,5
169,24,5
170,4,5
170,39,2
171,16,5
172,29,5
173,22,2
173,24,2
174,6,2
174,30,2
175,10,2
175,20,2
176,9,2
176,33,6
177,4,2
177,7,2
177,30,2
178,7,5
178,13,6
178,15,6
178,23,6
178,38,6
179,4,6
179,13,6
179,23,6
180,6,2
180,14,5
180,21,5
180,26,5
181,29,2
182,5,0
182,30,5
182,35,0
183,28,5
184,37,5
185,7,5
186,22,5
186,24,6
186,36,5
187,23,5
187,32,5
188,4,5
189,14,6
190,38,6
191,9,5
192,22,2
192,31,3
193,29,3
194,30,1
195,11,2
196,25,1
197,4,3
198,1,0
199,6,4
199,36,2
200,23,2
201,7,2
201,12,2
202,8,1
202,23,2
202,29,2
202,30,2
203,4,2
203,11,2
203,35,2
203,36,2
204,10,2
