object,truth
0,6
1,6
2,4
3,5
4,5
5,5
6,4
7,4
8,4
9,3
10,5
11,3
12,3
13,3
14,4
15,3
16,3
17,3
18,5
19,4
20,3
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,2
29,6
30,5
31,5
32,4
33,4
34,4
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,4
43,3
44,4
45,3
46,5
47,3
48,3
49,3
50,4
51,4
52,4
53,4
54,4
55,6
56,6
57,6
58,6
59,4
60,3
61,4
62,3
63,3
64,3
65,3
66,3
67,2
68,2
69,3
70,2
71,2
72,6
73,3
74,4
75,4
76,5
77,5
78,5
79,4
80,6
81,6
82,6
83,6
84,6
85,4
86,4
87,4
88,2
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,5
99,3
100,3
101,3
102,3
103,3
104,6
105,6
106,4
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,4
119,4
120,4
121,4
122,4
123,2
124,6
125,6
126,6
127,6
128,6
129,4
130,3
131,5
132,6
133,5
134,6
135,5
136,6
137,5
138,5
139,5
140,5
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,4
151,4
152,4
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,4
164,4
165,4
166,4
167,5
168,5
169,5
170,5
171,5
172,5
173,2
174,2
175,2
176,2
177,2
178,6
179,6
180,2
181,2
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,6
190,6
191,3
192,3
193,3
194,1
195,2
196,1
197,2
198,1
199,2
200,2
201,2
202,2
203,2
204,2
