object,worker,response
0,14,1
0,20,1
0,29,1
0,32,1
1,9,2
1,17,2
1,23,2
2,2,2
2,12,2
2,14,0
2,22,2
3,9,0
3,36,2
4,17,0
5,16,2
6,2,0
6,10,2
7,7,2
7,23,0
7,26,2
8,9,2
8,17,2
9,39,2
10,1,2
10,4,0
10,26,2
10,33,2
11,4,2
11,12,2
11,15,0
12,9,2
12,24,2
13,8,2
14,16,2
14,19,2
15,20,1
16,37,2
17,0,2
17,14,0
17,26,0
18,0,2
18,5,0
18,16,0
18,20,0
18,33,2
18,35,0
19,8,0
19,34,2
19,37,1
20,6,2
20,19,2
21,0,2
22,8,2
22,9,2
22,11,1
22,31,2
22,35,2
23,17,2
24,13,2
24,35,2
25,5,0
26,2,1
26,26,2
26,35,0
27,1,1
28,13,0
28,14,2
28,16,1
28,31,2
29,14,2
30,20,1
31,32,2
32,26,0
33,18,1
34,2,0
35,0,2
35,2,0
35,7,2
35,14,2
36,27,1
37,4,2
37,7,0
37,8,2
37,12,2
38,15,2
38,18,2
38,31,2
39,5,2
39,23,1
40,17,1
40,37,2
40,39,2
41,25,2
42,20,0
42,26,2
43,0,2
43,8,0
43,17,1
44,3,0
44,26,2
44,32,1
45,2,2
46,14,2
46,28,2
47,0,1
48,32,2
48,33,2
49,21,2
50,2,0
50,23,0
51,4,0
51,14,0
52,30,1
53,8,2
53,13,2
53,37,0
54,4,2
54,26,2
54,37,2
55,16,0
56,2,2
57,4,0
57,8,2
57,19,1
57,23,2
58,14,1
58,15,2
58,37,2
59,4,2
59,5,2
59,23,2
60,14,2
61,11,2
61,30,0
62,17,1
63,15,2
63,16,0
63,28,2
63,38,2
64,31,2
64,32,2
64,35,2
65,2,2
65,4,0
65,23,2
65,26,2
66,11,2
66,14,2
66,24,2
67,2,2
67,20,2
67,35,2
68,5,2
69,37,2
70,17,2
70,24,2
70,39,2
71,11,2
72,12,2
72,17,2
72,32,2
73,31,2
73,35,2
74,36,2
75,31,0
76,22,1
76,32,1
77,2,0
77,8,0
77,31,0
78,26,1
79,2,2
79,11,2
79,32,2
79,35,1
80,11,0
81,8,1
81,16,1
81,26,1
81,30,1
81,35,1
82,4,2
82,14,1
82,23,1
83,34,1
84,2,2
84,3,0
84,7,1
84,9,2
84,15,1
85,35,0
86,30,2
86,31,2
87,5,2
88,27,2
89,15,2
89,16,2
89,28,2
90,20,1
90,30,1
91,14,2
91,15,2
91,28,2
91,33,2
92,0,2
92,29,2
92,33,1
92,35,2
93,16,2
93,20,2
94,19,2
95,19,2
95,34,2
96,7,2
97,4,2
97,18,2
97,26,0
98,8,2
98,32,2
99,26,2
99,37,1
100,4,0
100,8,0
101,4,1
101,14,2
102,1,0
103,9,2
104,13,1
105,1,2
106,10,0
106,17,0
106,37,0
107,16,2
107,27,2
108,32,2
108,38,2
109,37,2
110,11,0
110,30,0
110,35,0
111,24,2
111,26,2
111,35,2
112,30,2
113,14,2
114,5,2
114,10,1
115,7,2
115,20,0
115,32,0
116,25,2
117,18,2
117,31,0
117,32,2
118,4,1
118,8,0
119,26,2
120,12,1
120,17,2
120,23,1
121,6,2
121,23,2
121,37,2
122,2,2
122,26,1
123,13,1
124,8,2
125,3,0
125,35,0
126,3,1
127,21,2
128,14,2
128,34,2
129,16,2
130,3,1
131,7,1
131,14,1
132,3,1
132,25,2
132,27,2
133,11,1
133,14,2
133,34,2
133,37,2
134,26,2
134,37,0
135,8,2
136,38,2
137,15,2
137,25,2
138,3,2
138,4,0
138,7,2
138,16,2
138,20,2
138,21,2
138,31,2
138,37,1
139,0,2
140,2,1
140,4,0
141,1,2
142,32,1
143,22,2
144,32,1
145,14,0
145,17,0
146,15,2
147,11,2
147,16,2
148,38,2
149,35,2
150,14,0
150,15,1
150,20,1
150,24,1
151,4,1
151,7,1
151,26,0
151,30,1
151,37,0
152,16,0
153,35,1
154,16,2
155,4,0
155,37,2
156,28,1
157,7,2
158,17,1
158,26,2
158,39,2
159,8,2
159,31,2
160,37,2
161,17,2
162,37,2
163,17,2
163,32,2
164,7,2
165,39,1
166,12,2
166,32,2
167,28,2
168,16,2
168,32,2
169,2,2
169,32,2
170,37,2
171,9,2
172,15,2
173,2,2
174,35,2
175,2,0
176,17,0
176,19,0
177,5,0
177,17,2
178,37,0
179,16,0
180,33,0
181,9,0
181,14,0
181,37,0
182,8,1
183,8,2
184,24,2
185,34,0
186,0,1
