object,worker,response
0,13,1
0,18,0
0,19,1
0,28,1
0,32,1
1,17,1
2,30,1
3,0,1
3,13,0
3,15,0
3,22,1
3,30,1
4,8,0
5,15,1
5,19,1
6,4,1
6,14,0
7,34,1
8,38,1
9,11,1
9,21,1
10,19,1
11,0,1
11,3,0
11,23,1
11,26,1
11,33,1
11,38,0
12,26,1
12,35,1
12,37,1
13,12,1
13,18,1
13,27,1
13,30,1
13,35,1
14,0,1
14,6,0
15,9,1
15,11,1
15,18,1
15,23,1
15,34,1
16,7,1
16,35,0
16,38,0
17,3,1
17,14,1
17,38,0
18,15,1
18,23,1
19,12,0
20,0,0
20,19,1
21,29,1
22,7,0
22,26,0
22,28,0
22,29,0
22,37,0
23,2,1
23,15,1
23,28,1
23,35,1
24,6,1
24,33,1
24,34,1
25,8,1
26,0,0
26,5,1
26,20,1
26,23,0
27,33,1
28,7,0
28,26,1
28,38,0
29,9,1
29,28,1
30,7,1
30,15,0
30,33,0
30,34,1
31,29,0
32,19,1
32,22,1
32,27,0
33,24,1
33,34,1
34,0,1
34,3,1
34,13,1
34,20,1
34,27,1
34,37,1
35,8,1
35,12,1
35,22,0
35,23,1
36,35,1
37,14,0
37,22,1
37,24,1
38,15,0
38,16,1
38,23,0
38,24,1
38,25,1
38,32,0
39,18,0
39,23,1
39,24,1
39,25,1
40,27,1
41,30,0
42,6,1
42,7,1
42,19,1
42,28,1
43,3,1
43,14,1
43,37,1
43,38,1
44,9,0
44,22,1
45,20,0
45,24,1
46,3,0
46,15,1
47,28,0
48,7,1
48,9,0
48,20,1
49,20,0
49,34,0
50,13,0
50,20,1
51,35,1
52,14,0
52,26,1
53,13,0
53,14,1
53,23,1
54,4,0
54,28,0
54,32,1
55,14,1
55,38,1
55,39,1
56,38,1
57,29,1
58,30,1
59,9,1
59,14,1
59,37,1
60,21,1
61,12,1
61,18,1
61,33,1
61,34,1
61,35,1
62,3,1
62,19,1
62,32,1
63,9,1
63,13,1
63,28,1
64,8,0
64,29,0
64,32,1
65,3,1
65,14,0
66,13,0
66,32,0
67,22,1
67,26,1
68,21,0
69,5,1
69,29,1
70,9,1
70,16,1
70,32,1
70,34,1
71,19,1
71,25,0
72,15,1
73,8,1
73,16,1
73,17,1
73,18,1
74,21,1
74,22,1
74,29,1
74,32,1
74,33,0
75,12,0
76,15,0
77,12,1
77,18,1
78,0,0
78,13,1
78,23,1
78,26,1
78,29,0
78,30,1
78,32,1
79,4,1
79,9,1
79,22,1
79,35,1
79,38,0
80,7,1
80,38,1
81,12,0
82,34,1
83,20,1
83,23,1
84,6,0
84,9,0
85,4,1
85,9,0
85,35,1
85,38,1
86,22,1
87,14,1
88,5,0
88,29,0
88,35,1
89,0,0
89,12,1
89,13,0
89,21,1
89,31,1
89,38,1
90,7,1
91,6,0
91,11,1
91,20,1
92,9,0
92,15,0
93,0,0
93,9,0
93,21,1
94,11,0
94,14,1
94,17,0
94,24,1
95,20,1
96,20,1
96,22,1
96,32,1
97,20,1
97,39,0
98,23,1
98,24,1
98,37,1
99,12,0
100,34,1
101,27,1
101,29,1
101,38,0
102,0,1
103,22,1
103,27,0
103,34,1
104,14,0
104,19,1
104,21,1
104,24,1
104,35,1
105,7,1
106,9,1
106,24,1
106,26,0
107,22,1
107,27,0
108,24,1
108,27,1
109,18,0
110,33,1
111,0,1
111,39,1
112,14,1
113,0,1
113,4,1
113,6,0
113,17,1
113,18,0
114,13,1
115,34,1
116,3,1
116,19,1
116,35,1
117,17,1
118,14,1
118,29,0
118,35,0
119,36,1
120,21,0
120,28,1
121,4,0
121,9,1
121,13,1
121,16,1
121,23,1
121,27,1
122,18,1
123,24,1
124,22,1
125,1,1
126,11,1
127,3,1
127,18,1
128,11,1
129,28,0
130,9,1
130,38,1
131,13,1
131,15,0
131,28,1
131,37,1
132,23,1
132,34,1
133,7,1
133,26,1
134,20,0
134,22,1
134,27,1
134,33,1
134,35,1
135,20,1
135,23,1
135,24,1
136,6,1
136,20,1
136,22,1
136,23,1
136,38,1
137,38,1
138,1,0
138,11,0
138,14,1
138,33,1
139,12,1
140,12,1
140,28,0
141,14,1
141,21,1
141,37,1
142,22,1
142,38,0
143,11,1
143,28,0
143,33,0
144,38,1
145,0,1
145,9,1
145,20,0
146,4,1
146,21,0
146,28,1
146,33,0
147,0,1
147,4,0
147,15,0
147,29,0
148,9,0
148,15,0
148,22,1
149,14,0
149,16,1
149,34,1
150,7,1
150,9,0
150,12,0
151,0,0
151,7,0
152,23,1
153,14,1
153,39,1
154,2,1
154,4,1
155,6,1
155,27,0
156,6,1
156,22,1
156,29,0
156,35,1
157,14,1
157,37,1
157,38,0
158,34,1
159,4,1
159,29,1
160,18,0
161,38,0
162,14,1
163,14,1
163,24,1
163,27,1
164,1,1
164,9,1
164,22,0
164,38,1
165,12,1
165,28,1
166,17,1
166,33,1
167,0,0
167,19,1
168,19,0
169,15,1
169,22,1
169,25,0
170,15,0
170,28,1
170,37,0
171,7,1
171,23,0
