worker,label_prob,quality,n_labels
0,0.09056042766903122,0.6231680379635229,102
1,0.02469885028875898,0.7903038984829319,32
2,0.02005092478952879,0.6045129833320555,24
3,0.07864118679388081,0.8596834133945098,72
4,0.06262940510438879,0.7474042068447241,66
5,0.011889638898189482,0.8856750639545772,13
6,0.03952947219163427,0.6892127529611373,42
7,0.06420598481320017,0.820363881273197,80
8,0.03794096572500082,0.730512762667957,30
9,0.07688838941678701,0.6263002537586796,88
10,0.007390576819093353,0.8987536983551981,7
11,0.07189859329750045,0.6745461311688196,77
12,0.05263096622666691,0.6271671639321584,55
13,0.09824542144761787,0.7056114609959403,96
14,0.09466880329678717,0.6841607909253462,101
15,0.07904508146277667,0.6969901391092025,94
16,0.03540739803223061,0.8124535005045794,48
17,0.026825370263442883,0.7627834634861164,36
18,0.04200904804625765,0.6015067156231796,43
19,0.03505487824153432,0.7969326780219159,58
20,0.07114166132420284,0.8647208168103,72
21,0.059889511295349335,0.7248909354376388,64
22,0.09249989926770724,0.884521063737155,102
23,0.0719458977733468,0.7156181044717891,87
24,0.06541891996473075,0.8622033959261233,77
25,0.026030942204562993,0.7361725695595238,37
26,0.05508428881298373,0.7046265333011574,53
27,0.08108667206147531,0.671698892139154,89
28,0.0656497306583569,0.7637974854328529,70
29,0.07862456289267694,0.6024663418038951,86
30,0.02761117306846236,0.8942940529582318,32
31,0.0008150164775041935,0.7992614012683459,9
32,0.047541634788878434,0.8733995041386269,43
33,0.06824429693839637,0.7861152148615494,92
34,0.07284610553477422,0.7804055036740621,92
35,0.08170807827273108,0.8739599859727161,79
36,0.01353455990954059,0.8184674077814499,19
37,0.08055327562360706,0.8470687105435156,86
38,0.09886753151277194,0.6724697300866253,109
39,0.029603662748015982,0.6679902001950287,38
