object,worker,response
0,35,0
0,39,1
1,7,0
2,10,1
2,29,1
3,34,0
4,4,1
5,7,0
5,12,0
5,20,1
5,21,0
5,27,0
6,6,0
6,20,1
6,23,0
7,11,0
7,12,1
7,20,1
8,24,1
8,26,0
9,2,0
9,20,0
9,26,0
10,6,0
11,3,0
11,18,0
11,23,1
12,17,0
12,39,1
13,14,1
13,31,0
14,17,1
14,20,1
14,26,1
15,20,0
15,33,0
16,1,0
16,5,1
16,8,0
16,18,0
17,27,0
18,2,0
18,8,1
18,13,0
19,0,0
19,17,0
19,20,1
20,23,1
21,12,1
21,24,0
22,19,1
22,23,0
23,4,0
23,6,0
23,20,0
24,18,0
25,5,0
25,27,0
26,10,1
27,23,1
27,26,0
28,7,0
28,17,0
29,9,1
29,37,1
30,3,1
30,4,1
30,7,1
30,10,1
31,10,0
32,8,0
32,17,1
32,18,0
33,6,0
34,10,0
34,22,1
34,29,1
35,2,0
35,4,0
35,20,1
36,4,0
36,6,0
36,12,1
36,34,0
36,37,1
37,8,0
37,15,0
37,18,0
38,2,0
38,23,1
38,26,0
38,37,1
39,34,0
39,37,1
40,0,0
40,5,1
40,10,1
40,11,1
41,2,0
41,29,0
41,38,0
42,27,1
42,38,0
43,0,1
43,2,0
44,0,0
44,3,0
44,4,1
44,13,0
45,8,1
45,16,1
45,32,0
46,7,1
47,9,1
48,38,0
49,5,0
49,26,0
50,3,1
51,17,0
51,34,1
51,38,1
52,23,1
52,26,0
53,3,0
53,29,1
54,27,0
55,23,1
56,7,0
56,23,0
56,27,1
57,1,0
57,32,0
58,3,0
58,25,1
59,20,1
59,38,0
60,27,1
61,18,1
62,2,1
62,20,1
63,24,1
64,0,1
64,14,1
64,18,1
64,27,1
64,29,1
64,32,1
65,6,0
65,12,0
65,14,1
65,30,0
66,5,0
66,23,1
66,37,0
67,10,1
67,12,0
67,14,0
67,27,0
68,5,0
68,11,1
68,29,1
68,38,1
69,0,0
69,37,1
70,4,1
71,3,0
72,23,0
72,34,1
73,2,0
73,15,1
73,20,1
74,0,1
74,27,1
74,29,1
75,0,0
75,18,1
75,32,0
76,0,1
76,12,1
76,14,0
77,25,1
78,12,1
78,27,1
79,5,1
80,22,0
80,24,0
80,33,1
80,38,1
81,14,1
82,10,0
82,14,0
83,27,0
84,6,0
84,8,1
84,33,0
85,5,0
85,9,0
85,37,0
86,3,0
86,26,1
87,20,0
87,26,0
87,39,0
88,20,1
89,39,0
90,25,1
90,29,1
91,36,1
92,6,1
92,25,1
92,37,1
93,27,0
93,38,1
94,1,1
94,6,0
95,3,0
95,7,1
96,10,1
96,37,1
97,2,0
97,28,1
98,14,1
98,15,0
99,4,1
99,10,0
100,9,1
101,5,1
101,20,0
101,24,1
102,13,0
103,16,1
103,26,1
104,3,0
104,8,1
104,12,0
104,26,1
104,33,1
105,9,1
106,0,1
106,4,1
106,5,0
106,29,1
107,1,1
108,26,1
108,32,0
108,39,0
109,21,0
110,11,0
110,22,0
111,19,0
111,32,1
112,6,0
112,27,0
112,34,0
113,3,0
113,17,0
114,3,0
115,17,0
115,20,1
116,3,1
116,12,1
116,14,0
117,13,0
117,26,1
118,30,0
118,34,0
119,29,0
120,39,0
121,2,0
121,12,0
122,33,1
123,2,1
123,8,1
124,18,1
125,2,0
125,8,0
125,13,0
125,24,1
125,36,0
125,39,0
126,1,0
127,2,0
127,23,0
128,5,0
128,20,1
128,28,1
129,8,0
129,27,0
130,10,0
130,27,0
131,2,0
132,26,1
133,18,1
134,13,0
135,18,1
136,38,0
137,11,0
137,20,0
138,6,1
138,19,1
138,24,0
139,10,0
140,30,1
141,37,0
141,39,0
142,18,0
143,16,1
144,27,0
145,4,0
145,14,1
146,37,1
