worker,label_prob,quality,n_labels
0,0.07418019946425607,0.8261006451358823,27
1,0.03885690744048118,0.8913250442698004,10
2,0.08714770964189611,0.7054491917362262,18
3,0.07072772807151699,0.8551631136236683,26
4,0.061401282727539024,0.896778087268256,21
5,0.0645505127820134,0.6592073031657973,20
6,0.059824863201648454,0.8412171984554062,17
7,0.04073109001059055,0.8375586865611108,14
8,0.08777859419953588,0.7743436977192535,17
9,0.023776260841103028,0.6282471469491394,7
10,0.06372499121126303,0.769528357236431,21
11,0.04688587755025039,0.734359564227823,17
12,0.09854474368195992,0.6754955649470561,20
13,0.04516992686958138,0.8923746173450452,10
14,0.04457439748613556,0.7544270340454203,13
15,0.028343073813551847,0.6677774440528225,11
16,0.028010848324775486,0.8921706162938263,6
17,0.07030318232297525,0.8624513246416187,16
18,0.07761044253004039,0.712919819912537,22
19,0.027888743541636753,0.6861697004068037,9
20,0.09016340088204336,0.6821088971443128,30
21,0.030721950743810057,0.680082373167471,4
22,0.04817115397590536,0.8448129852626486,12
23,0.06562987227582476,0.6417148694164845,23
24,0.054828923657854294,0.6884756328299542,19
25,0.02341645257690571,0.6602663644621336,6
26,0.057932283015868606,0.6993228867227018,20
27,0.09552822362328028,0.6597273979095618,33
28,0.01910537576953615,0.8912948755828908,5
29,0.059501222550154276,0.7303768019689378,18
30,0.031143850520560658,0.8661088103440964,7
31,0.00917437188571163,0.8829791867778948,3
32,0.04841909684887298,0.7679226524234093,13
33,0.032882947823069233,0.6262595236578103,11
34,0.05064516487232952,0.6156356001757272,18
35,0.0011948791623976884,0.6085571528938574,2
36,0.033587526494925725,0.8531156990765765,4
37,0.08494965359767467,0.721450059656864,25
38,0.037478399620506135,0.616134556982661,21
39,0.09656787483046991,0.6556743647826215,22
