object,worker,response
0,6,1
0,35,0
1,6,0
2,5,0
2,17,0
3,15,0
3,32,0
4,1,0
4,6,1
5,34,1
6,2,0
7,34,0
8,22,0
9,4,1
9,32,0
10,27,0
11,17,0
11,22,1
12,35,1
12,39,1
13,23,1
14,5,1
15,11,1
15,36,0
16,36,0
17,10,0
17,27,0
18,0,0
18,7,0
19,3,1
20,24,1
20,32,0
20,39,1
21,5,0
21,17,0
21,31,1
21,36,1
22,10,1
22,17,1
23,31,1
24,1,1
24,31,1
25,31,1
25,37,0
25,38,1
25,39,1
26,9,1
26,10,1
26,39,0
27,1,1
27,3,0
27,17,0
27,25,0
27,32,0
28,9,0
28,17,0
29,11,1
30,24,1
31,28,1
32,25,1
32,33,1
32,39,1
33,6,1
33,32,1
34,32,0
35,3,0
35,23,0
35,30,0
36,33,1
37,38,0
38,31,1
39,24,1
40,32,0
41,24,1
42,3,1
42,6,1
42,10,1
43,9,1
43,25,1
44,0,0
44,31,1
45,7,0
46,18,1
46,19,1
46,25,1
47,7,0
48,31,0
49,21,1
49,37,1
49,39,0
50,22,0
50,30,1
50,33,1
51,18,0
51,30,1
51,32,1
52,0,0
53,1,0
53,11,1
53,24,1
53,37,1
54,0,1
54,35,1
55,6,1
56,11,1
57,2,1
58,35,1
59,27,1
60,31,1
60,36,1
61,6,1
61,9,1
62,6,1
62,29,1
63,0,1
64,30,0
64,39,0
65,2,1
66,9,0
66,24,1
66,27,1
67,33,1
68,18,0
68,32,1
69,25,0
70,27,0
70,39,0
71,12,1
71,20,1
72,17,0
73,31,1
73,36,1
74,17,1
74,32,0
75,5,1
75,19,0
75,28,0
76,35,0
76,39,0
77,3,1
77,20,1
77,21,1
77,28,0
77,30,0
77,32,0
77,38,1
78,30,0
79,3,1
79,30,0
79,34,0
80,25,0
81,25,1
82,0,0
82,23,0
82,36,0
82,37,0
83,21,0
84,9,1
84,13,1
84,17,1
85,6,0
85,11,0
85,13,0
85,21,1
86,15,1
87,32,1
88,8,0
89,3,1
89,8,0
89,21,0
89,36,0
90,31,0
91,32,0
92,1,0
92,6,1
92,25,0
92,33,1
93,27,0
94,12,0
95,4,0
96,7,0
97,32,0
98,14,1
99,18,1
99,35,1
100,8,1
100,18,1
100,22,1
100,24,1
100,31,1
101,32,1
101,36,1
102,0,1
102,16,1
102,30,0
103,20,1
104,28,0
104,37,1
105,9,1
105,24,0
105,27,1
105,30,0
105,33,1
106,17,1
107,12,1
107,31,1
108,20,0
109,30,1
110,28,0
110,31,0
110,34,0
111,30,1
111,32,1
111,33,1
112,3,1
112,17,1
112,30,1
113,24,0
114,17,0
115,36,0
116,28,0
117,2,1
117,5,0
117,31,0
118,4,1
118,18,1
118,25,1
118,31,0
119,11,1
119,17,0
119,21,0
119,30,0
119,31,0
119,33,0
120,3,1
121,19,0
121,21,0
121,39,0
122,8,1
122,9,0
122,39,1
123,24,0
124,27,1
124,31,1
125,21,0
125,33,0
125,35,1
126,22,1
127,12,0
128,10,1
128,24,1
128,37,1
128,39,1
129,6,0
129,19,0
129,20,0
130,5,0
131,27,1
131,34,0
132,3,1
133,24,0
134,37,0
135,0,0
