object,truth
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,1
21,1
22,0
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,1
37,0
38,1
39,1
40,0
41,1
42,1
43,1
44,1
45,0
46,1
47,0
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,1
64,0
65,1
66,0
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,0
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,0
128,1
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,0
154,0
155,1
156,0
157,0
158,0
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,0
171,0
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,0
181,0
182,0
183,1
184,1
185,0
186,1
187,1
188,1
189,0
190,1
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,1
202,0
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,0
235,0
236,1
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,1
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,0
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,0
291,0
292,1
293,1
294,0
295,1
296,0
297,0
298,0
299,1
300,1
301,0
302,1
303,0
304,1
305,1
306,0
307,0
308,1
309,0
310,0
311,0
312,1
313,0
314,0
315,0
316,1
317,1
318,0
319,0
320,1
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,1
337,0
338,0
339,1
340,1
341,0
342,0
343,0
344,1
345,0
346,0
347,0
348,1
349,1
350,0
351,0
352,0
353,1
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,0
365,0
366,1
367,1
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,1
413,0
414,1
415,0
416,1
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,1
426,0
427,1
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,1
436,1
437,0
438,0
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,1
454,0
455,1
456,1
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,1
466,1
467,1
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,1
483,1
484,0
485,0
486,0
487,1
488,1
489,1
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,0
518,0
519,1
520,0
521,0
522,1
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,1
531,0
532,0
