object,worker,response
0,7,0
0,30,2
1,1,0
2,24,0
3,0,0
3,17,0
3,33,2
3,36,3
4,7,0
4,16,0
5,31,1
6,30,0
7,6,2
8,38,0
9,11,0
10,9,0
10,10,0
11,11,2
11,14,0
11,38,2
12,8,0
13,8,0
13,15,0
13,31,0
14,0,0
15,32,0
15,38,0
16,3,0
16,8,0
16,12,0
16,14,0
16,31,2
17,1,0
18,5,2
18,31,0
19,36,0
20,0,1
20,28,1
21,20,0
22,21,0
23,3,0
24,14,0
25,4,0
26,31,3
27,8,0
27,20,0
27,21,0
28,1,0
28,35,1
29,11,1
30,10,0
30,12,0
30,21,0
30,31,0
31,14,3
32,30,1
33,1,0
34,38,0
35,3,1
35,36,0
36,21,0
37,8,0
37,18,2
37,22,0
38,3,0
39,5,0
39,11,0
39,18,0
39,19,0
39,22,0
40,11,0
41,8,0
42,33,0
43,6,0
43,13,2
43,17,0
44,9,2
45,31,0
46,36,0
46,37,0
47,6,0
47,10,0
47,13,0
47,14,0
48,3,0
49,21,0
50,13,0
50,17,0
51,4,0
52,21,0
52,28,0
53,18,3
54,7,2
54,39,0
55,20,0
56,3,1
56,21,3
56,34,0
57,11,0
57,17,0
57,31,0
58,3,0
58,12,1
59,37,0
60,13,1
61,26,0
62,37,2
63,30,0
64,30,0
65,6,0
66,17,0
67,14,0
67,17,0
67,34,0
68,13,0
68,14,0
69,13,2
70,11,0
70,31,2
71,29,0
72,17,3
72,24,0
73,31,0
73,39,0
74,36,0
75,1,0
75,16,0
75,28,2
76,8,0
76,38,0
77,21,0
78,16,0
79,3,0
79,34,0
80,30,0
81,5,1
81,17,0
81,35,0
82,7,0
82,35,0
83,24,1
84,3,0
84,33,0
85,18,0
85,35,2
86,20,0
86,31,2
87,13,0
87,35,0
88,30,0
89,14,0
90,18,0
90,30,0
91,32,0
92,24,0
93,8,1
93,18,0
93,37,0
94,7,0
94,21,2
95,36,0
96,12,2
96,39,0
97,3,3
97,31,0
98,0,0
98,36,0
99,2,0
99,6,0
99,31,0
99,32,0
99,34,0
99,37,0
100,26,0
100,33,0
101,8,1
101,16,0
101,18,0
102,1,0
102,3,0
102,6,0
102,31,2
103,30,0
103,38,0
104,24,0
105,2,3
105,17,0
105,35,0
106,10,0
106,14,0
107,8,1
108,31,0
109,7,2
110,8,0
111,9,0
112,31,0
113,1,0
113,5,1
113,8,0
113,20,0
114,10,0
114,32,0
115,19,0
116,1,0
116,20,0
116,33,0
117,35,0
118,7,0
119,18,1
119,35,0
119,37,0
120,8,3
120,31,0
121,24,2
122,35,0
123,7,0
123,11,0
123,18,0
123,38,0
124,27,0
125,7,0
125,8,0
126,30,0
127,0,0
127,36,0
128,24,0
128,30,0
129,13,1
129,28,2
129,37,0
130,7,0
130,37,0
131,9,0
131,26,2
131,35,0
131,37,0
132,8,0
132,26,0
133,7,2
133,35,3
134,3,0
134,4,3
134,21,1
134,34,0
135,35,0
136,21,0
136,31,0
137,21,2
137,30,0
137,36,0
138,31,0
138,37,3
138,39,0
139,31,0
139,34,0
140,8,0
140,13,0
140,22,0
140,34,0
141,2,3
141,6,0
141,7,0
142,0,0
142,14,0
143,39,0
144,11,0
144,16,0
145,21,0
146,10,0
147,21,0
148,13,0
148,30,3
149,3,0
149,26,0
149,35,0
150,0,0
150,28,0
151,14,0
152,15,0
152,26,0
153,28,0
154,37,0
155,8,0
155,26,0
156,11,3
156,17,0
156,20,1
157,16,0
157,26,0
157,34,0
157,35,0
157,37,0
158,13,0
158,36,0
159,4,0
159,13,0
160,37,3
161,15,0
162,14,0
162,17,0
162,34,0
163,13,0
163,14,0
163,19,0
163,26,0
164,3,3
164,11,0
164,32,0
164,33,0
165,3,1
165,18,0
166,21,3
166,22,0
166,32,0
167,26,0
168,13,0
169,25,0
170,13,0
170,18,2
170,28,0
170,30,0
171,2,0
171,11,0
172,36,0
173,11,0
173,25,0
174,5,3
174,17,0
175,36,0
176,5,0
176,32,3
177,12,0
177,35,0
178,1,0
178,8,0
179,13,0
180,5,0
181,1,0
181,17,0
182,14,0
183,37,3
184,13,2
184,32,0
185,9,0
186,28,0
187,21,0
188,8,0
188,10,2
189,13,0
189,31,3
190,7,3
191,12,0
192,28,1
193,3,2
193,10,0
193,18,0
194,10,0
194,37,0
195,1,0
195,9,0
195,30,0
196,1,0
196,7,0
197,25,2
198,22,0
199,11,0
200,28,3
201,3,0
201,12,0
201,30,1
202,7,1
202,31,0
203,10,0
203,36,0
204,10,0
204,13,0
204,14,0
205,8,0
205,11,0
205,17,3
205,30,2
206,31,0
207,1,2
207,13,0
208,5,0
208,12,0
208,14,3
208,36,1
209,3,2
209,7,1
209,14,0
209,20,0
210,8,0
210,11,0
210,33,2
211,21,0
212,21,0
213,2,0
213,20,0
214,11,0
215,25,3
216,3,0
217,31,0
217,37,1
218,5,3
218,19,0
218,20,0
218,30,0
219,6,1
219,31,0
220,5,0
220,20,1
221,33,2
222,14,0
222,32,0
223,4,3
223,17,0
224,1,0
224,5,0
224,36,2
225,14,0
225,39,3
226,36,0
227,1,1
227,12,1
228,17,0
228,30,0
229,7,0
229,37,0
230,18,0
230,28,2
231,21,2
232,8,1
232,21,1
233,5,1
233,13,3
234,39,0
235,14,0
235,22,1
235,38,0
236,1,2
237,4,0
237,9,0
237,38,0
238,1,0
238,22,0
238,35,0
239,0,1
239,7,2
239,28,1
240,20,3
241,26,1
241,30,3
241,32,1
242,31,1
242,32,3
243,26,0
244,4,0
244,13,0
244,21,0
245,8,1
245,13,3
246,35,0
246,38,0
247,0,0
247,14,0
247,17,0
247,26,0
247,36,0
248,21,0
249,33,0
250,6,0
250,37,1
251,14,0
251,17,3
251,33,2
252,38,0
253,7,0
253,11,0
253,26,0
253,37,0
254,33,1
255,7,0
255,14,0
256,34,0
257,7,1
257,16,1
257,31,1
258,3,1
258,28,0
258,37,0
259,31,3
260,3,1
260,10,1
260,21,1
260,32,1
261,1,0
261,8,0
261,15,0
262,2,0
262,13,0
263,9,1
263,31,1
264,1,0
264,12,0
265,27,1
266,3,3
266,4,1
266,17,1
266,33,2
267,10,3
267,14,0
268,20,3
268,30,1
269,18,1
270,39,0
271,5,0
271,17,2
271,26,0
271,30,1
272,28,0
272,30,0
273,11,2
273,17,0
273,36,0
274,6,0
274,7,0
274,30,3
275,22,0
275,32,0
276,1,0
276,3,0
276,8,0
276,10,0
277,22,0
278,5,0
279,14,0
279,38,0
280,21,0
280,34,0
280,35,3
281,5,1
281,6,1
281,21,1
282,38,0
283,3,1
283,12,0
283,32,1
284,8,1
285,19,1
286,11,1
286,32,1
286,33,2
287,37,1
288,3,0
288,8,3
289,28,0
290,7,3
290,12,1
290,32,0
291,1,0
291,8,0
292,21,1
292,32,1
293,18,3
293,34,1
294,3,0
294,28,0
295,31,1
296,7,1
297,34,0
298,6,1
298,14,0
299,17,0
300,10,0
300,13,3
301,31,0
302,12,2
303,13,0
303,22,0
303,32,0
303,36,0
304,4,0
305,37,0
306,7,0
306,17,3
306,36,0
307,8,2
308,11,1
308,21,1
309,0,0
309,24,2
310,0,1
311,14,2
311,17,0
311,30,1
312,22,0
313,13,2
313,20,2
314,21,1
315,3,1
316,0,0
317,3,1
317,8,2
317,13,1
317,37,1
318,5,0
318,17,2
318,34,0
319,26,1
319,30,1
319,33,1
319,34,1
320,6,1
321,32,0
322,7,1
322,21,1
323,26,1
323,30,1
324,1,0
324,3,0
324,30,2
324,32,3
324,36,0
325,8,0
325,17,3
325,19,1
326,31,0
327,34,1
328,3,0
328,24,0
329,17,3
330,2,2
330,5,0
331,35,3
332,0,0
332,14,2
332,34,3
333,4,2
333,14,0
333,22,0
334,30,0
335,0,1
