object,worker,response
0,5,0
0,33,0
1,5,0
2,5,0
2,9,0
3,13,0
3,23,1
3,30,0
4,0,0
4,28,0
5,1,0
5,5,0
5,8,0
6,9,0
6,32,0
6,33,1
6,34,0
7,21,0
7,24,1
8,1,0
8,31,1
8,33,0
9,12,0
10,8,1
10,27,0
10,28,0
10,37,1
11,24,0
12,1,0
12,2,0
12,10,1
12,20,0
13,2,0
13,7,0
13,16,1
13,18,1
13,28,1
14,25,0
15,14,1
15,20,0
15,31,0
16,0,0
16,7,0
16,22,0
17,2,1
17,27,1
18,25,0
18,33,0
19,2,0
19,8,0
19,13,0
19,34,1
19,37,0
20,14,0
20,28,0
21,0,0
21,13,0
21,14,0
22,34,0
23,34,0
24,13,1
25,22,0
25,39,1
26,1,0
26,34,0
27,1,0
27,15,1
27,32,1
28,18,0
28,21,0
28,36,1
29,8,1
29,28,0
30,27,0
31,15,0
31,20,0
31,21,0
32,11,0
33,0,0
34,1,0
34,2,0
34,5,1
35,8,0
36,10,0
37,2,0
38,17,1
38,25,0
39,23,1
39,24,1
39,25,0
39,27,1
40,0,0
40,23,1
40,36,0
40,37,1
41,7,0
41,16,0
41,21,1
41,26,1
42,39,1
43,1,1
43,11,1
43,30,0
43,34,0
44,37,0
45,11,0
45,25,1
45,34,0
46,1,0
46,10,1
46,17,1
47,16,0
47,20,0
47,21,0
47,33,0
47,34,0
48,8,0
48,25,0
49,22,0
49,26,0
50,11,0
51,27,0
52,12,0
52,28,0
53,18,0
53,29,0
53,31,1
54,3,0
54,13,0
54,20,0
54,33,0
54,34,1
54,36,0
55,19,0
55,20,0
55,22,0
55,28,0
56,36,0
57,21,0
58,14,1
58,21,0
58,23,0
59,26,0
60,0,0
60,2,0
60,28,0
61,15,1
61,19,0
62,37,1
63,14,0
64,35,0
65,1,0
65,13,1
65,24,0
65,26,0
65,31,1
66,7,0
66,15,1
67,1,1
67,18,0
68,38,0
69,16,0
69,21,0
70,7,1
70,10,1
71,1,1
71,20,1
72,1,1
72,16,1
73,0,0
73,28,1
73,33,0
74,0,1
74,1,0
74,31,1
75,20,1
75,24,0
76,15,0
76,23,1
76,28,1
76,33,1
77,23,1
77,37,1
78,37,1
79,33,1
80,7,1
80,34,1
80,36,0
81,20,1
81,25,1
81,27,0
82,6,1
82,8,1
83,5,1
84,0,1
85,15,0
85,19,1
85,34,0
86,29,0
87,1,1
88,9,1
88,18,1
88,23,1
89,10,0
89,26,1
89,37,1
89,39,1
90,8,1
91,14,1
91,28,1
92,21,1
92,29,1
92,34,1
92,39,1
93,0,1
93,17,1
94,1,1
94,15,1
95,38,1
96,15,1
96,23,1
96,30,1
97,29,1
98,14,1
98,17,0
99,14,1
99,30,1
100,27,0
100,28,0
101,1,1
101,5,0
101,13,1
101,25,1
101,27,1
102,7,1
102,14,1
103,1,1
104,13,1
104,22,1
104,23,1
104,37,1
104,39,0
105,0,1
105,11,1
105,21,1
105,31,1
106,11,1
106,21,1
106,34,1
107,12,1
107,33,1
108,2,1
108,7,0
109,12,1
109,13,1
109,22,1
110,5,1
111,0,1
111,1,1
112,22,0
112,27,1
113,1,1
114,13,0
114,20,1
115,15,0
115,17,0
115,28,1
115,32,0
116,21,1
116,25,1
116,33,1
117,37,0
118,8,0
119,29,1
120,1,0
121,6,0
121,25,0
122,7,0
123,27,1
123,31,0
123,33,0
124,31,0
125,31,0
126,8,0
127,29,0
128,24,1
128,25,0
129,0,0
130,39,0
131,23,0
131,37,0
132,26,1
132,37,0
133,17,0
133,20,1
133,28,0
134,11,0
135,2,0
135,7,0
136,7,0
137,1,0
137,14,0
137,36,1
138,11,0
139,0,0
139,30,1
140,7,0
140,8,0
140,14,0
140,28,0
141,31,1
142,1,0
142,33,1
143,9,0
143,16,0
143,17,1
143,21,0
143,22,0
143,28,0
144,21,0
144,25,0
144,31,0
145,0,1
145,1,1
145,5,0
145,17,0
145,24,0
146,0,0
146,22,0
146,31,0
147,20,1
148,15,0
149,1,1
149,18,0
149,19,0
149,28,0
149,31,0
149,37,1
150,14,0
151,20,0
151,28,0
151,30,0
152,23,0
152,28,0
153,15,0
153,33,0
153,34,0
153,36,0
153,37,1
154,21,0
154,25,0
154,31,1
154,33,0
155,2,0
155,6,0
155,34,0
156,36,0
157,23,0
158,15,0
159,10,0
159,23,0
160,15,0
160,20,0
161,7,0
161,35,0
162,16,0
163,37,0
164,36,0
165,28,0
166,1,0
166,7,0
166,29,0
167,28,0
168,27,1
168,28,0
168,31,1
169,1,0
169,2,0
169,23,0
169,24,0
170,16,0
171,16,1
171,20,0
172,30,1
173,39,1
174,34,0
175,2,0
176,9,0
176,17,0
176,23,0
176,29,1
176,34,0
176,39,0
177,2,0
177,28,0
178,19,0
178,25,0
179,24,0
180,33,0
181,33,1
182,13,0
182,25,0
182,28,0
182,37,0
183,35,1
184,11,0
184,15,0
184,30,0
185,2,0
185,12,1
185,20,0
186,2,1
186,7,0
186,8,0
186,9,0
186,21,0
186,34,0
186,36,1
187,19,0
188,25,1
189,29,1
190,29,1
191,30,0
191,34,0
192,25,0
192,27,0
193,1,0
193,10,1
193,25,1
194,24,0
194,28,0
195,10,1
195,25,1
195,34,0
196,6,0
196,10,1
196,23,0
197,1,0
197,7,0
198,0,0
198,16,0
198,18,0
198,24,0
199,17,0
200,9,0
200,16,0
201,7,0
201,13,0
202,9,1
202,33,0
203,28,0
204,16,1
205,2,0
206,0,0
206,7,0
206,18,0
206,20,0
206,23,0
206,25,1
206,33,0
207,0,0
208,33,0
209,11,0
209,18,0
209,23,0
209,25,1
210,17,0
211,1,0
211,13,0
211,15,0
211,35,1
212,31,0
212,38,0
213,9,0
213,11,0
213,27,1
214,10,1
215,6,0
215,11,0
215,23,0
216,6,1
216,8,0
217,0,0
218,14,0
218,23,0
218,24,1
218,37,0
218,38,0
219,1,0
220,11,1
221,16,0
222,24,1
223,0,0
223,1,0
223,4,0
223,18,0
223,37,0
224,15,1
225,7,0
226,20,0
226,22,0
227,9,1
227,39,0
228,33,0
229,9,0
230,22,0
230,32,1
231,0,0
231,8,0
231,21,1
232,14,0
233,11,0
233,25,0
233,39,1
234,8,1
235,1,0
236,8,0
237,18,0
238,34,0
239,11,0
240,25,0
240,31,0
241,22,0
241,29,0
242,7,0
243,21,0
243,27,0
244,5,1
244,11,1
244,15,1
244,18,1
245,28,0
246,6,0
247,10,1
247,13,0
247,32,0
248,37,0
249,15,1
249,24,0
249,33,0
250,17,0
250,20,0
250,28,0
250,36,0
251,30,0
252,2,0
253,0,0
253,11,0
253,16,0
253,20,1
254,9,0
255,9,1
256,34,1
257,33,1
258,34,1
259,7,1
259,9,0
260,2,1
261,3,1
262,20,1
263,19,1
263,39,1
264,36,0
265,10,1
266,1,1
267,2,1
267,28,1
268,11,0
268,16,1
268,18,0
268,21,0
269,1,0
269,34,0
270,2,0
270,7,0
270,13,1
270,35,0
271,8,1
272,2,1
272,15,1
272,22,0
273,15,0
273,22,1
273,31,1
274,6,1
274,13,0
274,28,1
274,33,1
275,2,1
276,5,0
276,9,1
276,14,1
276,23,1
277,14,1
277,26,0
277,35,0
278,20,1
279,30,1
280,33,1
281,8,1
282,24,1
282,29,0
282,30,0
282,33,1
283,19,1
284,8,1
284,11,1
285,15,1
286,37,1
287,11,1
287,30,1
287,31,1
288,0,1
288,2,1
288,16,1
289,1,1
289,25,1
290,7,1
290,20,0
290,28,1
291,8,1
291,36,1
292,32,1
293,2,1
293,23,0
293,36,1
294,29,1
295,25,1
295,36,1
296,37,0
297,0,1
297,5,1
297,17,1
298,9,1
298,37,1
299,0,1
299,1,1
299,28,1
300,2,1
300,8,1
300,33,0
301,13,0
301,25,1
302,9,1
302,37,1
303,9,1
303,17,1
304,7,1
304,9,0
304,24,1
304,39,1
305,20,1
305,24,0
305,28,1
305,32,1
306,0,1
307,32,1
308,16,1
309,30,0
309,31,1
310,25,1
311,13,1
311,17,1
311,31,0
312,0,1
312,7,1
312,21,1
312,30,1
312,34,1
313,36,0
314,16,0
314,24,0
314,25,1
315,13,1
315,18,1
316,37,1
317,28,0
317,37,0
317,39,0
318,0,0
318,7,0
318,20,0
318,33,1
319,13,0
319,33,0
320,10,1
321,28,0
322,6,0
322,16,0
323,25,0
324,12,1
325,22,1
325,30,1
326,1,1
326,21,1
326,24,1
327,7,1
327,20,1
328,25,1
329,7,1
329,11,1
329,28,1
330,6,0
330,25,1
331,14,1
331,28,1
332,12,0
332,34,1
332,39,1
333,15,1
333,17,1
333,37,1
334,7,1
334,25,0
334,27,1
335,0,1
335,1,1
335,13,1
335,17,0
335,34,1
336,1,1
336,11,1
336,15,1
336,23,1
337,2,1
337,7,0
337,9,1
337,20,1
337,26,1
337,28,1
338,0,1
338,1,1
338,27,1
338,31,1
339,2,1
340,15,1
340,30,1
340,31,1
341,9,1
341,11,0
342,5,1
343,11,1
343,13,1
343,18,1
343,27,1
343,32,1
344,15,1
344,24,1
345,39,1
346,13,1
347,11,1
347,16,1
347,28,1
347,30,0
348,28,1
348,36,1
349,10,1
349,30,1
349,34,1
350,10,0
351,14,1
352,5,1
352,11,1
352,12,0
352,20,1
352,31,1
353,33,1
353,37,1
354,9,1
355,5,0
355,21,0
355,25,1
355,30,0
356,8,1
356,20,1
356,28,0
356,29,0
356,37,1
357,5,1
357,15,0
357,16,1
357,29,1
358,17,0
359,28,1
360,33,1
361,11,1
361,20,1
362,8,1
362,21,1
362,30,1
362,31,1
362,37,1
363,13,1
363,31,0
364,2,1
364,25,1
364,34,1
365,13,1
365,26,0
365,37,1
366,10,1
366,20,1
366,39,1
367,11,1
368,2,1
368,11,1
368,18,1
368,25,1
369,28,1
370,11,1
370,17,1
371,1,1
371,31,1
372,25,0
372,31,1
373,8,1
373,15,1
373,39,0
374,2,1
374,29,1
375,14,1
375,27,0
375,31,1
376,33,1
377,15,1
377,22,1
377,29,1
378,17,1
378,22,1
379,36,0
380,0,1
380,9,1
380,38,0
381,16,1
382,9,0
382,14,1
382,29,1
383,11,0
383,25,1
384,11,1
384,17,1
384,32,1
385,1,1
385,11,1
385,18,1
385,34,1
386,23,1
387,8,1
387,15,1
387,30,0
388,27,1
388,28,1
388,31,1
388,36,1
389,7,1
389,22,1
390,25,1
391,24,1
392,5,1
393,15,0
393,19,1
393,23,1
393,37,1
394,21,1
395,10,1
395,25,1
395,33,1
396,19,1
396,23,1
397,20,1
397,32,1
397,33,1
398,1,1
399,7,1
400,2,1
400,17,1
400,24,1
401,0,1
401,28,1
402,0,0
402,31,1
402,33,1
403,34,1
404,5,1
404,30,1
404,37,0
405,0,1
405,15,1
405,16,0
405,21,0
406,6,1
406,29,0
406,30,1
406,32,1
407,29,1
408,10,1
409,2,0
410,9,0
410,29,1
411,11,1
411,18,1
411,24,1
412,1,1
412,14,0
412,25,1
412,33,1
413,30,1
413,37,1
413,39,0
414,13,1
414,20,1
414,25,1
414,28,1
414,38,1
414,39,1
415,2,1
415,14,0
415,18,1
415,20,0
416,5,0
416,9,0
416,29,0
417,7,0
417,39,1
418,11,1
419,30,1
420,17,1
420,33,1
421,2,1
421,6,0
421,38,0
422,0,1
422,1,1
422,18,1
423,1,1
423,3,1
423,25,0
424,2,1
424,37,1
425,20,1
426,15,0
426,19,1
427,14,1
428,7,1
428,33,1
428,34,1
429,14,1
429,17,0
429,23,1
429,34,1
430,10,0
430,28,0
430,36,0
431,20,0
431,25,1
432,19,1
432,25,0
433,14,0
434,17,1
435,7,1
435,36,1
436,0,1
436,11,1
436,20,1
437,11,0
438,17,1
438,25,1
439,8,1
439,19,1
439,34,1
440,29,0
441,2,1
441,15,1
441,19,1
441,20,1
441,21,1
441,25,1
442,2,1
442,19,1
442,20,0
443,10,1
443,30,1
444,6,1
444,16,1
444,39,0
445,7,1
445,16,1
446,12,1
446,17,1
447,0,0
447,17,0
448,7,1
449,39,1
450,1,1
451,1,0
451,6,1
452,5,0
452,6,1
452,16,0
453,36,1
454,30,1
455,28,1
455,34,0
456,37,1
457,39,0
458,7,1
458,21,1
458,33,1
458,38,1
459,27,0
460,6,0
460,11,1
460,25,1
460,39,1
461,5,0
461,14,1
461,17,1
461,23,1
462,20,0
463,35,1
464,0,1
464,25,1
465,15,0
465,20,0
465,39,1
466,9,1
466,13,1
466,23,1
467,32,1
468,0,1
468,4,1
468,8,1
468,20,1
468,24,1
468,25,1
469,34,1
470,22,1
471,21,1
472,11,1
472,13,1
472,20,1
472,34,1
473,11,1
474,17,0
474,19,1
475,32,1
476,9,1
476,20,0
476,31,1
476,34,0
477,30,1
477,34,1
478,3,0
478,14,1
478,31,1
479,0,1
479,1,1
479,6,1
479,7,1
479,15,0
480,2,1
480,6,1
480,9,1
480,19,1
480,30,1
481,7,1
482,7,1
482,19,1
482,20,1
483,23,1
484,6,1
485,16,1
485,21,1
486,29,1
487,1,0
487,16,1
488,8,0
489,39,0
490,17,0
491,13,0
491,21,1
492,21,0
492,25,0
493,5,1
493,24,1
493,36,1
494,27,1
494,33,0
495,6,0
495,7,0
495,20,0
496,1,0
496,7,1
496,11,1
496,23,0
497,37,0
498,2,0
498,20,0
498,29,0
499,9,0
499,11,1
499,28,0
499,33,0
500,15,0
500,18,0
500,21,0
501,21,1
502,6,0
502,28,0
502,32,0
502,37,0
502,39,0
503,28,1
503,33,0
504,17,0
504,33,0
505,9,0
506,22,1
507,33,0
508,28,0
509,17,1
510,31,0
511,14,0
511,25,1
511,26,0
511,34,0
512,33,0
513,20,0
513,39,0
514,9,0
514,15,1
514,16,0
514,23,0
514,38,0
515,8,0
515,20,0
516,37,0
517,14,0
518,0,0
518,8,0
518,16,1
518,17,0
518,30,1
519,0,0
519,1,0
519,14,0
519,37,0
520,35,0
521,6,1
521,28,1
522,19,0
522,23,0
522,25,0
523,22,0
524,0,1
524,24,1
525,2,1
525,11,1
525,18,0
525,30,0
526,15,1
526,33,0
527,18,1
527,20,1
527,33,1
528,23,1
529,28,1
529,30,0
529,33,1
530,23,1
531,9,1
532,11,0
532,21,1
532,23,1
532,29,1
532,30,0
533,13,1
534,6,1
534,12,1
534,28,1
535,6,1
535,18,1
535,31,1
535,33,0
536,18,1
536,19,1
536,26,1
537,2,0
537,16,1
537,31,0
538,28,1
538,30,1
539,0,1
539,7,1
539,12,1
539,37,1
540,5,1
541,26,1
541,33,1
542,2,0
542,21,1
542,35,1
543,2,0
543,14,1
544,17,1
545,11,1
546,21,1
546,30,1
546,34,1
547,28,0
548,1,0
548,34,1
548,39,0
549,29,0
550,7,0
550,17,0
550,20,0
551,16,0
551,24,0
551,33,0
552,15,1
552,29,0
553,2,0
554,7,0
554,28,0
555,13,0
555,28,0
556,14,0
557,32,1
558,27,0
559,6,0
560,1,1
560,9,0
560,20,0
561,21,0
562,20,0
562,34,0
563,14,0
564,2,0
565,0,0
565,29,0
565,35,1
566,9,0
566,16,0
566,20,1
566,23,0
566,25,0
567,33,0
