worker,label_prob,quality,n_labels
0,0.07874226918866237,0.8501008003750747,58
1,0.08257396334250458,0.8438818231227943,70
2,0.04937256672005058,0.8005829754364074,50
3,0.0056620258149752585,0.8377093900754707,5
4,0.012662316740211788,0.630790264003876,3
5,0.04184905600546587,0.6414064429482174,25
6,0.050105363936627005,0.8188196344059723,36
7,0.07045764647199462,0.8985120849918602,52
8,0.04972166740304382,0.824664655743365,35
9,0.05012434457098306,0.8310409779095611,40
10,0.028650185050040224,0.6960874076078488,21
11,0.0612071017712727,0.8135540748555926,52
12,0.019384496927901364,0.6681573102766268,15
13,0.05987464391683898,0.8494481479480112,35
14,0.06495012446135714,0.8256762494306388,46
15,0.07861417527097758,0.618925734009668,49
16,0.05094314368787778,0.8212492956949271,47
17,0.05251734227870647,0.6866889053510621,40
18,0.04100135885555645,0.795786766324618,28
19,0.039561936673970934,0.7949359024535181,24
20,0.08174815954125164,0.7783221273585605,65
21,0.06965404799392623,0.8604297709732336,42
22,0.04297263970152854,0.7002925805686853,32
23,0.07606855193102467,0.8793840205945168,48
24,0.04359435920309582,0.6913122706797555,36
25,0.08633334795842486,0.6922084789511256,64
26,0.0149662907890457,0.723071781644993,15
27,0.04269845266052457,0.6121260965143757,28
28,0.09125820152151096,0.8842613261878118,69
29,0.04558832944305087,0.6109905350770297,37
30,0.05173896053126318,0.7197407432853463,41
31,0.06939194679874415,0.7194847591016761,43
32,0.031276928419426434,0.655374351924814,20
33,0.0998000226449253,0.831954079824993,64
34,0.07619744870787216,0.8951308601872653,52
35,0.014570508230955459,0.7042247585649362,10
36,0.036719814630348326,0.6994181648104182,28
37,0.06937089906354264,0.774310973671635,44
38,0.018743875612635352,0.8301705350441438,12
39,0.03538044787974528,0.6632723889891671,33
