object,worker,response
0,32,0
1,34,1
2,10,0
2,11,1
2,20,0
3,25,0
4,34,1
5,11,1
6,4,0
7,36,0
7,37,1
8,4,0
8,27,1
8,30,0
9,6,1
10,23,1
10,24,0
10,39,0
11,22,1
11,30,1
12,15,0
12,26,0
13,6,1
14,30,0
14,38,1
15,10,1
15,28,1
16,8,0
16,22,0
17,25,0
18,27,1
19,30,0
20,36,0
21,0,0
21,10,0
22,27,0
23,35,0
24,0,0
24,15,0
24,18,0
24,27,0
25,10,1
25,26,0
26,39,0
27,4,0
27,17,0
27,39,1
28,11,0
28,27,0
29,24,1
30,8,0
31,14,1
32,26,0
33,0,0
33,36,0
34,11,1
34,13,0
34,34,0
35,10,1
35,26,0
36,12,0
36,37,0
37,19,0
38,6,0
38,30,0
39,12,0
40,27,0
40,29,0
41,25,0
42,30,0
43,24,0
44,10,1
44,22,0
45,0,0
45,16,0
45,24,0
46,0,0
46,12,1
47,25,0
47,39,0
48,0,1
49,30,0
50,0,0
50,4,1
51,4,1
52,0,1
52,10,0
52,35,0
53,26,0
54,26,1
55,10,1
55,12,0
55,22,1
56,27,1
57,38,1
58,10,0
59,11,1
59,26,0
60,11,1
60,27,0
60,36,1
61,2,0
62,27,1
63,2,1
64,38,1
64,39,1
65,11,0
65,20,0
66,19,0
66,28,0
66,36,0
66,39,0
67,24,1
68,18,1
68,36,1
69,39,0
70,15,0
71,27,0
71,34,1
72,5,0
72,30,0
73,0,0
73,2,0
74,26,1
75,5,0
75,37,0
76,17,1
77,13,0
77,38,1
78,6,1
78,27,0
78,30,0
79,30,0
80,2,1
80,11,1
80,31,1
81,0,1
81,6,0
81,10,0
81,11,0
81,37,0
81,39,0
82,5,0
83,6,0
83,15,1
84,10,0
85,0,0
86,2,0
86,20,0
86,36,1
86,37,0
87,18,0
87,37,1
88,4,0
88,30,0
89,15,1
90,4,0
91,11,0
91,39,1
92,17,1
92,39,1
93,17,0
94,0,1
94,10,0
94,13,0
94,30,0
95,8,1
95,35,1
96,4,1
97,0,0
97,4,0
97,24,1
97,37,0
97,39,0
98,18,0
99,0,0
100,18,0
101,4,0
101,5,0
101,10,0
101,30,0
101,37,0
102,11,0
102,35,0
102,37,0
103,22,0
103,27,1
103,39,0
104,26,0
104,34,1
105,0,1
105,30,1
106,8,1
107,0,1
108,32,1
109,4,0
109,15,0
109,30,0
110,4,0
111,5,0
111,17,0
111,37,0
112,0,1
113,0,1
113,25,0
114,4,1
114,6,0
114,30,0
114,37,1
115,39,0
116,11,0
117,2,0
117,35,0
118,0,1
118,10,1
118,11,1
118,34,1
119,29,0
120,34,1
121,2,0
122,6,0
122,11,0
123,22,1
124,39,1
125,2,0
125,26,0
126,4,1
127,35,1
128,4,0
128,27,1
128,31,0
129,34,1
129,39,1
130,38,0
131,4,1
131,11,0
132,5,0
132,10,0
132,11,0
132,24,0
133,0,1
133,3,0
133,4,0
133,12,0
133,15,0
133,26,0
133,28,0
134,26,0
134,27,0
135,38,0
136,37,0
137,18,0
138,11,0
138,21,0
138,31,0
139,0,0
139,35,0
140,4,0
140,18,0
140,38,1
141,24,1
141,39,1
142,4,0
142,30,0
143,37,0
144,24,1
145,12,1
146,31,0
147,20,0
147,37,0
148,6,0
148,15,0
149,17,0
150,15,0
151,37,0
152,30,0
152,38,0
153,5,0
154,0,0
154,10,1
154,15,0
154,36,0
155,17,1
155,26,1
156,37,1
157,18,0
158,4,0
158,27,1
159,4,1
159,26,0
160,35,0
161,0,0
161,22,0
161,24,1
162,2,1
162,26,1
163,5,0
163,14,0
163,26,1
163,28,0
163,35,0
164,6,0
165,2,1
165,5,0
165,36,1
166,5,0
167,2,0
167,24,0
167,37,1
168,31,0
168,36,0
169,4,1
169,6,1
169,18,1
169,39,0
170,10,1
170,24,0
170,31,1
171,6,0
172,18,1
173,6,0
173,18,0
174,0,1
175,5,1
175,10,0
176,22,0
176,26,0
176,27,0
177,26,0
178,12,0
179,0,0
179,18,0
180,0,0
180,11,0
180,36,1
181,6,1
181,17,1
181,18,0
181,25,1
181,37,0
182,1,1
182,22,1
183,37,0
183,39,1
184,36,0
184,39,1
185,1,0
185,8,0
185,36,0
186,24,1
187,0,0
187,16,0
188,10,1
189,27,1
190,2,1
190,24,0
190,30,1
191,6,1
191,37,1
191,38,0
192,0,0
192,10,1
192,27,1
193,4,0
193,13,0
193,15,0
194,24,1
194,34,1
195,20,0
196,4,0
196,13,0
197,10,1
197,37,0
198,29,0
199,18,1
200,28,0
201,8,0
201,26,0
202,2,0
203,0,0
204,27,0
204,34,0
205,13,0
205,27,0
206,0,1
207,17,0
207,26,0
207,31,1
208,4,0
208,13,0
209,6,0
209,34,0
210,0,1
210,18,0
211,15,0
212,39,1
213,15,1
213,22,0
214,0,0
214,34,0
214,37,0
215,31,1
216,37,0
217,9,0
218,37,0
219,19,0
220,32,0
221,4,1
221,26,1
222,6,0
222,11,0
222,21,0
222,22,0
223,6,0
224,8,0
224,39,0
225,4,0
225,35,0
226,26,0
226,32,1
227,8,1
228,4,1
229,0,0
229,13,0
230,5,1
230,32,1
231,11,1
231,25,0
232,35,0
233,37,0
234,26,1
234,27,0
234,36,0
235,8,1
235,30,0
235,36,1
235,37,0
236,24,0
237,22,1
238,5,0
238,39,0
239,24,0
239,31,1
240,6,1
240,34,1
240,36,0
241,26,0
242,6,1
242,11,0
242,15,1
243,24,1
244,24,0
245,0,0
246,31,0
247,0,0
247,6,0
248,6,1
248,27,0
248,30,0
249,0,1
250,31,0
251,4,0
251,10,0
252,36,0
252,37,1
253,35,0
254,1,0
254,11,0
255,11,1
255,35,0
256,26,0
257,29,1
258,4,1
258,13,1
259,5,0
259,21,0
259,23,1
260,15,0
260,22,0
260,30,0
261,6,0
261,11,1
261,18,0
262,11,0
262,17,0
262,29,0
263,6,0
263,27,0
264,11,0
265,30,1
266,4,1
266,35,1
267,30,0
268,39,1
269,26,1
269,30,0
270,1,1
270,22,0
271,4,0
271,18,0
272,28,0
273,23,0
273,28,0
273,35,1
274,11,1
275,6,0
275,19,0
275,25,1
275,30,0
276,4,1
276,37,0
277,35,0
278,2,1
278,4,1
278,18,1
279,6,0
279,27,0
280,1,0
281,10,0
281,12,0
281,34,0
281,38,0
282,1,0
282,36,0
283,4,0
283,6,1
283,8,0
283,11,0
283,37,0
284,7,0
285,12,1
286,1,0
286,8,1
286,11,0
286,13,0
286,26,0
287,27,0
287,39,1
288,0,1
288,37,0
289,10,1
290,4,0
290,24,1
291,26,1
292,20,0
292,39,0
293,15,0
293,22,0
293,30,0
294,11,0
295,0,0
296,6,0
297,17,0
297,21,0
298,16,0
298,32,0
298,35,0
298,36,0
298,37,0
299,2,0
300,10,0
301,24,1
302,0,1
302,10,1
302,17,0
303,29,0
304,26,0
304,28,1
305,13,0
306,30,0
307,0,0
308,22,1
309,5,0
310,31,0
311,0,0
311,30,0
312,22,0
312,26,0
312,38,1
313,10,1
313,15,0
314,28,0
315,4,1
316,2,0
316,6,0
317,0,1
317,4,1
317,38,0
318,13,0
319,36,0
320,10,0
321,27,1
321,39,0
322,6,0
323,27,0
323,28,0
323,34,0
324,5,0
324,35,0
325,26,0
325,27,0
326,27,0
327,11,0
328,37,0
329,0,0
329,36,0
330,30,0
330,36,1
331,37,1
332,0,0
332,13,1
332,38,1
333,2,0
333,15,1
333,22,1
333,31,1
334,16,1
335,9,1
336,37,0
337,0,1
337,6,0
337,26,0
338,39,0
339,3,1
340,6,0
341,26,1
341,35,0
342,2,0
342,18,1
342,26,0
342,37,0
343,26,0
343,28,0
344,11,0
345,17,0
345,26,0
345,27,0
345,38,0
346,13,0
347,13,0
348,11,0
349,39,1
350,11,1
351,4,0
352,22,0
353,27,1
353,30,0
354,24,0
354,31,0
355,0,1
355,8,1
355,24,1
355,25,0
356,2,0
356,4,0
357,10,0
358,17,0
359,29,1
360,0,0
360,34,1
361,6,0
362,4,1
362,10,0
363,15,0
363,17,0
364,0,0
365,32,0
366,11,1
366,30,0
367,30,0
368,8,1
369,11,0
369,17,0
369,35,0
370,10,0
371,13,0
372,29,0
373,4,0
373,34,0
373,35,1
374,12,1
374,23,0
374,35,1
374,36,1
375,15,1
375,35,1
375,37,1
376,24,0
377,1,1
377,13,0
378,5,1
378,11,1
378,26,1
379,36,1
380,28,0
381,4,1
381,13,0
381,26,1
381,28,1
382,0,0
383,8,0
384,6,0
384,8,1
384,27,1
384,30,0
385,6,0
386,36,0
387,0,1
