worker,label_prob,quality,n_labels
0,0.09424411962704168,0.692141508236622,110
1,0.02760018924379093,0.617423275638658,33
2,0.04251835325931456,0.765230750088307,46
3,0.011812074310672627,0.7967735728535972,8
4,0.09975579590079042,0.731138250045222,106
5,0.03887566887575385,0.8382171135776858,39
6,0.07652984961015585,0.8392679344540572,76
7,0.0022692706569044986,0.8564375995639592,4
8,0.025163832439345748,0.8739566561049762,33
9,0.002248953914424068,0.8214813928418937,4
10,0.06957983015743299,0.8590985831862273,78
11,0.08774816663342887,0.734185708210917,82
12,0.021933282150941414,0.7111968212597793,27
13,0.08074072809828146,0.7984263162929706,78
14,0.003075435736826815,0.6221903099055706,8
15,0.05324966288785235,0.8345479313007564,52
16,0.005222266872334492,0.8628712142024827,9
17,0.021376681046762047,0.7785653563871868,26
18,0.05125672988669683,0.7544433362864642,52
19,0.01936432440179501,0.8288851681715199,23
20,0.014449852064977176,0.6609691579754146,12
21,0.019466065935343127,0.76868341255655,18
22,0.054901584251825224,0.6433020311402513,53
23,0.02414465691765573,0.8148739454326537,19
24,0.03301007734332436,0.6469990318366451,53
25,0.026471585509920726,0.6331190091445333,31
26,0.07777074832761599,0.6276469373186535,87
27,0.083082281574169,0.8761448883268532,93
28,0.035430568215185546,0.6781467317818234,39
29,0.007975026842393164,0.650273065937201,21
30,0.06932480471381712,0.764683232477802,82
31,0.04684202106822216,0.7349953511104543,48
32,0.021497583882697114,0.6999004010929689,27
33,0.0006199059373802829,0.8943583239483687,7
34,0.053607965729556006,0.8995222495615517,47
35,0.037369603995739444,0.8845631792123898,48
36,0.049796700907061876,0.7550951385557091,58
37,0.09801797932621786,0.7972712587429923,92
38,0.021937421279859783,0.7282489304613801,37
39,0.0839894047359653,0.7472277976723568,81
