object,worker,response
0,5,1
0,9,1
1,0,0
1,30,0
2,2,0
2,5,1
2,8,0
2,25,1
2,31,1
3,5,0
3,15,0
3,26,0
3,36,0
4,17,1
5,0,1
5,19,0
6,2,1
6,8,1
6,14,1
6,15,1
6,16,0
7,28,1
7,32,0
7,36,1
8,8,1
8,39,1
9,5,1
9,9,0
9,19,1
10,10,0
11,11,1
12,32,0
13,24,1
14,37,1
15,25,1
15,28,1
15,37,1
16,12,1
16,38,0
17,6,0
17,8,1
17,15,1
17,17,1
18,18,1
18,25,0
18,37,0
19,27,0
19,30,1
20,12,0
20,13,0
20,14,0
20,18,0
21,25,1
21,35,0
22,3,1
22,23,1
22,33,1
23,5,0
24,12,1
24,34,0
25,8,0
25,35,1
26,1,1
27,24,0
27,34,0
27,36,0
28,25,0
28,28,0
29,24,0
30,12,0
30,15,0
30,22,0
31,5,1
32,3,1
32,23,0
32,28,0
33,2,0
33,18,0
33,19,1
33,23,1
34,6,0
35,22,1
35,32,0
36,2,0
36,12,0
36,13,0
37,12,0
37,33,1
38,30,1
39,16,1
39,24,1
39,30,1
40,9,0
40,28,0
41,2,0
41,19,1
41,37,0
42,25,0
43,2,0
43,12,1
43,25,1
44,28,0
45,1,1
45,23,0
45,27,1
45,34,1
46,21,1
47,16,0
47,17,0
47,18,0
47,28,0
48,24,1
49,8,0
49,32,0
49,33,0
50,2,0
50,11,0
50,26,0
51,13,1
51,37,0
52,19,1
52,22,0
52,31,1
52,33,0
52,36,1
53,25,1
53,35,1
54,5,0
54,19,0
55,8,0
55,14,0
55,28,0
55,32,0
55,34,0
56,2,1
56,37,0
57,12,0
57,25,0
57,31,1
58,0,0
58,19,0
59,23,0
59,24,1
60,31,0
60,33,0
61,1,1
61,28,1
62,3,1
62,4,0
62,15,0
62,24,0
63,26,0
64,19,1
65,33,0
65,37,0
66,0,1
66,28,0
67,6,0
68,33,0
68,36,0
68,37,0
69,1,0
69,2,0
70,12,1
71,1,0
71,8,0
71,18,0
71,37,0
72,17,1
73,30,1
74,1,0
74,24,0
75,8,1
75,24,0
75,28,0
76,16,0
76,19,0
76,36,0
77,31,0
78,19,1
78,30,1
78,32,0
79,4,0
79,22,0
80,5,0
80,33,1
81,28,0
81,34,0
82,7,1
83,5,0
84,20,1
84,33,1
85,28,0
86,9,0
86,39,0
87,8,0
87,19,0
87,23,1
87,34,0
87,35,1
88,36,1
89,32,0
89,34,0
90,3,0
91,27,0
92,8,0
93,8,0
93,27,1
93,35,1
94,7,0
95,24,0
95,35,0
96,23,0
97,0,1
97,23,1
98,25,0
98,34,0
99,0,1
99,23,0
99,32,1
99,35,1
100,5,1
101,8,0
101,35,0
102,4,0
103,11,0
104,1,0
104,23,0
105,1,0
105,35,0
106,1,0
106,14,0
106,31,0
107,34,0
107,36,0
108,2,0
108,3,0
108,4,0
108,13,1
109,16,0
110,5,1
111,1,1
