worker,label_prob,quality,n_labels
0,0.061576295480243286,0.7722678886905876,49
1,0.07611127028993299,0.7980490342202511,76
2,0.09665078707894965,0.7587790665728509,70
3,0.052265502396789655,0.7880687873716852,37
4,0.05702312100766158,0.8851868485464954,46
5,0.08467514101254936,0.8093434046959631,73
6,0.04235173842747602,0.7964939323650574,35
7,0.00622914520903799,0.7442660716329191,5
8,0.09449714516483629,0.7195063109220331,75
9,0.0596704538104014,0.6124771848286173,41
10,0.010159531636514474,0.8690426722864963,11
11,0.017086438775795576,0.6723727340589952,16
12,0.06350204258727757,0.758941698828936,60
13,0.03736952844062213,0.8589001936678728,37
14,0.07068426755351452,0.716046675535255,58
15,0.03006674748788506,0.7004854263378049,26
16,0.04820936566083781,0.6070058911705464,33
17,0.03308719444549463,0.6958666761291855,28
18,0.03829559716093034,0.671208968212367,34
19,0.06434716138563065,0.8240519166033191,55
20,0.02257344613558191,0.7148598635120534,15
21,0.005420415839734328,0.6360590950764682,5
22,0.061736901981206675,0.7047495855223345,53
23,0.08498423889484387,0.6379415383901752,65
24,0.08441026778741348,0.7307419354900517,68
25,0.06488170009214912,0.8625992981578019,51
26,0.01458134844569079,0.7416729270594695,15
27,0.03738632423762635,0.7978374758815572,21
28,0.092339051195235,0.7013026620332536,63
29,0.02105269833894037,0.7124119252610855,20
30,0.05905318296679766,0.854346827135245,38
31,0.0638262705028058,0.6222378065511289,50
32,0.04779289835512194,0.8389863911568651,47
33,0.09692751223812945,0.7600824575090043,70
34,0.05990404017140635,0.8574321406002203,51
35,0.09319629707659369,0.7860072983749081,69
36,0.06312592173554,0.7370743331906892,46
37,0.08803876101461498,0.6371891286233946,57
38,0.03692659282590793,0.8027809794944956,28
39,0.012486425124351719,0.788641556010132,12
