object,worker,response
0,37,0
1,11,1
1,23,0
1,28,1
2,1,1
2,39,1
3,37,0
4,3,1
4,4,0
4,21,1
4,33,0
4,36,0
5,19,0
6,5,0
6,8,1
6,37,1
6,38,0
7,8,1
8,23,1
9,31,1
10,8,0
10,25,0
11,30,0
12,11,0
13,2,1
13,30,0
13,39,0
14,32,0
15,1,0
15,9,1
16,16,1
17,38,0
18,33,0
18,35,1
19,28,0
20,11,1
21,25,0
22,1,0
22,34,0
23,8,1
23,35,1
24,1,1
24,11,1
25,9,1
25,33,1
26,16,0
27,18,0
27,20,1
28,20,0
29,9,1
30,8,0
30,18,0
30,21,1
30,35,1
30,36,1
31,14,1
31,27,1
32,19,1
33,5,0
33,29,0
34,13,0
35,1,0
36,32,1
37,36,0
38,7,1
39,17,1
40,33,1
41,28,1
42,4,1
42,30,0
43,6,0
43,35,0
44,14,0
44,21,1
44,25,1
44,39,1
45,34,1
45,39,1
46,34,1
47,20,1
48,25,0
49,21,1
50,4,0
51,4,0
52,19,1
53,36,1
54,5,1
54,20,0
54,34,1
55,30,1
56,13,1
57,3,0
58,16,0
59,3,0
59,9,0
60,11,1
60,18,1
61,14,0
61,35,0
62,8,1
63,21,0
64,39,0
65,6,0
65,11,1
65,27,1
65,36,1
66,39,0
67,8,0
67,23,0
68,30,1
69,0,1
70,18,0
70,32,1
71,1,1
72,30,0
73,8,1
73,34,1
73,35,1
74,22,1
75,33,0
75,35,0
76,1,0
76,20,1
76,32,1
76,35,0
76,39,1
77,9,1
78,32,0
79,4,1
80,5,0
80,13,0
80,29,0
81,7,0
81,9,0
81,24,0
81,33,0
82,30,1
83,30,0
84,27,1
85,19,0
85,39,0
86,24,0
86,25,0
86,35,0
87,5,0
88,1,0
89,24,1
89,33,1
89,35,1
90,14,1
90,32,0
91,1,1
91,28,1
92,11,0
93,6,1
94,11,0
94,34,1
95,32,1
96,33,0
97,9,1
98,11,0
99,6,0
99,8,0
99,31,0
100,9,1
101,12,1
101,19,1
102,6,0
102,28,1
103,9,0
103,35,0
104,37,1
105,30,0
106,10,1
107,5,1
108,28,1
109,26,1
110,1,1
110,38,1
111,33,1
111,34,1
112,14,0
112,20,1
112,32,0
113,8,1
113,20,0
114,23,0
114,39,1
115,8,0
115,9,1
116,28,0
116,35,0
117,11,1
118,38,1
119,38,1
120,1,1
120,29,0
121,3,1
121,20,0
121,35,1
122,3,0
122,31,0
122,33,0
123,32,1
123,39,1
124,8,1
124,11,1
124,18,0
125,11,0
125,17,0
126,8,1
127,7,1
127,9,1
127,13,1
128,17,0
129,27,0
129,32,0
130,18,0
131,4,0
131,11,0
131,24,0
131,34,0
132,16,0
133,11,1
133,17,0
134,2,0
135,9,0
135,23,0
136,20,0
136,26,0
137,8,1
138,8,1
139,2,0
139,25,0
139,38,0
140,7,1
140,18,0
140,23,0
140,33,1
140,38,0
141,17,1
142,33,0
143,14,1
143,18,1
143,28,1
144,28,0
145,9,1
145,11,1
145,17,1
146,33,1
146,38,0
147,4,1
147,18,0
148,8,0
148,17,1
148,34,1
149,8,1
149,30,1
150,26,1
151,5,0
151,23,0
151,39,0
152,8,1
152,11,0
152,38,0
153,13,0
