worker,label_prob,quality,n_labels
0,0.0011126994564266246,0.8156731961303103,5
1,0.05835424002855599,0.7143528228059981,23
2,0.02587383084470084,0.8321373252219637,6
3,0.03900098866022353,0.7823989689699813,9
4,0.041023076997369345,0.8397986461676347,18
5,0.042487377045398594,0.7666254360062424,12
6,0.038698768453704346,0.6903110646042754,12
7,0.043109411286981994,0.8130644686699727,13
8,0.09044054680511254,0.8631311615984352,29
9,0.05340989316984765,0.700019212815353,20
10,0.022144327176674618,0.8498759133637781,5
11,0.08915055074061906,0.7183176622202869,32
12,0.0075343966444503365,0.7476169209081805,2
13,0.03767653705190023,0.6476236439768235,9
14,0.02354695524717676,0.6026349884787849,10
15,0.007403185221101272,0.8617308592985672,2
16,0.012633121250152757,0.8342239840926734,6
17,0.043356675413718106,0.7111149675663664,15
18,0.04025270410389951,0.7528066510269077,12
19,0.0275980481272467,0.6568102814762576,11
20,0.05582188972113187,0.6325004652933972,18
21,0.03840587601801631,0.7290640742338026,10
22,0.015499633567840888,0.8790954906134757,6
23,0.05816680544448147,0.698076701188845,12
24,0.022948371641042877,0.7708068272628606,7
25,0.015480257429297973,0.8681028370711945,11
26,0.05040514965044296,0.6384293018403594,13
27,0.025578192156532665,0.878481371835757,6
28,0.06741169320235454,0.8420557470177356,17
29,0.016517374249864682,0.7309651394156057,9
30,0.036721533921810635,0.8405689786361488,14
31,0.02306315704825325,0.7773108523311625,7
32,0.09363133620781489,0.8221120882570341,26
33,0.09748584257566607,0.6300013275454651,28
34,0.05905285870011854,0.7085386107562458,19
35,0.0940176418955127,0.7867451382490651,36
36,0.018731023418905902,0.6930691829892853,8
37,0.029587640901127754,0.8232696187468685,10
38,0.07801476761370624,0.8155421455837968,17
39,0.07270748209460302,0.7276444539082086,24
