object,worker,response
0,24,0
0,30,0
1,16,0
2,8,0
2,20,0
3,5,1
3,25,0
3,36,0
3,39,0
4,13,1
4,18,0
5,12,0
5,25,0
6,5,0
6,18,0
6,26,0
6,35,0
7,13,0
7,21,0
7,24,0
7,25,1
7,26,0
8,11,0
9,21,0
10,11,0
10,25,0
11,26,0
12,1,0
12,8,1
12,11,0
12,21,0
12,25,0
12,28,0
13,12,0
14,38,0
15,11,1
15,12,1
16,36,0
17,28,0
18,31,0
19,17,0
19,24,0
20,25,0
21,24,0
22,8,1
22,14,0
23,34,0
24,29,1
24,35,0
25,1,1
26,2,0
26,19,1
26,26,0
26,33,0
27,4,0
27,15,0
28,7,0
28,19,0
28,28,0
28,31,1
29,2,0
29,18,0
30,5,1
30,7,1
30,18,0
31,16,0
31,25,0
32,20,0
33,1,0
33,14,0
34,12,1
34,26,1
35,4,0
35,26,0
36,1,0
36,4,0
36,28,0
36,34,1
37,10,0
37,16,1
38,19,0
39,21,0
39,26,0
40,8,1
40,18,0
40,31,0
40,36,0
40,38,0
41,23,1
42,4,0
43,11,0
43,13,1
43,14,0
44,23,0
45,37,0
46,19,1
47,2,0
47,14,0
48,28,0
49,29,0
50,27,0
51,0,0
51,39,1
52,8,0
52,13,0
53,9,0
53,28,0
53,39,0
54,36,1
55,9,1
55,12,0
55,13,0
55,34,0
56,9,1
56,12,0
56,21,1
56,28,0
57,12,0
57,17,0
57,21,0
57,37,1
58,21,0
59,5,0
60,2,1
60,4,0
60,16,1
60,18,1
60,22,0
61,14,0
61,37,1
62,26,0
63,12,0
63,19,1
63,35,1
64,22,0
65,12,0
65,32,0
66,21,0
67,4,1
68,7,1
68,10,0
69,38,0
70,26,1
71,12,1
72,1,0
72,12,1
73,23,0
74,8,0
74,11,0
74,23,1
75,8,1
76,5,0
76,11,0
76,21,1
76,24,0
77,18,1
77,22,1
78,18,1
78,29,1
78,32,0
79,24,0
80,13,0
80,24,0
81,8,0
82,25,0
82,31,0
83,1,0
83,6,0
83,8,0
84,21,0
85,0,0
85,1,0
85,4,0
85,5,0
85,19,1
85,29,0
86,12,0
86,13,0
87,35,0
88,15,0
89,18,0
89,30,0
89,39,0
90,31,0
91,13,1
91,39,1
92,18,0
92,24,0
92,32,0
93,5,0
93,10,1
93,14,1
93,29,0
94,7,0
94,26,0
95,30,0
96,5,0
96,18,0
97,9,1
97,17,0
98,12,1
98,19,0
98,25,0
98,30,0
99,25,0
99,37,0
100,2,0
101,10,0
102,8,1
102,12,1
