worker,label_prob,quality,n_labels
0,0.022245154467189512,0.7555739912648861,7
1,0.08889090929877966,0.6049736723772909,24
2,0.041201795062424974,0.6612766052998659,16
3,0.0010571536320172603,0.8481540071335055,2
4,0.07738664104183997,0.6481541058651982,26
5,0.06695271853761466,0.750815698399479,19
6,0.0571376720781279,0.77096491792245,15
7,0.04235506036970889,0.6687757852339598,14
8,0.09522509459744043,0.6353640864075717,30
9,0.015985350360552698,0.795300318758283,10
10,0.026465699397242883,0.6833040826720711,10
11,0.09878188009324762,0.7591920862699233,29
12,0.09457032263814688,0.6818512530090811,36
13,0.05726048629783768,0.7255314288320395,18
14,0.07160888625434401,0.8300055386623534,25
15,0.04278756867042993,0.6203322720096315,16
16,0.06448843529978246,0.6681793621194456,21
17,0.031390024450220134,0.8506957888945211,11
18,0.0992811615862519,0.6411967592965301,27
19,0.0608186185068974,0.6798737091960532,21
20,0.01133441305898465,0.8437362300246627,2
21,0.08429826032668758,0.7796155341628761,22
22,0.016992721570088156,0.7090277388862769,7
23,0.02276651264973352,0.6643370451936559,12
24,0.04042672643772795,0.8685521177144536,15
25,0.09784069173929405,0.7370839339970777,30
26,0.08973287171865843,0.8842673099529487,28
27,0.02779775887907059,0.6523886624159176,7
28,0.08755152556920036,0.8637004077929256,17
29,0.03278000181096762,0.7153719781653323,15
30,0.06486713562592793,0.7812064732904062,17
31,0.03175331794738585,0.7667770828231103,9
32,0.040054679986769696,0.8313791545895901,8
33,0.01359173034934812,0.7128664228455703,3
34,0.04421667442260496,0.8266565742858075,11
35,0.05483535663068111,0.6245175230127001,16
36,0.029312275409153977,0.6183115381939438,10
37,0.04423769984783063,0.6453420714237155,17
38,0.05611897807402118,0.6561874935451839,12
39,0.0241566178122408,0.7181132368786683,13
