object,worker,response
0,14,1
0,21,0
0,39,0
1,7,0
2,36,1
3,2,1
3,5,0
3,23,1
3,27,1
4,7,0
4,21,1
4,38,0
5,8,0
6,0,1
6,33,1
7,26,1
7,36,1
7,39,0
8,33,1
9,32,1
9,35,0
10,0,0
10,27,0
11,8,1
11,14,0
11,23,0
11,37,1
11,38,0
12,0,0
12,3,1
12,26,0
13,15,1
14,17,0
15,1,0
15,5,0
15,24,0
15,38,0
16,3,0
17,27,1
18,32,1
18,37,1
19,11,1
20,0,0
20,1,1
20,6,1
20,17,0
20,21,0
21,0,0
21,11,1
22,10,1
22,18,0
23,39,0
24,5,0
25,28,0
26,10,0
27,1,1
27,5,0
27,8,1
28,21,0
29,17,0
29,22,0
30,1,1
30,2,1
31,6,1
31,8,0
31,11,1
32,2,0
32,8,1
33,11,1
33,17,1
34,10,0
34,14,1
34,23,1
35,8,1
35,9,1
35,22,1
36,16,0
37,0,1
37,5,1
37,23,0
38,4,0
38,10,0
39,21,1
40,20,0
40,22,0
40,36,1
41,5,0
41,37,1
42,8,0
42,11,0
42,34,0
43,6,0
44,1,1
44,13,1
44,37,0
45,17,1
45,23,0
46,0,1
46,13,1
46,19,0
47,1,1
47,32,1
48,14,1
49,3,1
50,14,0
50,29,1
51,3,0
51,10,0
51,37,1
52,8,0
52,32,0
53,3,0
54,3,1
54,7,0
54,22,0
54,38,0
55,5,0
55,37,0
55,39,1
56,23,1
56,24,1
56,32,1
57,38,0
58,37,1
59,10,1
59,21,1
59,34,1
59,38,1
60,1,0
60,6,0
60,36,0
61,5,1
61,32,1
62,8,0
63,20,1
64,3,1
64,10,0
64,36,0
65,6,0
66,0,0
66,5,0
66,16,0
66,28,0
67,6,1
67,39,1
68,4,0
69,33,0
69,35,1
70,27,0
70,33,1
71,1,0
71,21,0
71,27,0
72,0,0
72,8,1
72,14,0
72,19,0
72,26,1
73,6,0
73,7,0
74,7,0
74,16,0
74,18,0
75,0,1
75,9,0
75,16,1
75,17,1
76,1,1
76,38,0
77,14,0
78,1,0
78,26,1
79,17,0
79,31,1
79,38,0
80,8,1
80,13,0
81,3,0
81,4,1
81,7,1
81,37,1
82,1,1
83,15,0
83,30,0
84,7,0
84,13,0
84,36,0
85,3,0
85,11,0
85,32,1
85,36,0
85,37,0
86,15,1
86,22,0
87,23,0
88,13,0
88,21,0
89,2,1
89,11,1
89,16,1
90,38,1
91,16,0
91,33,0
92,8,1
93,14,1
94,35,1
95,1,1
95,16,1
96,16,0
96,35,0
97,16,0
97,37,0
98,1,0
98,8,0
99,36,0
100,3,0
100,5,1
100,13,0
100,35,1
101,27,1
102,32,0
103,21,1
103,32,1
103,37,1
104,7,1
105,6,0
105,13,0
105,24,1
106,16,0
106,18,1
106,20,0
107,32,0
107,36,1
107,38,1
107,39,1
108,7,1
