worker,label_prob,quality,n_labels
0,0.08322521834549507,0.8611936835149024,28
1,0.09590084182916976,0.783637598131994,25
2,0.042056499872586764,0.7062049056044937,12
3,0.0912321012070592,0.7774499459204158,22
4,0.015911180388327728,0.8547008402242777,5
5,0.09566897112846742,0.7458346448510675,25
6,0.050002314531757436,0.8120630118620941,18
7,0.05004343144013671,0.8746121527156745,15
8,0.07698642728021574,0.7514945741620639,27
9,0.014413958262967087,0.7093949976832028,8
10,0.059553892764046504,0.7550821083614975,17
11,0.05856338398195832,0.7613853382459533,20
12,0.0037867413496636363,0.8011239885641376,1
13,0.07581165147881885,0.6592010999082013,18
14,0.04126621185752488,0.7264920940612254,15
15,0.01589207873597095,0.6496270312641906,5
16,0.08957922647914017,0.861398870985197,23
17,0.06069293097248504,0.6672134851724436,14
18,0.029704461628638146,0.8738948330220913,6
19,0.02128532172498462,0.7039464776818007,8
20,0.04450391662931074,0.6090457870739373,11
21,0.03582826341012716,0.6165556266990394,18
22,0.04621671133573968,0.7844109859667122,9
23,0.07459227503459637,0.67416684295116,17
24,0.026076728894891134,0.8735044606465122,6
25,0.006535113404751958,0.6086341011653638,1
26,0.018958213730307386,0.6347871954662997,9
27,0.03600586860754392,0.7182246659463167,11
28,0.0008637701037905288,0.8707573399165156,2
29,0.00868067972512585,0.7611879781225863,5
30,0.01957626907195842,0.6244653061986886,6
31,0.019608416885522475,0.6918688361891918,4
32,0.05797919902591508,0.6537333010335422,23
33,0.06506916714751755,0.7706565310850757,17
34,0.010165443067514402,0.7259643663107982,6
35,0.05349876601264541,0.8219269895957506,15
36,0.08069570124860459,0.7744418713294181,21
37,0.09024868359506188,0.6542654946385734,30
38,0.08842668050984798,0.8259129314074591,26
39,0.08345436549077945,0.6606702451582965,15
