object,worker,response
0,20,0
0,24,1
0,39,1
1,11,0
2,29,1
3,16,1
4,6,1
4,25,1
5,30,1
6,7,0
6,10,0
7,12,0
7,37,0
8,0,0
8,1,1
9,10,1
9,37,0
9,39,1
10,30,1
11,0,1
11,28,1
11,36,1
12,28,1
12,30,0
13,33,0
13,37,1
14,19,1
15,8,1
15,39,0
16,38,1
17,12,1
17,32,1
17,36,1
17,38,1
18,12,1
19,8,1
19,10,1
19,30,1
20,4,1
20,16,1
20,23,0
20,38,0
20,39,1
21,25,0
21,39,1
22,26,1
23,10,1
24,30,1
25,5,0
25,17,1
25,19,1
26,37,1
27,8,1
27,30,1
28,11,1
29,8,1
29,17,1
29,20,0
29,23,1
30,1,0
30,10,0
30,18,1
30,37,1
30,38,0
31,19,0
32,10,1
32,11,0
32,28,1
33,5,1
33,6,1
33,12,1
34,32,1
35,3,1
35,5,0
35,27,1
35,30,0
35,39,1
36,24,1
37,23,1
37,25,1
37,30,1
38,25,1
39,6,1
39,9,1
39,13,1
39,23,1
39,37,1
40,32,0
41,23,1
41,24,0
41,38,1
42,7,1
43,35,0
43,37,1
44,13,1
45,8,0
45,17,1
46,30,0
47,32,1
48,18,1
48,23,1
49,13,1
49,20,1
49,31,1
50,26,1
51,29,1
52,16,1
52,36,1
53,3,1
53,39,1
54,1,1
54,8,0
55,10,1
55,12,0
56,16,1
56,37,1
57,16,1
57,33,1
58,20,1
58,39,0
59,1,1
59,8,0
59,19,1
59,22,0
59,30,1
59,33,1
60,17,0
60,37,0
61,5,1
61,14,1
61,16,1
61,26,0
62,39,0
63,13,1
63,17,1
64,32,1
65,1,1
65,28,0
66,13,1
66,14,1
66,16,0
66,33,1
67,5,0
67,8,1
67,14,0
67,17,0
67,21,1
67,30,0
67,33,0
67,34,0
67,39,1
68,16,1
68,17,1
69,28,1
69,30,1
69,33,0
70,2,1
70,28,1
71,1,0
71,10,0
72,27,0
73,3,0
73,7,1
73,10,1
73,33,1
74,21,1
74,28,1
74,33,1
75,1,1
75,18,1
75,36,1
76,22,0
76,23,0
76,27,0
77,0,1
78,24,1
78,36,0
78,38,1
79,4,1
79,16,1
79,27,1
79,30,1
79,38,1
80,8,0
81,15,1
82,14,0
82,27,1
83,25,0
84,8,1
84,18,1
84,21,1
84,33,0
85,17,0
85,21,0
86,1,0
86,4,1
86,10,0
86,12,0
86,16,0
86,36,0
87,37,1
88,9,0
88,31,0
89,1,1
89,3,1
89,37,1
90,16,1
90,17,1
90,32,1
90,39,0
91,26,0
91,39,1
92,0,1
92,1,1
92,8,1
92,12,1
93,16,1
93,28,1
93,33,1
94,21,1
94,33,0
95,18,1
96,32,1
96,33,1
97,15,1
98,4,0
98,8,0
98,12,0
98,16,1
98,32,0
99,10,1
99,33,1
100,29,0
101,4,1
102,12,1
103,10,1
103,33,1
104,18,0
105,17,1
105,24,1
105,27,0
106,33,1
107,1,1
107,5,1
108,4,1
108,16,1
108,33,1
108,36,1
108,37,1
109,10,1
109,24,0
109,32,0
110,16,1
110,28,1
111,0,0
111,16,0
111,28,0
112,8,0
112,28,1
112,39,0
113,24,1
113,36,0
114,9,1
114,15,1
114,32,0
115,27,0
116,28,1
117,17,1
117,28,0
117,36,0
118,3,1
119,6,0
119,24,1
119,32,1
119,38,1
120,6,0
120,25,1
121,29,1
121,32,1
122,31,1
123,5,1
123,20,0
124,10,1
124,22,0
125,16,1
125,33,0
126,11,1
126,12,1
127,20,0
128,16,1
128,30,1
128,39,1
129,16,0
130,12,1
130,17,1
130,39,1
131,36,0
132,6,1
133,10,1
133,38,1
134,0,1
134,9,0
134,19,1
134,36,1
134,38,0
135,12,0
135,17,1
136,33,1
137,0,0
138,28,0
139,20,1
139,33,1
140,4,1
140,39,1
141,30,0
142,1,1
142,21,1
142,27,1
142,33,1
143,27,1
144,28,0
144,32,1
145,4,1
145,30,1
145,33,1
146,4,0
146,16,0
146,23,0
146,36,0
147,16,0
147,31,0
148,12,1
148,16,1
148,33,1
149,3,1
149,10,0
149,14,1
150,0,0
150,13,1
150,18,0
150,33,0
151,10,1
152,1,1
152,28,1
152,37,1
153,24,1
154,17,0
