worker,label_prob,quality,n_labels
0,0.07261260499635401,0.6050708443435929,8
1,0.05796832506573213,0.8740751089647263,13
2,0.012697562825292698,0.7709392662549036,1
3,0.058419894699989185,0.7750563309121911,6
4,0.08719180075240239,0.7803835684813594,9
5,0.03558847513568321,0.8602996405739973,7
6,0.07992908755915744,0.6664409036455335,6
7,0.0369634455771091,0.837548325673426,3
8,0.09822789667920259,0.6096500942367885,13
9,0.03487852147913683,0.8572913038403691,4
10,0.09721774387851963,0.8487843937982594,17
11,0.03660666060865956,0.6502736809296684,4
12,0.09841858156692951,0.7860927239944876,13
13,0.032299118433498586,0.7904663726234588,6
14,0.03931987841581375,0.7144464686562235,5
15,0.0005036779028718575,0.7170868883011716,3
16,0.09314072458191908,0.8496766325095224,22
17,0.05768534499191424,0.6468751268320534,14
18,0.025886521663271912,0.7711401315168662,7
19,0.03382963264514125,0.6546964265562655,5
20,0.06849050045506329,0.6560181896598861,7
21,0.036713305151241805,0.8227993256012905,6
22,0.028379303196483453,0.7077440482154488,3
23,0.055253142570495545,0.7606895656960868,8
24,0.06920432058510394,0.7384573044391796,9
25,0.04108685421916321,0.727557545031761,6
26,0.034548360705781815,0.6726469429026802,4
27,0.0367562269349006,0.8135194831967998,9
28,0.07910908307726065,0.8491261381289975,16
29,0.011737527402597026,0.6109999414977592,4
30,0.06881735687362091,0.7622228775096664,16
31,0.04072335273060898,0.7207741665547177,4
32,0.07184913082386978,0.7156879624804867,13
33,0.0756373453864789,0.7531156034362029,23
34,0.013264666339748422,0.6203232155884191,1
35,0.016218439538173646,0.6323762835616947,1
36,0.08428574235456313,0.825847332323113,12
37,0.09688436376253863,0.6622957732323458,13
38,0.05988489410412443,0.7864356295781393,10
39,0.07235607660045354,0.6127200028713817,16
