object,worker,response
0,14,0
0,22,0
1,4,0
1,12,1
2,14,0
3,8,1
3,14,1
3,28,1
4,1,0
4,36,0
5,16,1
5,25,0
5,37,0
6,4,0
6,9,1
6,21,1
6,22,1
7,15,1
8,20,0
8,38,1
9,23,1
10,7,1
10,8,1
10,31,1
11,14,0
12,6,1
12,7,0
12,12,0
12,15,0
12,16,0
12,35,0
13,7,1
13,20,0
14,4,1
14,16,1
14,25,0
14,32,1
14,33,1
15,26,0
15,32,1
15,35,1
16,15,0
17,16,0
17,33,1
18,4,1
18,7,0
19,33,0
20,39,1
21,30,1
21,33,1
21,39,0
22,4,1
22,30,0
22,32,1
23,17,0
24,7,1
25,20,0
26,4,1
26,9,1
26,16,1
26,32,1
26,36,1
27,5,0
28,4,1
28,6,1
28,17,0
28,23,0
29,1,0
29,13,0
30,8,1
30,9,1
30,33,1
31,4,1
31,37,1
31,39,1
32,38,1
33,33,1
34,29,0
35,25,1
35,33,1
36,3,0
36,8,1
36,34,0
37,31,1
37,35,1
38,1,0
38,11,1
39,8,1
39,9,0
39,34,1
40,4,1
40,7,1
40,17,1
40,24,0
41,0,1
42,6,0
42,12,0
42,13,0
42,14,0
42,38,0
43,2,0
43,4,1
43,13,1
43,14,1
43,24,0
43,30,0
44,12,1
44,34,0
45,5,0
45,21,1
46,7,1
46,10,1
47,1,0
47,15,1
48,4,0
49,31,0
49,32,0
50,39,0
51,9,1
51,36,1
52,1,0
52,11,1
53,7,0
53,25,0
53,35,0
54,9,0
54,12,1
54,22,1
55,39,1
56,6,0
56,23,1
57,20,0
57,25,1
57,32,1
58,23,1
58,33,1
58,39,1
59,4,1
59,10,1
60,15,0
60,23,1
60,25,0
60,28,0
61,6,1
62,23,1
63,22,0
64,12,1
64,17,1
64,19,1
65,31,1
66,5,1
66,28,1
67,21,0
67,36,0
68,6,0
68,9,0
69,20,0
69,34,1
69,39,0
70,33,1
71,12,0
72,14,0
73,2,0
73,12,1
73,31,1
74,20,0
74,33,0
75,3,1
76,0,1
77,2,0
77,11,0
77,25,1
78,33,1
79,10,0
80,14,1
81,34,0
82,19,1
83,1,1
83,39,1
84,8,1
85,7,0
86,1,1
86,6,0
86,29,1
87,15,0
87,33,1
88,0,0
88,26,0
88,34,0
89,14,0
89,33,0
90,30,0
91,22,0
92,0,0
92,28,0
92,34,0
93,33,1
93,39,1
94,15,0
95,6,1
96,38,1
97,4,0
98,20,0
99,8,0
99,11,0
99,13,0
99,31,0
100,13,0
100,15,0
100,23,0
100,28,1
101,13,1
101,20,0
102,0,0
103,6,1
104,23,0
104,36,1
105,6,1
106,2,1
106,20,1
107,9,1
107,33,0
108,15,0
108,36,1
109,4,1
109,28,1
110,4,1
110,16,1
110,23,1
111,30,0
112,23,1
113,33,1
114,20,1
114,25,1
114,33,1
115,1,0
115,7,0
115,32,0
115,36,1
116,1,1
116,14,1
117,8,1
118,20,1
118,35,1
118,36,1
119,18,1
120,36,1
120,38,1
121,7,1
122,1,0
122,14,0
122,21,0
122,34,1
123,23,1
124,9,1
124,15,1
124,20,1
124,28,1
125,6,1
125,20,0
126,9,0
127,1,1
127,17,1
127,26,1
128,1,0
128,30,0
129,28,1
129,32,1
130,7,1
130,8,1
130,15,0
130,32,1
130,34,1
130,39,0
131,14,1
132,3,1
133,33,0
134,9,0
134,22,1
134,24,1
134,33,1
135,0,1
135,7,0
135,35,1
136,14,0
136,36,1
137,15,1
138,19,0
139,1,0
139,5,0
139,24,1
140,1,0
140,20,0
140,37,1
141,5,0
141,27,0
142,36,1
143,39,0
144,1,0
144,11,0
144,22,0
145,14,1
145,38,0
146,23,1
147,15,1
148,32,1
149,9,0
149,26,1
149,36,0
150,7,0
151,25,1
152,22,1
153,2,0
154,4,0
154,15,1
154,22,0
155,7,0
155,8,0
155,31,0
155,38,0
156,23,0
156,34,0
157,9,0
158,0,1
158,9,0
158,23,0
158,34,0
159,28,0
159,29,0
160,1,1
160,16,1
160,21,1
160,32,0
160,38,1
161,8,1
161,20,0
161,28,0
161,32,1
162,35,0
163,22,1
164,0,1
164,6,1
165,7,0
165,12,0
165,25,1
166,34,1
167,12,0
168,11,1
169,0,1
169,23,0
169,25,1
169,34,1
170,27,0
171,20,1
171,37,0
172,22,1
173,7,1
173,37,0
173,39,1
174,7,0
175,16,1
175,32,1
175,33,1
176,4,0
176,12,1
176,22,0
176,33,1
177,4,1
177,12,1
177,16,1
177,17,1
177,21,0
177,39,1
178,28,1
179,1,1
179,3,0
179,4,1
179,25,1
179,29,0
179,34,0
180,1,0
181,31,0
182,15,1
183,11,0
183,13,0
183,31,0
184,25,0
184,33,1
185,11,1
185,21,1
185,35,1
186,23,1
187,35,1
187,36,1
188,15,1
189,34,0
190,12,1
190,13,0
190,33,1
191,32,0
191,33,0
192,33,0
193,17,1
193,30,1
193,36,1
194,32,0
195,1,0
195,15,1
195,31,0
196,0,1
196,20,0
197,1,1
198,9,0
199,4,1
200,23,1
200,25,1
201,12,1
201,24,0
201,35,1
202,14,0
203,7,0
204,23,1
205,0,0
205,15,0
206,0,1
206,12,1
207,32,1
208,22,1
209,0,1
209,8,0
209,9,1
209,23,0
210,8,1
210,22,0
211,6,1
211,34,1
212,3,0
212,4,1
212,10,0
212,16,1
213,37,1
214,9,0
214,22,0
214,36,0
215,4,0
215,6,1
215,20,1
216,7,1
216,11,0
216,39,0
217,4,0
217,33,1
218,3,1
219,3,0
219,7,0
220,28,1
220,34,1
221,12,1
221,36,1
222,22,1
222,33,1
223,20,1
223,32,0
224,9,0
224,28,1
225,0,0
225,7,0
225,17,0
225,21,0
226,16,1
226,38,1
227,4,1
227,12,1
227,15,1
227,16,0
228,33,0
228,39,0
229,7,1
229,15,1
230,0,0
231,4,0
231,16,1
231,21,0
232,8,1
233,7,1
233,10,0
233,38,0
234,9,1
235,9,1
235,22,1
235,36,1
236,6,0
236,20,0
236,31,0
237,5,1
237,7,0
237,32,0
237,34,1
238,1,0
238,15,1
238,18,0
238,23,1
239,8,1
239,15,1
239,35,1
240,4,1
241,17,1
241,20,1
241,28,0
242,29,1
243,14,1
244,22,1
244,33,1
244,39,1
245,14,0
245,35,0
246,28,1
247,17,1
247,36,0
248,1,0
248,15,1
249,34,1
249,38,0
250,0,1
250,13,1
250,25,1
251,6,1
252,4,1
252,12,1
253,22,0
254,4,1
254,25,1
254,34,0
255,1,0
256,4,0
256,25,1
256,32,0
256,39,1
257,1,1
258,11,1
258,21,1
259,12,1
260,24,0
260,33,0
260,38,0
261,7,0
261,12,0
261,20,1
261,22,0
261,36,0
261,38,0
261,39,0
262,24,0
262,28,0
262,32,0
263,0,1
263,1,1
263,7,1
263,8,1
264,6,1
264,22,1
264,32,1
265,9,1
265,32,0
266,15,1
266,35,0
267,15,0
268,26,1
269,0,1
269,10,0
269,36,1
270,21,0
270,28,0
271,29,1
271,33,0
272,7,1
272,8,1
272,19,1
272,21,0
272,36,1
273,25,1
273,35,1
274,21,0
275,2,1
275,28,1
276,17,0
276,23,0
277,5,0
277,20,0
278,22,0
278,25,0
278,33,0
278,36,0
279,23,1
280,3,1
281,1,1
281,4,1
281,15,0
282,6,1
282,29,1
283,4,1
283,14,1
283,33,1
284,38,1
285,33,1
286,9,1
286,10,1
286,25,0
287,9,0
287,12,1
287,26,0
287,30,1
287,35,0
288,32,0
289,1,0
289,25,1
290,36,0
291,12,1
291,14,1
291,24,1
291,28,0
291,37,0
292,1,1
292,6,1
293,9,1
294,0,0
294,31,0
295,4,0
295,20,1
295,35,0
296,28,1
296,36,1
297,21,1
298,23,1
299,11,0
299,30,0
299,33,0
300,4,0
300,22,0
300,32,0
301,20,0
302,31,1
303,12,0
303,16,1
303,32,0
304,8,0
304,33,1
305,15,1
306,32,0
307,6,1
308,33,1
308,39,1
309,20,1
310,7,1
310,38,1
311,7,0
311,20,0
312,38,1
313,3,1
314,20,0
315,6,0
315,17,0
315,20,1
316,1,0
316,2,1
316,9,1
316,33,1
317,4,0
317,22,1
317,35,0
318,2,0
318,8,1
318,34,1
319,1,1
319,34,1
319,37,1
320,4,0
320,20,0
321,1,1
321,4,0
321,17,1
322,9,0
322,38,0
323,1,1
323,31,1
324,24,0
325,1,0
325,4,1
325,12,0
325,21,0
325,39,0
326,4,0
327,22,0
327,25,0
327,34,0
