worker,label_prob,quality,n_labels
0,0.06841667031555418,0.7404935904652705,20
1,0.07778893432760618,0.6673643131161255,34
2,0.031171385082161475,0.6105147232549343,11
3,0.02870218275497103,0.8817243839161355,11
4,0.08882603027361309,0.6530293352474563,42
5,0.022647926900275197,0.6478185912792512,9
6,0.07712601261208338,0.7416945435504831,25
7,0.08580452028324581,0.6896091418317023,31
8,0.0520808081664259,0.8634673980471714,23
9,0.08553267878021048,0.6707405866040919,27
10,0.021377882369856962,0.7622485487332985,8
11,0.029914037983832666,0.7091471794031419,11
12,0.06332785527308049,0.763873784828775,27
13,0.014227842508012158,0.8683796610009673,11
14,0.049581831121813594,0.8661065172328158,22
15,0.0825164110350189,0.7068994137210313,28
16,0.044630333332923225,0.6366837299847228,14
17,0.039888413639517166,0.7254716368190465,16
18,0.0019311328917034243,0.6216135332085946,2
19,0.00846023343395036,0.8640225972075603,5
20,0.07762916799331018,0.6242484061218457,32
21,0.05366306193870099,0.7136592180426412,16
22,0.07204715588009063,0.7367133886139957,27
23,0.0824147087502474,0.7199693592283302,29
24,0.0380849365575101,0.6484899933758155,10
25,0.0725768990709929,0.8941077418222053,25
26,0.0216201160060336,0.7099296845652504,6
27,0.002682375245825075,0.717572896391235,3
28,0.052408637585613774,0.6489438145834105,24
29,0.03328354392685514,0.8763868169756522,8
30,0.03435342597057108,0.6078470229741405,10
31,0.028315307113038236,0.8016921525291323,15
32,0.04888227499772199,0.8382548541760122,29
33,0.09906270420523317,0.7394134141176116,44
34,0.07504267945081972,0.7199831412575528,28
35,0.055105167600221716,0.8142076757082559,21
36,0.08409697071543044,0.8286604790446234,27
37,0.029621494209060996,0.7945731228640744,10
38,0.07772515615776901,0.6701663131459815,21
39,0.07446350077070023,0.7894662676570009,24
