object,worker,response
0,34,0
0,37,0
1,22,1
2,2,2
2,3,1
2,23,0
2,31,0
3,16,0
4,4,0
5,2,2
5,39,0
6,7,1
6,34,0
7,34,0
8,4,0
8,12,0
8,28,0
9,26,0
10,7,0
10,35,0
11,15,0
12,7,3
13,2,1
13,3,3
13,12,0
13,30,0
14,10,0
15,16,1
15,30,1
15,34,1
16,8,0
16,16,3
17,39,0
18,11,3
19,0,0
20,37,0
21,9,2
21,11,0
21,13,0
22,27,0
23,2,1
23,16,0
23,25,0
24,35,0
24,36,1
25,21,0
25,23,0
25,29,0
25,34,1
26,39,0
27,3,3
28,4,0
28,5,3
28,37,0
28,38,0
29,31,3
29,38,0
30,3,0
30,38,0
31,12,0
31,37,0
32,15,2
32,18,1
33,37,0
34,11,0
34,32,0
35,2,3
35,20,0
36,34,0
37,25,1
38,24,0
38,31,3
39,12,0
39,23,2
40,2,2
40,12,2
41,11,3
41,12,0
42,39,1
43,4,0
43,7,2
43,12,0
43,35,1
44,12,2
44,15,0
45,37,0
45,38,1
46,27,0
47,4,2
48,33,3
48,36,0
49,31,3
50,26,0
51,14,0
52,3,0
52,22,2
53,9,1
54,9,0
54,11,0
54,39,2
55,37,0
56,14,2
57,39,2
58,3,1
58,26,2
58,27,3
58,34,1
58,39,2
59,4,0
59,23,1
59,32,1
59,35,1
59,38,3
60,11,0
60,38,1
61,11,0
62,4,0
62,26,0
63,36,0
63,38,0
63,39,1
64,16,0
64,26,0
64,35,3
64,37,0
64,39,2
65,14,0
65,38,0
66,9,1
66,12,0
67,4,0
67,29,0
68,23,3
69,25,0
70,4,0
70,18,2
70,35,0
71,9,0
72,30,0
73,3,0
73,26,0
74,2,0
74,4,0
74,35,3
75,12,0
75,29,0
75,31,0
76,4,0
76,9,0
76,12,3
76,18,0
76,26,0
76,30,0
76,39,0
77,26,0
77,35,0
78,16,0
78,21,0
79,32,0
80,11,0
81,31,0
81,33,0
81,39,0
82,3,3
82,28,0
83,35,0
83,37,2
84,18,3
84,25,0
84,27,2
84,37,1
84,39,0
85,35,1
86,11,0
87,25,2
87,32,2
88,2,0
88,9,3
88,15,1
88,25,2
88,30,2
88,38,2
89,20,0
89,32,0
89,37,0
90,12,0
90,34,0
91,22,0
91,23,3
91,37,0
91,38,0
92,26,0
92,35,3
93,2,0
93,12,0
93,18,0
93,39,0
94,7,0
95,2,1
95,15,0
96,9,0
96,12,2
96,15,2
96,35,0
97,6,0
97,7,3
97,12,0
97,23,0
97,35,0
98,26,0
98,38,0
99,8,0
100,31,0
101,7,0
101,8,1
102,26,3
102,29,0
103,9,2
104,9,0
105,0,3
105,15,1
105,20,0
105,31,3
105,38,0
105,39,0
106,3,0
107,2,0
107,15,3
107,26,0
107,28,0
107,29,0
108,7,1
108,39,0
109,37,2
110,33,0
111,9,0
111,18,0
111,23,0
112,24,0
112,26,0
112,29,0
113,6,0
114,37,0
115,9,0
115,30,1
116,31,2
117,9,0
117,16,0
117,34,0
117,37,0
118,2,1
119,26,0
120,2,0
120,37,0
121,34,1
121,35,1
122,4,2
122,35,2
123,8,0
124,32,0
125,18,2
125,22,0
126,3,0
126,38,0
127,31,0
128,7,0
128,30,0
129,12,0
129,24,1
130,26,0
131,23,0
131,31,0
131,39,2
132,35,2
132,38,0
133,12,0
133,29,0
133,37,0
134,20,0
134,26,0
135,15,3
136,16,0
136,23,0
136,25,0
137,3,0
137,7,0
137,11,1
137,12,0
138,6,0
138,23,0
139,24,0
139,34,0
140,0,0
140,31,0
140,38,0
141,2,3
142,3,0
142,15,0
142,20,3
142,28,0
143,13,3
144,6,0
144,10,0
145,23,0
145,32,0
145,39,2
146,15,0
146,18,2
146,37,0
147,26,0
148,12,2
148,18,0
148,29,0
148,33,0
148,39,3
149,8,3
149,26,0
150,34,0
151,8,0
152,15,2
152,16,0
152,22,0
153,21,0
154,12,0
154,39,0
155,9,3
155,34,2
156,3,0
156,12,0
157,37,0
158,2,0
158,11,0
158,30,0
158,38,0
159,38,0
160,25,0
161,0,0
161,20,1
162,9,1
163,9,3
164,29,0
164,35,3
165,3,0
165,15,0
165,16,0
165,39,0
166,29,0
166,35,3
167,9,0
167,19,0
168,2,0
168,16,0
168,23,0
169,35,0
170,2,0
170,37,0
171,31,0
171,35,0
172,25,0
173,3,0
173,9,0
173,11,0
173,15,0
174,32,0
175,2,0
175,9,0
175,16,0
176,24,1
177,11,0
177,34,0
178,20,0
179,15,3
180,26,0
181,7,0
181,9,0
181,34,0
182,7,0
182,9,0
183,26,0
184,29,0
185,38,0
186,7,0
186,38,0
187,38,0
188,4,2
189,39,3
190,11,3
190,12,0
190,25,0
190,34,0
191,9,0
191,16,0
191,29,0
191,38,3
192,22,0
193,5,0
193,16,0
193,28,0
194,31,2
194,35,0
195,12,0
196,10,0
197,3,0
197,11,1
197,30,0
198,32,0
198,33,0
198,35,0
199,4,0
199,18,0
200,11,3
201,9,0
201,16,2
201,18,0
202,7,0
202,12,0
203,9,0
203,26,0
203,37,0
203,38,0
204,12,1
205,8,0
205,15,0
205,29,0
206,10,0
207,29,1
207,32,0
208,4,0
209,36,0
210,29,0
211,7,1
211,20,0
212,25,0
213,7,0
214,5,0
215,4,1
216,16,0
216,37,0
217,31,2
218,3,2
219,30,0
220,33,1
221,10,1
221,31,0
222,19,0
223,12,0
223,35,0
223,37,1
223,39,0
224,3,1
224,6,3
224,10,1
224,37,1
225,38,0
