object,worker,response
0,13,1
0,15,1
0,31,1
1,8,0
1,21,1
2,5,0
2,9,1
2,13,1
2,15,1
2,20,0
3,5,0
3,21,0
3,34,0
4,0,1
4,1,1
4,3,1
5,22,1
5,31,0
5,34,0
6,9,1
6,31,1
7,22,0
8,5,1
8,29,1
9,28,0
10,6,1
11,34,0
12,10,1
12,12,1
12,38,1
13,19,0
14,25,1
15,3,0
15,9,1
15,20,1
15,30,1
15,35,0
16,5,0
16,10,1
17,24,1
18,5,1
19,1,1
20,5,1
20,12,0
21,32,0
22,17,1
22,23,0
23,31,1
24,2,1
24,34,1
25,0,1
26,1,1
27,4,1
27,39,0
28,3,1
28,5,1
28,11,1
28,17,1
28,21,1
29,23,0
29,26,0
29,28,1
29,34,0
29,38,0
29,39,1
30,0,1
30,9,1
30,20,1
31,11,0
31,15,0
32,27,0
33,15,1
33,31,0
34,19,1
35,12,0
36,35,1
37,18,0
38,4,1
39,2,0
39,8,1
39,12,0
39,20,0
39,30,0
40,38,1
41,0,0
41,27,0
41,30,0
42,14,0
42,22,1
43,4,0
43,22,0
44,18,1
44,30,1
45,13,0
45,15,1
46,22,1
47,5,0
47,10,0
48,33,0
49,1,0
49,31,0
50,14,1
50,19,0
50,27,1
51,12,1
52,3,1
52,31,0
53,11,1
53,28,0
54,3,1
54,12,1
55,19,1
55,20,0
56,9,1
56,38,1
57,35,0
58,15,1
58,20,1
58,23,1
58,27,1
59,12,0
59,31,1
60,5,1
60,21,1
60,22,0
60,31,1
61,3,0
62,7,1
63,0,0
63,2,0
63,22,1
63,37,1
64,19,1
64,26,1
64,29,0
65,11,1
65,34,0
66,2,0
66,5,0
66,7,1
66,30,1
67,12,0
67,36,0
68,31,0
69,35,0
70,30,1
71,30,0
72,37,1
73,12,0
74,3,1
74,24,0
75,0,0
75,3,1
75,12,0
75,17,0
75,22,1
75,30,1
76,34,1
77,20,0
78,20,1
79,12,0
79,35,1
80,14,0
80,30,0
80,38,1
81,2,0
