object,worker,response
0,22,0
1,11,0
1,13,0
2,3,0
2,5,0
2,12,0
2,32,0
3,5,0
3,15,0
4,12,1
4,32,2
5,4,2
5,26,0
5,32,0
6,4,0
6,9,0
6,16,0
6,20,0
6,36,2
7,15,0
8,34,0
9,0,0
9,34,0
9,37,2
10,14,0
10,16,2
11,22,1
11,32,0
11,39,1
12,4,0
12,11,0
13,29,0
13,30,2
14,28,2
15,4,0
15,30,0
16,26,0
17,18,0
18,10,0
18,12,0
18,30,0
19,18,0
19,30,0
20,0,0
20,6,0
20,32,2
20,34,0
21,18,0
21,30,1
22,27,0
23,3,0
23,16,1
24,15,0
25,18,0
25,29,0
26,4,0
27,27,0
28,7,0
28,29,0
28,35,1
29,4,2
29,27,0
30,20,2
30,35,0
31,8,0
32,4,1
33,29,0
34,8,0
34,11,1
34,26,0
35,6,2
35,11,0
36,15,0
37,24,0
38,8,0
38,11,0
38,27,0
39,7,0
40,22,0
41,2,0
42,13,2
43,10,0
43,16,1
43,24,0
43,29,2
43,39,0
44,34,0
45,30,0
46,7,1
46,39,0
47,18,1
47,27,1
48,7,0
48,24,0
48,31,0
49,32,0
50,15,1
50,34,1
51,9,0
51,15,1
51,22,1
52,0,0
52,15,1
52,28,1
52,39,0
53,22,1
53,31,2
54,11,2
55,18,2
56,10,0
56,25,1
56,27,2
56,36,1
57,3,1
57,9,2
58,22,1
58,32,0
58,39,0
59,21,1
59,29,2
60,32,1
61,8,2
62,22,1
63,34,1
64,6,1
65,7,1
66,10,2
66,16,1
67,34,0
68,24,1
69,29,1
70,21,1
70,30,1
71,27,2
71,31,0
71,32,1
71,37,1
72,4,2
72,15,1
72,22,1
72,29,1
72,37,1
73,19,2
74,11,1
75,0,2
75,4,1
75,10,0
75,22,1
75,33,1
76,27,2
77,4,0
77,7,1
77,14,1
77,32,1
78,1,0
78,16,2
79,30,1
79,34,0
80,10,1
80,18,1
80,27,2
80,34,1
81,27,1
81,34,1
82,20,1
83,10,1
83,15,1
83,28,1
83,37,1
84,11,1
84,16,1
84,27,1
85,4,0
85,18,1
85,39,1
86,19,1
87,29,1
88,29,1
89,18,0
89,28,0
89,29,1
90,7,1
91,4,0
92,4,1
92,7,1
92,11,1
92,24,1
92,29,2
92,33,1
93,5,1
94,4,1
95,6,1
95,18,1
96,26,1
97,29,2
98,29,1
98,31,1
99,3,2
99,22,1
99,27,0
99,32,0
99,34,2
99,36,1
100,17,2
100,19,2
100,29,2
100,34,2
101,14,2
101,20,0
101,30,2
102,3,2
102,10,2
103,22,1
103,29,2
103,39,2
104,31,2
105,7,2
105,20,0
105,31,2
105,37,2
106,4,2
106,25,2
106,26,2
106,32,2
106,34,2
107,11,2
107,20,2
108,39,2
109,0,1
109,5,2
109,17,1
109,18,0
109,25,2
109,27,2
109,33,2
110,24,2
111,28,1
111,34,1
112,6,2
112,21,0
112,35,2
113,11,2
113,14,1
113,21,2
113,38,2
114,23,2
114,26,2
114,30,0
114,39,2
115,10,2
116,25,2
117,16,2
117,25,0
118,30,2
119,15,0
119,16,0
119,38,1
120,12,2
120,18,2
120,27,2
120,29,2
120,32,2
121,7,1
121,24,2
121,27,1
121,29,2
121,37,2
122,10,2
122,11,1
122,29,2
122,34,1
123,10,2
123,21,2
123,30,2
124,34,2
125,19,2
126,14,2
126,15,2
126,31,2
127,4,2
127,25,2
128,33,2
129,7,2
129,18,2
129,28,1
129,29,2
130,6,2
131,15,0
131,29,1
131,39,0
132,24,2
133,18,2
133,21,2
134,11,2
134,16,2
134,22,2
134,34,2
135,7,2
136,7,2
136,10,1
136,27,0
136,34,2
136,37,1
137,15,2
137,19,2
138,28,1
139,10,2
140,18,2
140,25,1
140,29,2
140,39,2
141,11,1
141,18,2
142,30,2
143,17,2
144,20,2
144,22,2
144,27,2
144,29,0
144,34,2
145,15,2
145,20,2
145,32,2
146,20,2
146,30,2
147,27,1
147,31,0
147,39,2
148,18,0
148,22,2
148,30,0
148,39,0
149,10,2
149,18,0
149,34,2
