object,worker,response
0,28,0
0,34,0
1,3,0
2,1,0
2,10,0
3,36,0
4,38,0
5,16,0
5,17,0
6,13,1
6,23,0
6,34,0
7,4,0
7,18,1
7,30,0
8,37,1
9,1,1
9,17,0
9,24,0
9,28,1
9,30,0
10,28,0
11,9,1
11,10,1
11,23,0
12,15,1
12,21,0
13,1,1
13,17,1
13,23,0
13,39,1
14,9,1
14,27,0
15,23,0
16,0,1
16,4,0
16,10,0
16,23,1
17,0,0
17,22,1
17,27,0
17,34,0
18,1,0
18,17,0
18,27,1
19,12,0
19,30,0
20,34,1
21,14,0
21,27,1
21,29,0
21,39,1
22,1,1
22,36,0
23,10,0
24,6,0
24,23,0
24,27,0
24,28,0
25,2,0
25,9,1
25,14,0
25,23,0
25,34,0
26,0,0
26,6,0
26,20,0
26,27,0
27,1,1
27,23,0
27,39,0
28,6,0
28,18,0
28,23,0
29,14,0
29,19,0
29,27,0
30,5,0
30,9,0
30,35,0
31,2,1
31,3,0
31,10,0
31,18,1
31,36,0
32,4,0
32,17,0
32,30,0
33,8,0
33,12,0
34,2,0
34,8,0
34,13,0
34,22,1
35,10,1
35,20,0
36,9,0
36,17,0
37,6,0
37,30,0
38,5,0
38,11,0
38,30,0
39,15,0
39,16,0
39,31,0
39,34,0
40,2,1
40,17,1
40,22,0
40,29,0
41,7,0
42,15,0
42,17,1
42,22,0
42,30,0
43,17,1
44,4,0
45,27,1
46,10,0
46,18,1
47,14,0
47,16,1
47,19,0
47,22,0
48,10,0
49,1,0
49,38,0
50,1,0
50,2,0
50,38,0
51,8,0
52,1,0
52,20,0
52,31,0
53,28,0
54,12,0
54,16,0
55,33,0
56,4,0
56,10,1
56,23,0
57,6,0
57,34,0
58,5,0
58,6,0
58,27,0
58,30,0
59,39,0
60,15,0
61,3,0
61,6,0
61,39,0
62,17,0
62,23,0
62,24,0
63,26,0
64,13,0
64,36,0
65,7,1
66,0,0
66,3,0
66,29,1
67,20,0
68,0,1
68,39,0
69,17,0
69,27,1
69,29,1
69,35,0
70,7,0
70,8,1
70,28,0
71,6,0
71,17,0
71,20,1
71,33,1
72,10,0
73,28,0
73,39,0
74,18,0
74,20,0
75,5,0
76,8,0
77,26,0
78,9,1
78,17,0
