object,worker,response
0,22,1
1,12,1
1,18,0
1,20,1
1,23,0
2,32,0
3,12,1
4,15,1
5,11,1
5,27,1
5,35,1
6,23,1
7,9,1
7,11,1
8,14,1
8,31,1
8,33,1
9,0,1
9,4,1
9,24,1
10,13,1
10,32,1
11,5,1
11,10,1
12,23,0
12,25,0
12,26,0
12,33,0
13,3,1
13,11,0
13,27,1
14,29,1
15,4,1
15,11,1
15,31,0
16,13,1
16,29,1
16,39,1
17,1,1
17,11,1
18,11,0
18,29,1
18,33,0
19,29,0
20,2,1
20,13,1
21,0,0
21,4,0
21,9,1
21,19,0
22,5,1
22,13,0
22,35,0
23,3,1
23,11,0
23,13,1
23,27,1
23,39,0
24,29,1
25,5,0
26,39,1
27,11,1
28,10,1
29,16,1
30,13,1
30,36,0
30,39,1
31,10,0
31,13,1
31,17,0
32,33,0
33,4,0
33,21,0
33,31,0
33,37,0
34,8,0
34,12,1
35,12,1
36,11,0
36,27,0
37,9,0
37,12,0
37,25,0
38,30,0
39,13,1
39,17,1
40,15,0
40,27,0
41,34,1
42,5,0
42,37,0
43,32,0
43,33,0
44,6,0
44,10,0
44,15,0
44,17,0
44,23,0
44,37,0
45,10,0
45,17,0
46,13,1
46,34,1
47,4,1
47,16,1
47,18,1
47,37,1
47,38,1
48,7,1
48,22,1
48,28,1
48,34,1
49,31,0
49,39,1
50,1,1
51,27,1
51,36,0
52,10,0
52,17,0
52,19,1
52,21,1
52,36,0
53,15,1
53,21,1
53,36,1
54,11,1
55,24,0
56,36,1
