object,worker,response
0,13,25
1,4,14
1,12,15
1,16,15
1,28,15
2,12,18
3,13,7
3,37,7
4,30,7
5,14,5
6,7,13
7,4,17
7,6,17
7,32,13
7,38,17
8,15,12
8,20,12
8,22,12
9,22,3
10,32,21
11,20,0
11,22,0
12,14,13
13,12,4
13,20,0
13,37,3
14,37,18
15,6,7
15,15,7
16,1,4
16,13,4
16,20,4
16,28,4
17,7,25
17,10,22
17,15,25
17,19,25
18,35,14
19,4,15
19,10,16
19,13,16
19,33,9
20,18,10
20,34,22
21,26,11
22,14,21
23,0,23
23,14,23
23,26,23
24,7,21
25,22,12
26,14,24
27,33,3
28,3,3
28,18,4
28,24,4
28,38,4
29,8,13
29,12,13
30,5,0
31,8,3
31,26,3
32,3,25
32,32,25
33,20,13
34,3,23
35,16,6
36,12,13
36,37,13
37,38,11
38,3,9
38,5,12
38,20,13
39,13,25
39,30,25
40,14,24
41,2,16
41,15,8
42,1,22
42,3,22
42,13,22
42,33,22
42,39,22
43,0,20
43,7,21
43,12,20
43,39,20
44,39,14
45,13,19
45,25,17
45,33,19
46,26,14
46,27,11
47,35,15
48,2,2
49,1,2
50,3,1
50,30,1
50,36,1
51,0,10
51,19,10
52,8,22
52,12,22
52,20,22
53,18,9
54,5,22
55,9,7
55,19,7
56,10,25
57,36,9
58,5,5
59,0,3
59,7,5
59,13,3
59,34,3
60,4,18
60,21,18
61,8,19
62,13,14
63,30,25
64,33,1
65,4,5
65,9,5
66,5,9
66,14,21
66,30,12
66,36,9
67,37,19
68,37,14
69,18,10
70,37,25
71,13,19
71,27,19
71,28,19
72,30,7
73,33,0
74,24,16
75,14,25
75,26,25
75,30,25
76,4,7
77,13,17
77,14,4
77,19,17
78,27,11
78,30,8
79,13,17
80,0,20
81,0,20
82,10,20
83,4,14
84,7,4
84,37,14
85,7,3
86,1,12
87,13,25
87,16,17
87,34,19
88,1,4
88,8,4
88,28,8
88,37,4
89,15,6
89,19,6
89,26,6
90,29,1
91,7,0
91,13,0
92,28,24
93,33,24
94,1,14
94,10,14
95,17,6
95,37,6
96,30,0
97,12,2
98,25,7
98,27,7
99,3,21
99,7,17
100,8,9
100,22,9
100,26,9
101,12,12
101,13,12
101,14,8
101,15,12
101,23,12
102,1,21
102,7,0
102,13,21
102,26,21
103,20,17
104,2,19
104,13,19
104,29,19
105,9,11
106,10,18
106,20,18
106,39,18
107,4,21
107,14,6
107,39,6
108,14,3
108,20,3
109,11,6
109,27,6
110,20,25
111,26,3
112,30,0
113,17,19
114,25,25
114,26,6
114,31,6
115,0,11
116,4,22
116,5,22
116,10,22
116,15,22
116,26,22
116,30,22
117,15,8
117,19,19
117,22,18
117,27,15
117,35,8
118,13,12
118,20,4
118,22,12
118,34,21
119,31,16
119,36,16
120,12,23
121,1,16
121,33,16
122,12,21
122,20,21
122,30,21
123,1,17
124,37,25
125,34,21
125,39,15
126,2,22
127,2,10
127,15,8
128,1,5
128,8,5
128,20,5
129,27,5
130,13,9
131,3,21
131,7,21
132,7,2
133,0,13
133,7,6
133,27,12
134,0,23
134,12,14
134,20,14
134,28,14
135,30,9
135,33,9
136,3,4
136,10,0
136,31,4
136,34,4
137,1,12
137,7,12
137,28,23
138,14,2
139,7,14
139,21,18
139,39,15
140,0,0
140,7,23
141,21,6
141,36,6
142,25,12
142,34,21
143,26,25
144,1,0
144,12,9
145,2,25
146,10,18
146,17,18
146,22,18
146,30,18
147,3,12
147,6,12
147,10,12
147,13,12
147,24,12
148,1,25
149,10,14
149,21,12
149,37,12
150,0,22
151,28,1
152,0,4
152,6,4
152,7,4
152,31,4
153,30,8
153,33,8
154,6,5
154,28,7
155,30,20
156,0,23
156,21,16
157,4,21
157,10,21
157,21,21
158,12,22
159,3,3
160,0,17
160,1,17
160,6,17
161,8,18
162,0,5
163,9,13
163,14,13
164,8,25
164,14,20
164,33,25
165,22,25
166,26,8
167,6,9
168,4,4
168,12,10
169,20,5
169,35,5
170,3,2
170,34,9
171,13,17
171,37,17
172,2,13
172,33,18
173,0,7
174,28,0
175,1,16
175,13,16
175,33,16
176,3,17
176,4,0
176,26,0
177,14,24
177,15,24
178,33,15
178,37,15
179,33,2
180,0,2
180,3,17
180,19,23
181,2,7
182,2,6
182,13,6
183,34,13
184,8,6
185,0,15
185,10,25
185,15,15
186,2,25
187,10,4
187,19,4
187,34,4
188,1,17
