object,worker,response
0,0,2
0,7,2
0,16,3
0,25,2
0,35,2
1,24,2
1,30,2
2,24,3
2,31,3
2,33,3
3,0,2
3,27,2
3,30,2
4,12,2
5,9,3
5,15,2
5,21,2
6,3,2
6,6,2
7,0,0
7,9,1
8,31,2
9,25,3
10,12,1
10,25,1
11,0,1
11,2,1
11,21,1
11,23,1
12,19,2
13,6,1
13,15,1
14,25,3
15,15,1
15,18,1
16,15,3
16,18,2
16,21,0
17,5,2
17,31,0
18,13,0
18,25,0
18,27,3
19,7,1
19,12,2
19,20,0
19,31,1
20,5,2
20,30,2
20,37,1
21,0,1
21,2,1
21,34,3
22,15,1
22,26,1
23,0,2
23,5,2
23,14,2
24,21,1
24,34,2
25,0,2
25,1,2
25,9,1
25,11,2
25,15,3
25,23,2
26,25,1
26,29,2
27,4,1
27,16,0
27,18,2
27,31,0
28,11,1
29,0,2
29,9,2
30,1,2
30,5,0
30,6,2
30,7,2
30,14,2
30,21,1
30,36,2
31,34,2
32,2,1
32,23,1
33,13,2
33,15,1
33,16,1
33,18,0
33,25,1
33,34,1
34,16,1
34,20,2
34,22,1
35,15,3
36,15,0
36,34,2
37,18,2
37,22,2
38,9,2
39,32,1
40,0,1
40,16,1
40,25,1
40,29,3
41,5,2
41,18,2
41,20,3
42,26,1
42,30,1
43,0,3
43,15,2
43,25,2
43,31,2
43,37,2
44,6,3
44,35,1
45,16,1
46,27,1
47,9,1
47,15,2
47,24,1
48,19,1
48,25,1
48,26,1
48,29,1
48,31,1
49,6,1
49,7,2
50,3,1
50,5,2
50,22,1
51,6,3
51,31,0
52,2,1
53,5,3
53,15,2
53,20,3
53,26,0
54,20,1
54,22,1
54,31,0
55,21,1
56,9,2
57,24,1
58,4,1
58,6,3
58,11,1
58,16,3
58,34,2
59,24,3
60,13,3
61,5,1
61,12,1
61,29,1
61,34,1
62,26,1
63,0,1
63,15,1
63,26,1
64,9,1
64,29,3
64,30,1
65,6,1
65,13,3
66,3,1
67,27,0
68,25,1
69,5,2
69,31,2
70,12,0
70,24,1
71,24,1
72,29,1
73,25,3
73,30,2
74,4,1
74,5,2
74,16,3
74,32,2
75,3,1
75,5,3
75,7,1
75,35,1
76,6,2
76,19,1
76,20,2
77,6,2
77,7,0
77,12,1
77,35,1
78,4,1
79,18,2
79,26,2
80,29,2
81,16,0
81,23,2
82,14,1
82,31,1
83,24,1
83,29,1
84,16,1
84,21,2
84,29,0
84,38,3
85,6,2
85,20,2
85,23,2
86,3,1
86,20,1
86,39,1
87,30,2
88,21,2
89,9,3
90,11,2
90,22,2
90,25,2
90,38,1
91,16,1
91,22,1
91,23,1
91,34,1
92,28,2
92,29,2
93,26,0
93,27,3
94,20,2
94,23,2
94,28,2
95,6,2
95,9,2
95,26,2
96,19,2
97,14,2
97,16,2
98,15,2
99,3,1
99,29,1
100,12,2
100,29,2
101,7,2
101,23,2
101,25,2
102,15,1
102,18,2
102,19,3
103,36,0
104,29,2
105,5,2
106,24,1
106,29,1
106,34,1
107,13,1
108,14,0
108,16,0
109,25,3
110,15,1
110,26,1
110,34,1
111,29,3
111,39,1
112,25,1
112,27,1
112,28,1
113,16,2
113,21,3
113,29,1
113,34,0
114,12,3
114,38,1
115,7,1
115,17,1
115,21,1
116,29,1
116,31,1
117,0,1
118,7,1
118,27,1
118,39,1
119,25,0
119,34,0
120,27,2
120,29,2
121,9,1
121,12,0
121,23,0
121,34,0
122,29,1
122,31,0
123,34,1
124,22,1
125,4,1
125,16,3
126,1,2
126,26,2
127,5,2
127,34,2
128,22,1
128,34,2
129,8,1
129,31,1
130,1,1
130,9,0
130,16,1
130,24,1
130,27,0
131,23,2
132,0,3
132,18,1
133,7,0
133,16,1
133,28,1
134,7,3
134,22,1
134,30,1
134,32,1
135,5,1
135,7,3
135,9,0
135,15,1
136,38,0
137,3,2
137,20,1
137,26,2
138,7,1
138,16,2
139,16,1
140,5,2
140,34,1
141,21,2
141,26,2
142,0,1
142,2,1
142,19,1
142,24,1
143,0,1
143,29,1
143,30,1
144,7,2
144,12,2
145,5,2
145,7,3
145,15,1
145,30,2
146,9,2
146,21,2
146,30,2
146,31,2
147,5,0
147,6,1
147,7,0
147,10,0
147,15,1
147,25,1
