worker,label_prob,quality,n_labels
0,0.09434934527404036,0.7570018887422229,15
1,0.04688554316536367,0.8046266953215494,4
2,0.024943807476729963,0.8534490125269564,5
3,0.05034405339771602,0.7518639154937989,7
4,0.020846594561805477,0.7410745771040875,5
5,0.0801760805024486,0.7236234612168936,17
6,0.08352589050946943,0.6307658017380171,13
7,0.08132683204740943,0.6130533479137915,16
8,0.02113523190650587,0.7666477362004794,1
9,0.06952465125157586,0.6671445879604836,14
10,0.0051763379767770235,0.8506186819835,1
11,0.0287012780243059,0.6825097412416122,4
12,0.07097866210175184,0.6249882182834908,10
13,0.03749399292409263,0.6797291295643028,5
14,0.01788516827628438,0.6189312570856547,5
15,0.09288018783065181,0.7219119852924738,19
16,0.09610130534559727,0.7154525441935725,19
17,0.005749689833852967,0.7028131365413713,1
18,0.04434222945337012,0.6701340868737291,9
19,0.016091345693986438,0.6579565968283331,6
20,0.08782668389195902,0.7582568154477424,10
21,0.06326481696862983,0.6968543393801658,12
22,0.06090707511175017,0.8269570067834093,9
23,0.07312302204887015,0.7843931756214326,10
24,0.07369747864492864,0.8837824874948956,11
25,0.08208180819420295,0.7575146059776702,18
26,0.07060915622029705,0.6636844716975489,13
27,0.050838177538960555,0.6979408631134119,9
28,0.039619567466756246,0.714875146906103,4
29,0.08397857265783715,0.7279728243668041,20
30,0.0926159392049277,0.892120019759128,11
31,0.07409004408812618,0.6018722469229425,15
32,0.018805441631058607,0.7249522376431838,3
33,0.0027092389284165356,0.7534316141199612,1
34,0.09802337443975796,0.7577104870839002,17
35,0.026184365876852023,0.736365210830577,4
36,0.010766960741055855,0.6176206576805502,2
37,0.01261338966056077,0.6645788203963825,2
38,0.02793578480987087,0.6732175479579499,4
39,0.030404869828179706,0.856087999330782,3
