object,worker,response
0,22,1
1,38,1
2,38,0
3,2,1
3,26,0
4,9,0
5,4,0
5,5,1
5,18,1
5,26,0
6,18,0
6,22,0
6,30,0
7,19,1
7,26,0
8,5,1
8,15,1
8,19,1
8,20,1
9,6,0
9,18,1
9,33,1
10,6,0
11,17,0
12,11,0
12,15,0
13,21,1
14,26,1
14,31,0
15,11,0
15,15,0
16,10,0
16,31,1
16,33,0
17,9,1
17,24,1
17,30,1
18,26,1
19,18,0
19,20,1
20,25,1
21,11,0
22,31,0
23,5,0
23,18,1
23,22,0
24,30,0
24,31,0
25,27,1
25,33,1
26,1,0
27,6,0
27,31,0
28,4,1
28,36,0
29,2,0
29,19,0
29,22,0
29,24,0
30,1,0
30,2,0
30,5,0
31,5,0
31,19,1
31,30,1
32,17,0
32,24,0
33,9,0
33,31,0
34,24,0
35,3,0
35,9,1
35,36,1
36,7,1
36,16,0
36,27,0
37,30,1
37,36,1
38,16,0
39,33,1
40,6,0
40,34,1
41,25,0
41,27,0
41,32,0
41,33,1
42,8,0
42,10,0
42,21,0
43,3,1
43,21,1
44,3,0
44,32,0
45,2,0
45,15,0
45,22,0
46,3,0
46,9,0
46,18,0
46,26,1
46,30,0
46,37,0
47,19,1
48,5,0
48,27,1
49,6,1
49,9,1
49,10,0
50,24,0
50,34,1
51,30,1
52,0,0
52,8,0
53,0,1
53,5,1
53,36,1
54,3,1
54,5,1
54,8,1
54,27,1
55,26,0
56,2,0
56,5,0
56,10,0
56,15,0
56,17,0
56,25,1
57,3,0
57,14,0
57,19,1
57,22,0
58,11,0
58,21,1
59,2,0
60,5,0
60,18,0
61,35,1
62,17,0
63,1,0
63,2,0
63,19,0
64,1,0
64,9,0
65,13,0
65,15,0
65,22,0
65,28,0
66,2,0
66,6,0
66,16,1
67,21,0
68,6,1
68,7,0
68,26,1
68,27,0
68,33,0
69,2,0
69,4,0
69,15,0
69,22,0
70,6,0
70,8,0
70,11,1
71,5,0
71,19,1
72,7,0
73,5,0
73,30,0
73,32,1
74,0,0
75,28,1
75,30,0
76,18,0
76,20,0
77,22,0
77,28,0
77,31,0
78,3,1
78,20,0
78,37,0
79,7,0
80,5,1
81,32,0
82,2,0
82,19,0
83,2,1
83,22,1
83,26,0
84,6,0
84,26,0
84,32,0
85,6,0
85,29,1
86,18,1
86,34,1
