object,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,2.0,3.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,4.0
1,2.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0
2,0.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
3,2.0,2.0,8.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,4.0
4,2.0,3.0,3.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
5,2.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0
6,0.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,2.0
7,0.0,2.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0
8,2.0,2.0,8.0,0.0,7.0,2.0,0.0,1.0,7.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,4.0,0.0
9,0.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0
10,2.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0
11,2.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0
12,0.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
13,2.0,2.0,8.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,4.0
14,2.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,7.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
15,5.0,0.0,3.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,5.0,4.0
16,3.0,0.0,8.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
17,2.0,3.0,0.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0
18,2.0,2.0,8.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,4.0
19,2.0,3.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,4.0
20,0.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0
21,2.0,2.0,0.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,0.0
22,0.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0
23,0.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
24,0.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0
25,3.0,3.0,8.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,0.0
26,2.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
27,2.0,2.0,8.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
28,3.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,5.0,4.0
29,2.0,3.0,9.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,6.0
30,0.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
31,2.0,2.0,8.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,4.0
32,2.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
33,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,5.0,3.0
34,0.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,2.0
35,2.0,0.0,9.0,0.0,1.0,2.0,1.0,1.0,10.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,6.0
36,5.0,0.0,3.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,4.0,4.0
37,2.0,2.0,0.0,0.0,7.0,2.0,0.0,1.0,10.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,4.0
38,2.0,0.0,9.0,0.0,0.0,2.0,1.0,1.0,7.0,1.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,6.0
39,0.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0
40,0.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
41,2.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,5.0,3.0
42,2.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,4.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,5.0,4.0
43,2.0,2.0,8.0,0.0,7.0,2.0,0.0,1.0,7.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,0.0
44,2.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,2.0
45,2.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0
46,2.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0
47,2.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
48,2.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,3.0,3.0
49,3.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,3.0
50,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0
51,2.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0
52,0.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
53,2.0,2.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,1.0,4.0,4.0
54,2.0,3.0,8.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,0.0,4.0,4.0
