object,worker,response
0,0,5
0,28,3
1,34,2
2,18,1
2,23,2
2,35,1
3,18,5
3,29,5
4,15,5
4,29,4
5,36,5
6,4,6
6,18,6
7,25,6
7,30,0
7,34,0
8,14,1
8,28,2
9,18,6
9,25,0
10,21,3
11,1,1
12,1,4
12,3,4
12,14,4
12,19,4
12,35,4
13,6,4
13,30,5
13,34,2
13,35,4
14,4,6
14,30,6
15,15,4
15,37,4
16,29,0
16,34,3
17,13,5
17,20,5
17,28,5
17,31,6
17,38,5
18,20,3
18,31,6
19,22,3
20,14,4
20,15,4
20,39,4
21,14,0
21,15,0
21,37,5
22,22,2
23,1,3
23,31,1
24,11,6
24,15,6
24,28,6
24,31,6
25,18,4
26,25,5
27,29,5
28,15,1
28,25,6
28,38,1
29,9,1
30,5,6
30,29,0
30,39,6
31,19,4
32,13,4
32,21,4
33,21,3
34,30,6
35,5,6
35,6,6
35,19,6
35,38,6
36,32,6
36,34,3
37,18,0
38,3,4
38,4,4
38,36,4
39,0,2
39,9,6
39,18,2
39,29,2
40,23,6
40,30,0
40,35,6
41,11,3
41,19,6
42,5,6
42,25,6
42,39,3
43,18,6
43,23,2
44,34,2
45,19,4
46,4,4
47,0,0
47,19,6
47,22,5
48,12,2
49,25,2
49,34,2
50,6,0
50,28,4
51,6,4
51,15,4
52,19,1
52,34,1
53,2,6
53,5,6
53,13,6
53,18,0
54,0,5
54,29,5
54,39,5
55,18,4
56,3,3
56,9,5
56,15,3
56,21,4
56,38,3
57,8,1
58,21,0
59,12,3
59,30,3
60,30,5
61,25,3
61,32,1
62,23,2
63,29,4
64,14,0
64,21,0
65,22,3
66,21,1
67,1,5
67,5,3
67,12,3
68,25,5
69,14,4
69,18,4
69,28,1
70,9,0
71,5,2
72,6,3
73,6,4
74,9,2
74,13,2
74,30,2
75,6,2
75,9,3
75,13,0
76,23,1
76,36,1
77,23,0
77,25,0
78,20,6
78,23,6
79,37,0
80,2,2
80,5,2
81,17,1
82,14,0
82,17,4
82,28,0
83,36,0
83,38,0
84,6,5
84,21,5
84,39,5
85,19,6
85,28,6
85,29,2
86,30,2
87,4,3
88,14,5
89,5,3
89,25,3
89,31,3
90,9,5
90,18,5
90,39,5
91,13,6
92,35,0
92,36,0
93,5,2
93,29,3
93,30,2
93,36,3
94,8,3
94,9,4
94,12,3
94,14,3
94,25,5
95,4,1
95,5,5
95,20,0
95,34,6
95,39,6
96,1,3
96,4,5
96,37,5
96,39,5
97,18,0
98,23,0
98,30,0
99,15,3
100,5,0
100,21,0
100,30,4
101,21,2
102,0,0
103,39,1
104,9,0
105,21,1
105,30,5
106,20,3
107,5,0
107,6,2
107,15,0
107,21,0
107,29,0
108,10,4
108,15,4
109,9,3
109,17,3
109,18,3
109,39,2
110,14,0
110,28,1
110,29,6
111,19,2
111,28,2
111,32,2
112,6,1
112,23,1
112,31,1
112,36,1
113,31,5
114,23,6
115,4,1
115,9,0
115,14,2
115,23,0
115,29,4
116,33,5
117,2,4
117,11,5
117,25,4
117,30,4
118,18,2
119,6,3
119,14,3
119,19,2
119,25,5
119,26,3
120,0,4
120,6,3
120,18,1
120,21,1
120,38,1
121,9,2
121,33,2
121,35,2
122,0,3
122,11,6
122,12,3
122,36,3
123,3,3
123,6,6
123,30,6
123,34,6
124,35,1
125,28,1
125,33,1
125,39,1
126,39,3
127,18,5
128,10,2
129,11,2
129,13,2
129,28,2
130,1,4
131,7,1
131,13,3
131,17,3
131,39,3
132,13,3
133,0,5
133,4,5
133,31,5
134,12,0
135,1,4
135,25,4
136,9,2
136,20,6
137,8,0
137,21,0
137,31,0
137,33,0
138,12,6
138,24,4
138,28,4
139,39,6
140,3,2
140,6,2
140,12,2
140,28,2
141,3,3
141,14,0
142,9,3
142,35,5
143,9,2
143,13,2
143,21,2
143,31,2
143,38,2
144,34,5
144,39,3
145,4,1
145,9,1
145,25,6
145,30,5
146,23,3
147,12,6
148,8,5
148,16,5
149,0,4
149,35,4
150,15,0
150,20,5
151,3,5
151,15,1
151,35,1
152,14,6
152,15,5
152,21,5
152,34,6
153,18,4
153,23,4
154,0,2
154,11,2
154,13,2
154,39,2
155,6,5
155,14,0
155,23,5
156,0,6
156,8,6
156,15,6
157,34,2
158,11,5
159,3,5
160,9,3
161,4,3
161,34,3
162,25,6
162,29,6
162,36,6
163,6,5
163,8,5
163,36,3
164,6,1
164,9,1
164,34,0
164,36,0
165,4,1
165,19,1
165,21,1
165,36,3
166,26,2
167,19,4
168,0,3
168,5,3
169,4,4
170,0,3
170,15,3
171,5,3
171,22,3
171,28,3
172,6,6
173,17,2
173,31,2
174,5,2
174,19,3
175,0,5
175,23,5
176,9,1
176,39,6
177,35,1
178,1,0
178,39,4
179,4,4
180,30,5
180,32,5
181,0,0
181,3,0
181,14,0
182,31,3
183,5,5
183,10,5
183,14,6
183,17,3
183,35,2
184,22,1
184,36,1
185,6,1
185,13,3
185,28,1
186,13,2
186,19,3
187,0,4
187,21,4
188,21,3
189,15,0
189,31,0
190,30,4
191,25,4
191,28,6
192,15,6
192,18,6
192,20,6
193,13,5
193,31,0
193,37,0
194,23,0
194,36,6
195,3,1
195,18,5
196,31,2
196,34,2
196,36,2
197,24,6
198,16,4
199,34,5
200,3,2
200,15,0
200,29,3
200,30,0
201,28,4
202,15,2
203,25,4
204,1,6
204,14,0
204,19,6
205,23,5
205,25,5
206,0,1
206,29,1
206,33,5
207,39,6
208,19,5
209,0,0
209,19,0
210,5,5
210,23,5
211,29,2
212,5,6
212,28,6
212,35,6
213,0,1
213,39,1
214,5,2
214,19,6
214,28,6
214,31,2
215,3,1
215,23,4
215,25,0
215,36,4
216,36,4
217,9,0
217,15,0
218,13,5
218,31,5
219,11,4
219,25,4
219,29,4
220,14,2
220,18,5
221,5,3
221,13,5
222,15,4
222,25,0
223,6,1
223,15,0
223,28,0
224,34,0
224,38,3
225,34,4
226,10,4
227,11,5
227,38,3
228,36,5
229,1,1
229,15,6
229,28,3
229,36,1
230,18,2
231,31,1
232,0,4
232,5,1
232,7,6
232,13,4
233,0,4
233,4,4
233,36,4
234,23,5
234,31,4
234,36,1
234,38,5
235,17,5
236,9,6
236,14,6
236,23,3
236,25,0
237,16,2
238,33,3
239,11,3
240,0,0
240,5,6
240,23,1
240,29,6
241,4,2
241,22,4
242,21,1
242,23,1
243,34,3
243,37,3
244,37,2
245,12,3
245,15,2
246,14,1
247,7,0
248,13,5
249,28,5
250,4,0
250,5,0
250,14,0
250,29,0
250,34,0
251,1,6
251,21,6
251,29,6
251,38,6
252,21,3
253,13,0
253,20,4
253,30,4
254,18,1
254,23,6
254,29,6
255,11,4
255,13,4
255,15,4
256,20,1
256,35,1
257,27,4
258,23,5
258,25,2
258,39,2
259,18,5
259,19,4
259,28,4
260,0,4
260,6,5
261,5,5
261,18,6
261,29,6
261,30,1
261,34,2
261,36,2
262,4,2
262,15,2
