object,worker,response
0,33,0
1,28,1
2,18,1
2,20,1
2,21,0
3,5,0
3,11,0
3,22,1
4,4,0
4,15,0
4,28,0
5,20,0
5,22,0
6,39,1
7,26,1
8,23,0
9,0,1
9,7,0
9,22,0
9,30,1
10,22,1
10,31,0
10,38,0
11,11,0
12,7,0
12,20,1
13,28,0
14,5,0
14,13,0
14,15,0
14,17,0
14,19,0
14,22,1
14,29,1
14,30,0
14,38,1
15,3,0
15,6,1
16,7,0
16,9,1
16,22,0
17,7,0
17,15,1
17,38,0
18,3,1
18,25,0
18,33,0
19,10,0
19,28,0
20,15,0
20,20,0
20,21,0
20,22,0
21,38,0
22,18,0
22,24,1
22,30,1
23,19,0
24,31,0
24,38,0
25,14,0
26,33,0
27,11,1
27,21,0
27,32,0
28,4,0
28,18,0
28,21,0
29,22,0
29,38,1
30,22,1
31,26,1
31,30,0
32,25,0
33,7,0
34,11,0
34,24,0
35,3,0
35,30,0
36,17,0
36,24,1
37,30,1
38,18,1
39,15,0
39,24,0
40,11,0
41,3,0
42,24,0
43,29,0
43,38,0
44,5,1
44,19,0
44,22,1
45,29,0
45,30,0
46,19,1
47,12,0
47,33,0
48,23,1
49,0,0
49,3,0
49,18,0
50,24,1
50,30,1
51,29,0
52,16,0
52,17,0
53,32,0
54,17,0
54,19,0
54,22,0
54,24,1
55,24,0
56,31,0
56,33,0
57,7,0
57,15,1
57,18,1
58,6,0
58,22,0
58,26,0
59,12,0
59,29,1
60,15,0
60,22,0
60,26,1
60,30,1
61,21,0
61,37,0
62,7,0
62,20,0
62,30,0
63,5,0
63,26,0
63,35,0
64,3,0
64,18,1
65,0,0
65,5,0
66,6,0
66,30,0
67,18,1
68,22,0
68,31,0
69,4,0
70,9,1
70,20,0
70,28,0
71,18,0
72,0,0
72,24,0
73,15,0
73,16,0
74,24,1
75,0,0
76,11,0
76,22,0
76,26,1
77,16,0
78,25,0
79,5,0
79,22,1
80,3,0
80,4,0
80,15,0
81,7,0
81,9,0
81,19,0
81,32,0
82,37,0
83,21,0
84,20,0
85,4,0
85,5,0
