object,worker,response
0,9,1
1,11,0
2,2,0
2,6,0
2,26,0
2,37,0
3,15,1
3,22,0
3,36,0
3,39,0
4,13,0
4,25,0
4,27,0
4,36,1
4,37,0
5,25,0
5,34,0
5,39,0
6,12,0
7,9,0
7,19,0
8,20,0
8,31,0
9,1,0
10,2,0
11,15,0
11,19,0
11,23,1
12,11,0
12,15,0
12,21,1
12,27,1
12,39,0
13,0,0
13,24,0
14,13,0
14,25,0
14,33,1
15,6,0
15,11,0
15,39,0
16,21,0
16,35,1
17,22,1
18,36,0
19,25,0
19,36,0
20,4,0
20,12,0
21,23,0
22,1,0
22,13,0
22,15,0
22,24,1
23,17,0
23,26,0
24,1,0
24,4,0
24,7,0
24,17,1
24,21,0
25,7,1
25,23,1
26,8,0
26,9,1
26,13,0
26,16,0
26,22,0
26,37,0
27,25,0
28,11,0
28,27,1
29,3,0
30,36,1
31,17,0
31,24,0
31,25,0
31,33,0
32,22,1
32,24,0
33,12,0
33,14,0
33,26,0
34,3,1
34,15,0
34,39,0
35,21,0
36,11,0
36,18,1
37,15,0
37,33,1
38,14,0
38,24,0
38,39,0
39,3,0
39,13,1
40,1,1
40,13,0
40,23,0
41,1,0
41,9,0
41,10,0
41,13,1
41,23,1
41,25,0
41,38,0
42,1,0
42,3,1
42,6,0
42,39,0
43,9,0
43,19,0
43,21,0
44,12,1
44,14,0
44,16,0
44,37,1
45,19,0
46,14,0
46,19,0
46,38,1
47,11,0
47,14,0
47,15,1
47,30,0
47,37,0
48,23,0
49,15,0
50,7,0
50,35,0
51,1,0
52,1,0
52,21,0
53,9,0
53,25,0
53,36,0
54,4,0
54,12,0
54,14,0
54,39,0
55,34,0
56,8,0
56,14,1
56,21,0
56,27,0
57,7,0
57,33,0
58,2,0
58,23,0
58,27,0
59,23,1
59,39,0
60,3,1
60,11,0
60,26,0
61,7,1
61,22,0
61,30,0
62,1,0
62,12,0
62,36,1
63,2,0
64,20,0
64,23,0
64,36,1
64,38,0
65,25,0
66,8,0
66,13,0
66,14,0
66,35,0
67,14,0
67,34,1
68,26,0
69,1,0
70,12,0
70,28,1
70,36,0
70,37,0
71,4,0
71,6,0
71,15,0
71,36,0
72,11,0
72,20,0
72,34,1
73,8,1
73,12,0
73,15,0
73,25,0
73,37,0
73,39,0
74,26,1
74,38,0
75,3,0
75,6,0
75,20,0
75,36,0
76,1,1
76,9,1
77,0,0
77,20,1
77,37,0
77,39,1
78,17,0
78,27,1
79,3,0
80,11,1
81,27,1
82,25,1
82,35,0
83,0,1
83,17,1
84,24,1
84,39,0
85,8,0
86,28,0
87,36,0
88,1,0
88,17,1
88,34,0
89,4,0
89,23,0
89,33,0
90,36,0
91,27,1
92,14,1
92,25,1
93,26,0
94,7,0
94,9,0
94,11,0
94,13,0
94,39,0
95,1,0
95,17,0
95,19,0
96,0,0
96,2,1
96,13,1
96,20,0
96,21,0
96,26,0
97,21,1
97,27,0
97,37,1
98,3,1
98,6,1
98,7,0
99,14,1
99,20,1
99,35,1
100,5,1
101,4,0
102,4,1
102,26,1
103,4,1
103,33,1
104,7,1
104,15,1
104,25,0
104,35,0
105,12,1
105,19,1
106,22,0
107,14,1
107,27,1
107,35,1
108,17,1
109,1,0
109,27,1
109,34,1
110,8,1
110,37,0
111,11,0
111,13,1
112,30,1
113,27,0
113,34,1
114,13,1
114,23,0
114,39,1
115,34,0
116,1,1
117,14,0
117,37,0
118,12,0
118,16,1
118,37,1
119,25,1
120,3,1
120,14,1
121,23,1
121,39,0
122,3,1
122,12,1
122,13,0
122,23,1
122,33,1
123,1,1
123,2,1
123,7,1
123,20,0
123,24,1
123,37,1
124,12,1
124,21,1
124,35,1
124,36,1
125,2,1
125,21,1
126,0,1
126,12,0
126,15,1
127,1,1
128,1,1
128,6,1
128,36,1
129,14,1
130,0,1
130,7,1
131,7,1
131,15,1
131,35,1
132,16,0
132,39,1
133,27,0
134,8,1
134,17,1
134,34,0
135,4,1
135,23,1
136,1,0
137,1,1
137,13,0
137,21,1
137,22,1
138,4,1
138,21,1
138,27,1
138,35,1
139,1,0
139,13,1
140,10,1
140,11,1
140,26,1
141,0,0
141,39,1
142,8,0
142,27,0
143,4,1
143,11,0
143,27,1
144,12,0
144,15,0
145,2,1
145,8,1
145,15,1
146,1,1
146,11,1
146,12,0
147,27,1
147,33,1
147,37,1
148,37,0
149,2,1
149,4,1
149,24,0
150,4,1
150,12,0
150,19,1
151,13,0
152,17,1
152,22,1
152,39,0
153,4,1
153,13,1
153,27,0
154,26,0
155,4,1
156,4,1
156,7,1
156,19,0
156,20,1
156,35,1
157,23,1
157,36,1
158,0,1
159,14,1
160,14,1
161,21,0
161,26,1
162,27,0
163,6,1
163,20,1
163,33,1
163,34,1
163,39,1
164,34,0
165,3,1
165,9,1
166,1,1
167,39,1
168,18,1
169,21,1
170,3,1
170,14,0
170,33,1
171,9,1
172,21,1
173,6,0
173,12,1
173,14,1
173,34,1
174,18,1
174,27,0
174,30,1
174,39,0
175,7,1
175,8,1
175,14,1
176,31,1
177,11,1
178,12,1
178,33,1
179,3,1
179,11,1
179,19,1
179,33,1
180,6,1
180,21,1
180,35,1
181,18,1
181,27,1
182,15,1
183,33,1
183,36,0
184,9,0
184,19,1
184,38,0
185,11,1
185,37,0
186,3,1
186,11,0
186,27,1
187,3,0
187,4,1
187,13,1
187,14,1
187,17,0
188,15,1
188,32,1
189,9,1
189,29,1
189,37,0
190,10,1
190,11,1
191,13,1
191,30,0
191,39,1
192,6,1
193,1,1
193,15,0
193,18,1
193,26,0
194,17,1
194,24,1
195,6,0
195,9,1
195,33,1
196,13,1
196,17,0
197,20,1
197,34,1
198,14,0
198,24,1
199,39,1
200,1,1
200,14,1
200,25,1
201,3,0
201,8,1
201,22,0
201,24,1
201,27,0
202,11,0
202,13,0
203,35,1
203,36,1
204,9,1
204,30,0
204,38,0
205,15,1
206,31,1
207,12,1
207,14,0
