worker,label_prob,quality,n_labels
0,0.04843667248465664,0.8544978823659257,8
1,0.08732353485277004,0.6979856773200845,25
2,0.05973295959729652,0.7493463399866521,9
3,0.06732993825750334,0.6251802447716622,16
4,0.0931281652672768,0.8585059384790615,17
5,0.005401799370989524,0.6973938954509784,1
6,0.07986441251802859,0.8806968414124259,12
7,0.053126805948816185,0.6942209804145467,13
8,0.04335906385926952,0.8236170023407424,11
9,0.06383708434321451,0.6544335367627144,14
10,0.02739172076914761,0.8235113592446146,3
11,0.08035696682407271,0.8110651352554838,20
12,0.09827544474805375,0.7900496403052741,19
13,0.08815673672278573,0.6911979017742982,21
14,0.07439994994879189,0.7541348452045339,24
15,0.07170637545983011,0.6622071648282604,19
16,0.051188387025544825,0.7582945696630994,4
17,0.08009453994263216,0.6463189829466678,13
18,0.020036329711775925,0.7948036881446774,5
19,0.06177872343716646,0.7697810715602698,11
20,0.04930517443282924,0.7020757375935861,11
21,0.05946871588845357,0.8039754586942057,17
22,0.06127002151835057,0.6288927813749192,9
23,0.0651558825783473,0.6756607628378937,15
24,0.061676092048569275,0.8453585911038405,11
25,0.09443673946839529,0.8310217113018473,15
26,0.06684266726827053,0.643825329536674,13
27,0.09792064412550054,0.6573329495166569,23
28,0.0018339982418451584,0.8539550482012003,2
29,0.004074981860642812,0.6284869595437084,1
30,0.025097160943280475,0.8054235584485341,6
31,0.02229402864211251,0.8291757165562741,3
32,2.681683436194238e-05,0.7210974870766477,1
33,0.08329197679596716,0.7795550408083017,14
34,0.05216160442719834,0.7303175508980405,13
35,0.07861395447447789,0.7356866525279153,13
36,0.0760526302337635,0.8174857098431886,18
37,0.08455239694748154,0.7172453688291853,17
38,0.03558096036422972,0.7398131881407667,6
39,0.09368795701914147,0.6917827569618034,23
