object,worker,response
0,18,1
0,22,1
1,11,1
1,14,1
1,15,1
2,26,1
3,6,0
3,15,1
3,30,0
4,26,1
5,13,1
5,23,1
6,0,1
6,8,1
7,20,1
8,3,0
9,3,1
9,28,1
10,1,0
10,13,1
10,24,0
10,31,1
11,17,1
12,0,1
12,18,1
12,20,0
12,32,1
13,14,1
13,22,1
13,32,1
13,35,1
14,18,1
14,21,0
14,25,1
14,28,1
15,13,1
15,15,1
16,11,1
16,14,0
16,20,1
17,3,1
17,18,1
17,31,1
17,36,1
18,0,1
19,13,1
19,30,1
20,35,1
21,33,1
22,6,0
22,34,1
23,1,0
23,28,1
23,29,1
24,8,1
24,13,0
24,17,0
24,35,1
25,0,1
26,29,0
26,32,1
27,30,1
28,24,0
28,28,0
28,31,0
28,35,1
29,6,0
29,14,1
29,15,0
29,36,1
30,12,0
30,21,0
30,32,1
31,14,1
31,17,1
31,20,1
32,33,1
33,13,1
33,20,1
33,29,1
33,34,1
34,6,1
34,20,1
35,11,1
35,12,1
35,21,0
35,30,1
36,15,0
36,19,1
36,34,1
37,19,1
38,22,1
39,13,1
40,15,1
40,23,1
41,25,1
41,32,1
41,34,1
42,3,1
42,19,1
42,29,1
43,27,1
44,28,1
45,32,1
46,12,1
46,13,1
47,15,1
47,21,1
47,30,1
48,24,0
49,6,0
49,13,1
49,30,1
50,14,1
50,31,1
50,36,1
51,32,1
52,6,0
52,21,0
53,29,1
54,6,1
55,17,1
55,18,1
56,11,1
56,20,1
56,25,1
57,1,0
57,14,1
57,32,1
58,17,1
58,21,0
58,28,1
58,31,1
59,30,1
60,6,0
60,13,1
60,28,1
61,17,1
62,6,1
62,7,1
62,20,1
62,30,1
63,7,1
64,14,1
64,23,1
64,30,1
64,35,0
65,6,1
65,7,1
66,15,0
66,20,1
66,30,1
66,35,1
66,36,1
67,7,1
67,21,0
68,12,0
68,18,1
69,12,1
69,13,1
69,17,1
69,28,1
69,32,1
70,28,1
71,32,1
72,13,0
72,18,0
72,21,1
73,13,1
74,26,1
75,15,1
76,11,1
76,14,1
76,21,1
76,29,0
77,25,1
78,7,1
78,20,1
78,32,1
79,12,1
79,14,1
79,15,1
79,20,1
79,25,1
79,34,1
80,1,1
81,17,1
82,0,1
83,0,1
84,6,1
84,28,1
85,27,0
86,15,0
86,21,1
87,33,1
88,26,0
89,18,1
89,28,1
90,0,1
90,6,1
91,33,0
92,0,1
92,24,1
92,35,1
93,29,1
94,4,0
94,18,1
94,36,1
95,21,0
95,22,1
96,18,1
97,29,1
98,0,1
98,35,1
98,39,1
99,28,1
99,35,1
100,27,1
100,28,0
100,30,0
101,2,1
101,26,1
101,27,0
101,28,1
101,32,1
102,6,0
102,22,1
102,27,1
102,29,0
103,20,1
104,21,1
104,24,0
105,27,1
106,1,1
106,15,1
106,28,1
106,32,1
107,20,1
108,33,0
109,28,1
109,30,1
110,17,0
110,22,1
110,30,1
110,35,1
111,24,1
112,6,0
112,30,1
113,20,1
114,11,0
114,23,1
114,26,1
115,6,1
116,28,1
116,30,1
116,32,1
117,6,0
117,17,1
118,6,1
118,13,0
119,17,1
120,20,1
120,21,1
120,26,1
121,14,1
121,20,0
121,30,1
122,23,1
122,28,1
123,5,1
123,29,1
124,3,1
125,1,0
126,17,0
127,34,0
128,15,0
129,14,0
129,17,1
130,5,1
130,28,1
131,14,1
131,26,1
132,3,1
132,20,1
132,28,0
132,36,0
133,33,1
134,15,0
134,22,1
134,30,1
134,34,0
135,0,1
135,29,1
136,1,1
136,14,1
137,7,1
137,21,1
137,32,1
138,15,0
139,0,1
139,18,1
139,20,1
140,0,0
140,3,1
140,26,1
140,28,0
141,39,0
142,13,1
142,17,1
142,20,1
142,28,1
143,0,1
143,11,1
144,21,1
145,12,1
145,27,1
146,11,1
146,15,0
146,25,0
147,12,0
148,12,1
149,6,1
149,8,1
149,14,1
149,15,1
149,17,1
150,18,1
150,34,0
151,14,1
151,30,1
151,31,1
151,32,0
151,34,1
151,39,1
152,0,0
152,32,1
152,35,1
153,27,1
154,23,1
155,20,1
155,32,0
155,34,1
155,36,1
156,26,1
157,20,1
158,14,1
158,15,0
158,18,1
158,21,0
159,14,1
159,21,0
159,25,0
160,31,1
161,17,1
162,18,1
162,24,1
163,35,1
164,32,1
165,2,1
165,12,0
165,26,1
165,35,1
166,32,0
167,6,0
167,29,1
168,20,1
169,13,1
170,11,1
171,14,1
171,21,1
171,29,1
171,32,0
172,15,1
172,18,1
172,34,1
173,3,1
173,18,0
174,14,0
174,16,1
174,18,1
174,34,1
175,26,1
175,29,1
176,14,1
176,26,1
177,0,1
177,34,0
178,14,0
179,3,1
179,6,1
179,11,1
179,15,0
180,26,0
180,29,1
180,33,0
181,26,1
181,34,1
182,3,1
182,21,0
182,34,0
183,11,0
183,13,1
183,14,1
183,20,1
183,30,1
184,14,1
184,25,1
184,30,0
185,0,1
185,28,1
186,26,1
187,28,1
188,13,1
188,19,1
188,28,0
189,18,1
189,20,1
189,30,1
189,32,1
190,37,1
191,32,0
192,9,1
193,32,1
194,1,1
195,15,1
195,17,1
195,24,1
195,36,1
196,22,1
196,32,1
197,17,1
198,0,1
199,13,1
200,13,1
201,13,1
201,30,1
202,15,0
202,28,1
203,17,1
204,15,1
205,39,1
206,19,1
206,26,1
206,32,1
207,1,1
207,31,1
208,2,1
208,6,1
208,7,1
208,24,1
209,13,1
210,3,1
210,17,1
210,29,1
211,3,1
211,35,1
211,38,1
212,7,1
213,21,1
214,8,0
214,17,1
214,21,1
215,12,1
215,21,0
216,15,1
216,35,0
217,13,1
217,20,1
217,32,1
218,1,1
218,2,1
218,13,1
218,14,1
218,15,1
218,29,1
219,30,1
219,38,1
220,6,1
221,20,1
221,28,1
222,0,1
222,22,1
223,8,1
223,28,1
224,1,0
224,13,1
224,35,1
225,8,1
225,13,1
225,32,0
226,20,0
226,33,1
226,35,1
227,6,1
227,38,1
228,12,1
228,15,0
228,21,0
228,30,0
229,0,1
230,22,0
231,18,1
231,36,1
232,28,1
233,6,0
233,23,1
234,3,1
234,32,1
235,20,1
235,35,1
236,11,1
236,14,1
236,21,1
237,13,1
238,6,0
239,6,1
239,13,0
239,26,1
240,13,0
240,14,1
241,13,0
242,0,1
242,29,0
242,33,0
242,34,1
243,15,1
243,26,1
244,0,1
244,3,1
245,32,1
246,3,1
247,0,1
247,18,1
247,26,0
248,18,1
248,28,1
248,32,1
249,8,1
249,31,1
250,17,0
251,6,1
251,11,1
251,14,1
251,20,0
251,21,1
251,24,1
252,18,0
253,36,1
254,11,0
254,20,1
254,26,1
255,38,1
256,21,1
256,30,1
256,31,1
257,26,1
258,15,1
259,11,1
260,21,1
260,29,1
260,33,1
260,34,1
261,3,0
262,6,0
262,18,1
263,16,0
263,18,0
263,21,0
263,29,1
264,3,1
264,30,1
264,32,1
265,0,0
265,1,1
265,15,1
265,35,1
266,21,1
266,32,1
267,29,1
267,35,0
268,21,1
268,23,0
269,37,1
270,13,1
270,24,1
270,35,1
271,32,1
272,21,0
273,1,1
274,6,0
275,1,1
275,29,1
275,30,1
276,14,1
277,5,1
278,1,1
278,6,1
278,22,1
279,13,1
279,20,1
279,32,1
280,6,1
280,16,1
280,22,1
281,15,1
282,13,1
282,20,1
283,14,1
283,22,1
284,7,0
284,18,1
284,28,1
284,29,0
285,14,1
285,21,1
285,34,1
286,36,1
287,21,1
288,15,0
289,18,1
289,20,1
289,25,1
290,3,1
290,15,1
290,21,1
291,13,0
291,21,1
292,3,1
293,17,1
293,29,1
294,13,1
294,16,1
295,17,1
295,38,1
296,6,0
296,11,0
296,28,1
296,31,0
297,8,1
297,11,1
297,34,1
297,39,1
298,17,1
298,21,1
299,1,1
299,32,1
300,16,1
300,24,1
301,29,1
302,13,1
