object,worker,response
0,27,0
1,7,0
1,14,0
1,17,0
1,37,0
2,10,0
2,22,0
3,31,0
4,23,0
5,0,0
5,21,0
6,13,0
7,20,0
7,28,1
7,37,0
8,0,0
8,16,0
9,3,1
10,19,1
11,3,0
11,27,0
12,2,0
12,20,0
13,37,1
14,7,0
14,16,0
14,17,0
14,18,0
15,3,0
15,15,0
16,0,0
16,8,0
16,20,0
16,32,0
17,10,0
17,17,1
18,28,1
19,30,0
20,20,0
20,25,0
21,3,1
22,10,0
22,20,1
23,10,0
23,36,0
24,18,0
25,18,0
26,9,0
27,8,0
27,11,0
27,28,0
28,27,0
29,15,0
30,20,0
31,9,0
32,1,0
32,22,0
32,27,1
33,28,0
34,33,1
34,37,0
35,22,0
36,9,0
36,13,0
36,17,0
36,30,0
37,10,0
37,22,0
38,10,0
38,15,0
38,21,0
38,30,0
39,14,0
39,18,0
39,21,1
39,39,1
40,8,0
40,16,1
41,6,1
42,20,0
43,1,0
43,20,0
43,31,0
44,31,0
45,18,0
45,32,0
45,33,0
46,8,0
46,33,0
47,4,0
47,16,1
47,28,0
48,14,0
48,15,1
49,12,0
50,8,0
50,21,0
50,31,1
50,36,1
50,37,1
51,2,0
51,4,0
51,39,0
52,7,0
53,12,0
53,16,0
53,21,0
54,10,0
54,15,0
54,32,0
55,13,1
55,31,0
56,26,0
57,3,0
57,30,0
57,36,0
58,35,0
59,3,0
59,10,0
59,17,1
60,10,0
61,8,0
61,39,0
62,7,0
63,15,0
63,20,0
63,24,0
64,19,1
64,33,1
65,13,0
65,16,0
65,24,0
65,39,0
66,21,0
67,14,0
67,17,0
67,20,0
68,33,0
69,18,0
70,9,1
71,9,0
71,20,0
72,7,0
72,34,0
73,14,0
74,7,0
75,14,1
75,19,1
76,14,1
76,21,0
77,3,0
77,15,0
77,20,0
77,35,0
78,32,0
79,21,0
79,37,0
80,2,1
81,16,1
81,19,1
81,22,0
82,14,0
82,37,0
83,9,0
83,18,0
84,33,0
84,37,0
85,15,0
85,34,0
86,7,0
86,24,0
86,30,0
87,21,0
87,33,0
88,4,0
88,21,0
88,33,0
89,24,1
89,27,0
90,3,0
90,11,0
91,21,0
91,31,0
92,23,0
93,15,0
93,20,0
93,32,0
93,37,0
94,10,1
95,0,0
96,1,0
96,14,0
97,39,0
98,1,0
99,7,0
99,8,0
99,18,0
100,7,0
101,11,1
101,32,1
102,3,0
102,10,0
103,8,0
103,39,0
104,0,0
104,3,0
104,27,1
104,37,0
105,27,1
105,32,0
105,33,0
105,38,1
106,14,0
107,18,0
107,39,1
108,16,1
109,8,0
109,12,1
109,14,0
109,17,1
109,33,0
110,27,0
111,11,0
112,12,0
112,21,0
112,27,0
112,33,0
113,14,0
113,31,1
114,22,0
114,24,0
115,31,0
116,20,0
116,34,0
117,35,1
117,37,0
118,25,0
118,37,0
119,7,0
120,37,0
120,39,1
121,13,0
121,32,0
122,7,0
123,4,0
123,27,0
124,10,0
124,30,0
124,33,0
125,33,0
126,8,0
126,15,0
126,24,0
126,28,0
127,3,1
128,24,0
128,33,0
129,22,1
130,15,0
130,18,0
130,33,0
131,24,1
131,29,0
132,7,0
132,14,0
132,20,1
132,32,0
133,28,0
133,33,1
134,3,0
134,8,0
134,10,0
134,24,0
134,33,0
135,7,0
135,19,1
135,33,1
136,10,0
136,15,0
136,39,0
137,12,0
138,18,0
138,33,1
139,34,0
140,1,0
140,8,1
140,39,0
141,2,0
141,12,0
142,18,1
142,20,0
142,29,0
142,32,0
143,0,0
143,20,0
143,23,0
143,35,0
144,12,1
145,4,0
145,8,0
145,15,0
145,21,0
146,13,0
146,24,0
147,7,0
148,25,0
149,10,0
149,33,0
150,25,0
151,21,0
152,3,0
152,35,0
153,35,0
154,37,0
155,15,0
156,36,0
157,8,0
157,32,0
157,36,1
158,13,1
158,17,0
159,13,0
159,26,0
159,32,1
160,12,0
160,15,0
160,24,0
160,37,1
160,39,0
161,15,0
162,8,0
162,37,0
163,14,0
163,35,0
163,37,0
164,0,0
164,33,0
164,37,0
165,7,0
166,13,1
166,35,0
167,35,1
168,13,0
169,23,0
169,31,0
170,34,1
171,0,1
171,4,0
172,3,0
172,27,1
173,18,0
173,33,0
174,14,0
175,9,1
175,17,0
176,12,0
177,21,0
178,14,0
178,24,0
178,39,0
179,31,1
180,8,0
180,34,0
181,10,0
181,13,0
182,25,0
182,34,0
183,13,0
183,25,1
184,13,0
184,17,1
184,30,0
185,0,0
185,10,1
185,14,0
185,38,0
186,14,0
186,15,0
187,3,0
188,31,1
189,20,0
190,21,0
190,24,0
190,37,0
191,20,0
191,35,1
192,32,0
193,18,0
194,8,0
194,13,0
195,24,0
195,39,0
196,0,0
196,4,0
196,33,0
197,15,0
197,34,0
197,35,0
198,35,0
198,37,1
199,7,0
200,0,0
200,27,0
200,30,0
201,1,1
202,10,0
203,1,0
203,30,0
204,15,0
204,33,1
205,23,1
206,8,0
207,18,1
207,20,0
207,31,0
207,36,0
208,20,0
208,28,0
208,35,0
209,8,0
209,22,0
210,9,1
210,21,0
210,33,0
211,9,1
211,34,0
212,0,0
212,21,0
212,34,1
212,37,0
213,10,0
213,13,1
213,33,0
213,34,1
214,0,0
214,27,1
214,32,1
215,13,0
