object,worker,response
0,34,3
0,37,3
1,7,3
1,25,3
1,37,3
2,28,1
3,5,3
3,23,3
4,11,2
4,30,2
5,18,2
5,34,3
5,35,2
5,38,2
6,39,2
7,9,3
7,19,3
8,8,3
8,31,1
8,35,3
9,15,1
9,25,2
9,29,1
9,36,1
10,0,1
11,26,1
12,7,2
12,20,2
13,20,3
13,23,3
13,27,3
13,28,3
14,1,2
14,35,2
15,4,1
15,8,0
16,13,3
17,13,2
17,26,2
17,28,1
18,33,1
18,35,1
18,37,1
18,38,1
19,35,0
19,39,2
20,28,2
20,35,0
21,23,0
21,37,1
22,30,1
23,29,2
24,37,1
25,1,3
25,8,3
26,12,1
26,26,0
26,30,1
27,20,1
28,30,2
29,5,1
29,11,1
29,20,1
29,23,1
29,27,1
29,37,1
30,16,0
30,30,2
31,10,3
32,12,0
32,31,0
33,20,0
34,15,0
34,20,0
34,27,0
35,8,3
36,6,3
36,7,2
36,36,3
37,33,3
37,39,2
38,36,3
39,12,2
39,25,2
39,26,2
39,35,2
40,12,0
40,35,2
41,5,3
41,6,3
41,9,2
41,37,3
42,3,3
42,16,3
42,31,3
43,2,0
43,4,1
44,2,1
44,8,1
44,23,1
44,27,1
44,35,1
44,37,1
45,3,3
45,26,1
46,30,3
46,39,3
47,15,2
48,15,3
48,16,1
49,8,1
49,19,1
50,20,3
50,29,1
50,31,1
51,8,1
51,17,1
51,27,1
51,38,1
52,10,0
52,11,0
53,30,2
53,34,1
53,38,2
54,9,2
54,12,2
54,26,2
55,5,3
56,31,1
57,11,3
57,17,0
57,31,3
57,37,1
58,39,1
59,0,3
59,36,3
60,7,0
60,15,1
60,25,0
60,27,1
60,31,3
61,0,0
61,12,0
61,25,1
61,27,0
61,31,1
62,2,3
62,8,3
62,12,3
63,27,0
64,12,2
64,23,2
64,30,2
65,0,0
65,20,3
65,27,0
65,29,0
65,31,0
65,35,0
66,33,2
67,6,2
67,28,0
67,30,0
67,33,1
68,34,3
69,5,0
69,15,2
69,34,2
70,31,0
71,15,1
71,24,0
71,30,0
71,34,0
71,37,0
72,23,0
73,24,0
73,27,0
74,9,3
74,17,3
75,15,3
76,1,3
76,5,1
76,23,1
76,32,1
77,13,3
77,33,1
78,6,2
78,16,0
78,20,2
78,25,2
79,2,2
79,7,3
79,18,2
80,20,2
80,26,2
80,36,3
81,1,2
81,4,2
81,8,2
81,12,2
82,17,3
82,23,1
82,26,3
82,29,2
82,37,3
83,12,0
83,37,0
84,36,3
85,21,2
86,5,3
86,11,3
86,28,3
86,35,3
87,1,3
87,30,1
87,33,2
88,11,2
88,35,3
89,30,0
89,31,0
89,33,2
90,35,1
91,12,3
91,16,0
91,28,0
91,34,0
92,26,1
92,29,1
92,33,2
92,37,1
93,11,3
93,36,2
94,4,1
94,8,2
94,11,2
94,12,0
94,33,1
94,36,3
95,11,0
95,30,0
96,8,1
97,33,2
98,4,0
99,1,2
100,14,1
100,38,2
101,23,2
102,1,3
102,14,3
102,26,3
103,6,2
103,28,3
104,0,2
104,27,2
104,31,2
105,6,1
105,22,1
105,39,1
106,10,3
107,26,0
108,16,2
109,31,2
110,37,3
111,29,0
112,24,0
112,35,0
113,31,0
113,35,0
