object,worker,response
0,5,0
1,22,1
1,34,1
2,16,7
3,0,5
3,12,3
4,8,4
4,25,9
5,18,5
5,25,5
6,11,6
6,39,6
7,18,7
8,4,8
8,25,9
8,37,8
9,3,9
9,16,9
9,25,9
10,7,10
10,11,9
11,13,0
11,39,0
12,5,1
12,14,1
12,24,1
12,25,0
13,11,2
13,13,1
13,31,9
14,22,4
15,30,4
15,31,4
16,17,5
16,28,5
17,3,6
17,4,6
17,9,6
17,36,6
18,18,0
18,26,7
18,34,2
19,0,8
20,12,5
21,24,10
22,16,0
23,2,4
23,25,1
24,5,6
25,5,10
26,27,4
27,5,5
27,6,5
28,11,1
28,28,8
28,39,2
29,5,7
29,37,3
30,14,2
30,34,8
31,25,9
31,26,9
32,2,10
32,20,10
33,4,0
33,7,0
33,18,0
33,24,0
34,0,1
34,7,1
34,19,1
34,24,4
34,28,8
34,31,10
35,37,2
36,11,0
37,39,4
38,22,5
39,30,8
40,30,6
41,7,8
42,5,9
42,13,9
42,25,9
42,27,9
42,36,4
43,5,10
43,24,10
44,2,0
44,11,0
44,25,0
44,27,0
44,34,5
45,35,1
45,36,3
46,26,7
47,5,3
47,11,3
48,36,4
49,34,5
50,7,6
51,9,7
51,37,7
52,37,8
53,16,9
54,2,10
54,31,6
55,4,0
55,11,0
56,12,1
57,25,2
58,4,3
59,0,4
60,1,5
60,14,5
60,31,5
61,26,6
61,39,6
62,13,6
62,24,7
62,39,4
63,39,8
64,6,2
65,36,10
66,4,0
66,12,0
67,25,1
68,27,10
69,26,3
69,39,3
70,3,4
71,5,5
71,14,5
71,34,5
72,12,6
73,17,7
73,18,7
74,24,8
74,25,5
75,24,9
76,0,0
76,18,10
77,25,0
78,24,1
79,4,2
79,31,2
80,34,3
81,39,8
82,2,5
83,2,2
83,27,6
84,32,7
85,3,8
85,4,8
85,22,8
86,27,9
87,5,10
87,7,10
87,25,7
87,31,10
87,39,10
88,4,0
89,18,1
89,34,1
90,31,2
91,18,3
92,26,1
93,0,5
93,13,5
93,25,5
94,17,6
94,25,6
95,8,7
95,39,7
96,34,8
97,4,9
97,25,9
97,26,9
98,5,10
98,37,10
99,5,0
99,8,0
99,24,0
99,28,8
100,25,1
101,4,2
101,5,2
101,27,6
102,0,5
102,25,3
103,22,3
104,33,5
105,3,6
105,16,6
106,24,7
106,36,7
107,3,8
107,11,8
107,25,8
107,34,8
107,36,8
108,21,7
109,6,10
109,14,10
109,25,10
109,31,10
110,2,0
110,18,0
110,24,1
111,30,1
112,18,2
112,21,9
113,24,3
113,31,3
114,27,4
114,31,4
114,39,4
115,13,9
115,37,5
116,21,6
117,17,7
117,18,7
118,4,0
118,5,8
118,25,8
119,11,9
120,36,10
121,25,0
122,7,1
123,37,10
124,13,9
124,25,3
125,24,4
125,37,4
126,31,5
127,19,6
127,24,6
128,25,7
128,39,7
129,2,8
129,13,8
129,18,8
129,24,8
129,39,8
130,27,9
130,31,6
131,34,8
132,8,0
133,0,1
133,7,1
133,18,4
134,4,1
134,17,2
134,24,2
135,4,2
135,12,3
135,31,3
135,39,3
136,35,9
137,4,0
138,34,6
139,7,7
140,4,8
141,7,9
141,31,9
142,3,10
143,8,0
143,25,0
144,14,1
144,21,1
144,24,10
145,3,2
146,35,3
147,2,4
147,11,4
148,8,3
148,18,5
149,18,6
150,24,7
151,5,8
152,26,9
153,2,1
153,8,10
153,26,1
153,34,10
153,39,10
154,2,0
154,16,0
155,4,1
156,10,7
156,37,2
157,24,3
158,17,4
159,3,5
160,22,6
161,8,7
161,16,7
161,25,7
161,39,7
162,30,8
163,39,9
164,14,10
165,39,0
166,11,9
167,7,2
168,7,3
169,11,4
169,17,4
170,37,5
170,39,5
171,34,6
172,5,7
173,13,8
173,25,8
173,26,9
174,35,9
175,2,10
175,4,10
175,6,1
176,7,0
177,10,1
178,24,2
179,24,3
180,18,4
180,24,4
180,34,4
181,15,5
182,11,4
183,29,7
184,24,8
184,36,8
185,21,10
185,36,7
186,17,10
187,10,0
187,17,0
187,27,0
187,34,10
188,4,1
188,25,1
189,2,2
189,24,2
189,27,2
189,31,2
190,26,3
190,31,3
191,9,4
191,26,0
191,27,4
191,34,3
192,31,5
193,24,6
193,39,6
194,31,7
195,24,8
195,34,3
196,4,9
196,13,2
197,28,10
198,27,0
199,5,1
199,12,3
199,39,1
200,10,6
200,24,2
201,2,3
201,7,3
201,24,3
202,5,4
202,18,4
203,4,5
203,31,4
203,39,9
204,13,6
205,39,7
206,2,8
206,12,8
206,17,8
206,36,8
207,5,9
207,8,9
208,25,10
208,31,7
209,33,0
210,14,1
210,37,1
211,11,2
212,4,3
213,6,4
213,11,4
214,12,5
215,5,6
215,12,6
215,39,9
216,27,7
217,0,8
217,6,8
218,16,9
218,27,9
219,4,10
220,11,9
220,23,3
220,24,0
221,33,1
222,8,2
222,24,2
222,39,2
223,0,5
223,2,3
223,10,3
223,34,3
224,2,4
225,13,1
225,31,9
226,14,6
227,25,7
228,2,8
228,11,8
228,28,8
229,29,9
229,39,2
230,5,6
230,34,2
231,2,0
232,5,1
232,7,1
233,39,5
234,3,3
234,24,3
235,13,4
236,4,5
237,6,2
238,1,7
239,13,4
240,23,4
240,39,9
241,8,10
242,24,0
242,36,3
243,5,4
244,5,2
244,26,2
245,31,3
246,27,2
246,39,4
247,0,5
248,2,6
248,18,6
248,25,6
248,27,6
249,27,7
250,39,8
251,7,9
251,24,6
252,2,10
252,5,2
252,12,10
252,24,10
253,27,0
253,37,0
254,20,8
255,28,3
256,17,3
256,37,3
257,0,4
258,7,5
258,36,5
259,24,6
259,39,2
260,31,7
261,2,4
261,4,8
261,7,8
261,34,8
262,13,9
262,25,9
263,3,10
264,2,0
265,14,1
265,17,1
266,4,2
266,34,2
267,17,3
268,8,1
269,28,7
270,4,1
270,34,6
271,2,3
271,31,0
271,39,0
272,2,8
272,23,5
272,36,8
273,10,9
274,34,1
275,11,3
275,28,0
276,12,1
277,8,2
277,13,9
277,39,2
278,7,3
279,37,8
280,7,5
280,26,9
280,34,5
281,6,1
282,2,2
282,21,2
282,24,0
282,29,7
282,36,3
283,5,8
283,7,8
283,8,8
283,11,4
284,5,9
284,6,10
285,5,10
285,6,10
286,5,0
286,6,0
286,39,0
287,5,4
287,37,1
288,18,2
289,5,5
290,37,4
291,28,5
291,37,5
291,39,5
292,18,0
292,31,5
293,23,7
294,4,3
294,8,7
295,24,3
295,27,9
296,36,10
296,39,9
297,25,2
297,31,0
298,14,1
299,36,2
300,22,3
301,31,4
302,5,5
302,12,5
302,14,5
303,0,8
303,14,6
304,23,7
304,34,7
305,31,8
306,24,9
306,26,9
306,27,0
307,4,3
308,12,0
308,24,0
308,27,4
309,9,8
310,0,2
310,24,2
311,7,3
311,24,3
311,25,3
312,30,1
313,11,5
313,24,5
314,3,6
314,7,6
314,11,6
314,27,6
315,0,7
315,13,4
315,31,10
316,25,8
317,15,9
318,4,10
318,5,10
319,17,0
319,25,6
320,22,2
321,2,2
321,13,4
322,11,3
322,30,3
323,5,4
324,4,5
324,13,1
324,35,7
325,11,6
325,21,6
325,25,6
326,27,7
327,18,8
328,7,9
328,18,9
328,24,8
328,31,2
329,18,10
330,21,0
331,2,1
331,7,1
332,3,2
333,24,3
333,29,3
334,7,4
334,27,10
335,18,5
335,25,5
336,2,6
337,6,10
338,4,1
339,7,9
339,24,9
339,31,3
340,29,0
341,4,0
341,34,10
342,5,2
342,13,4
342,24,3
342,25,1
343,2,3
