object,worker,response
0,13,2
1,4,0
1,25,1
1,36,0
1,38,2
1,39,0
2,18,1
3,1,0
3,4,0
3,38,0
4,0,1
4,6,1
4,13,2
5,8,2
5,11,1
5,30,1
6,3,0
6,22,2
6,26,0
7,11,2
7,22,1
8,5,0
8,36,1
9,28,0
10,5,1
10,8,1
11,4,2
12,34,2
12,37,1
13,0,2
13,7,2
13,15,2
14,5,2
14,8,2
14,14,2
14,15,0
14,23,2
14,39,2
15,10,1
15,27,2
15,30,2
16,38,2
17,12,1
17,25,1
18,3,1
19,1,1
20,7,2
20,19,2
20,24,2
21,4,0
21,6,0
21,26,0
22,4,0
23,9,2
23,34,0
24,4,1
24,22,1
25,5,1
25,11,2
25,12,1
26,3,2
26,22,2
27,5,0
27,11,0
27,27,0
28,4,0
28,14,1
28,34,2
29,7,0
29,15,0
30,18,2
30,37,1
31,15,1
31,34,0
32,6,2
32,8,2
33,30,0
34,32,2
35,23,0
35,34,2
36,1,1
36,38,1
37,14,0
38,22,1
38,32,2
39,4,0
40,14,1
41,5,0
41,35,0
42,6,2
42,7,2
42,23,2
42,30,0
43,10,2
43,15,2
43,24,2
43,34,1
44,0,1
44,12,2
44,16,1
44,30,1
45,22,0
46,15,2
46,33,2
46,38,0
46,39,2
47,8,2
47,15,0
47,25,1
48,13,1
48,25,1
48,33,1
49,1,2
49,14,1
50,14,2
51,7,0
51,18,0
51,22,0
52,12,0
52,33,1
53,26,2
54,14,1
54,32,0
54,33,2
54,34,1
55,8,1
56,8,1
56,15,1
57,7,1
57,25,1
57,33,0
58,3,0
59,0,1
59,16,1
59,36,1
60,5,1
60,7,2
60,16,1
61,25,2
62,28,1
63,5,2
64,3,2
64,12,0
65,16,0
65,38,2
66,4,2
67,3,2
67,34,2
67,36,1
68,3,1
68,24,0
69,18,2
70,3,0
70,5,1
70,34,2
71,0,1
71,9,1
71,15,1
71,36,1
72,8,0
72,36,1
73,0,0
73,14,1
73,22,0
74,15,0
75,8,0
75,19,2
76,18,0
77,8,1
77,11,2
77,30,1
77,34,1
77,36,1
77,38,1
78,3,0
78,5,0
78,18,1
78,22,0
78,23,2
78,32,0
78,34,1
78,36,1
79,14,1
80,15,0
80,19,2
81,33,1
81,34,2
81,36,1
82,5,1
83,15,0
83,16,0
83,25,0
83,28,1
84,8,2
84,30,1
85,3,0
85,4,0
85,22,0
