worker,label_prob,quality,n_labels
0,0.08943782684389073,0.7562162850545759,473
1,0.03463190050708943,0.7611983103905208,193
2,0.012051002405653145,0.6727154670757644,58
3,0.09546615036923656,0.7437283727894137,508
4,0.07591827229617505,0.881345508753647,395
5,0.09792592374538438,0.8227756865682138,531
6,0.03176395062775733,0.7550632841376844,166
7,0.07782748674796205,0.6515772609137318,406
8,0.08752361227851405,0.7581844733292484,460
9,0.014986456151981409,0.7744749991114392,87
10,0.03415021582029594,0.8041502976552591,188
11,0.09842503682959076,0.8108124298096003,470
12,0.0198023203592133,0.7297850145725294,121
13,0.06328597468455587,0.7527537957663792,323
14,0.06172171114294775,0.7913795003338034,339
15,0.07587978843498246,0.694740788673949,403
16,0.07575879533009768,0.6515414603340993,392
17,0.00849404243913461,0.7196842919368855,61
18,0.05162322964274449,0.6237609171812843,280
19,0.01619696417330149,0.8297036912261017,83
20,0.0035590693929037688,0.6327188514683311,26
21,0.00033448639950776074,0.7247000946731379,16
22,0.09254442950266911,0.8450673242271285,511
23,0.031074595931611795,0.7772121141545405,171
24,0.06623578432672557,0.8864621279592115,374
25,0.06424979398000649,0.6061395619623856,343
26,0.04381156377104126,0.7165342483858859,255
27,0.029827334378553727,0.8944681229669994,176
28,0.022026395959764203,0.6684391885042529,112
29,0.0006366534507360245,0.7615462730809237,15
30,0.060002109588071506,0.6409479001606863,317
31,0.0001734589534536868,0.7392682725453227,17
32,0.08507737032316391,0.6204661520978383,453
33,0.09486749739443764,0.7035996358473857,466
34,0.09209398839249894,0.6159721545377228,497
35,0.0371347146051483,0.8396489381531875,182
36,0.06916373587985909,0.6108908383369751,387
37,0.04405687364005885,0.7589201579828032,234
38,0.08052527418126225,0.8118987124625922,383
39,0.03731622038948852,0.7781286360461017,186
