object,worker,response
0,37,0
1,10,0
2,14,2
2,33,3
3,13,0
4,1,4
4,31,0
4,39,0
5,3,0
5,34,0
6,26,6
7,0,3
7,4,1
8,10,3
8,13,3
9,30,0
10,24,0
10,31,0
10,38,2
11,4,2
12,9,3
13,18,6
13,21,2
13,25,6
13,30,6
13,36,6
14,7,6
14,11,6
14,17,0
14,21,6
15,13,1
15,24,6
15,26,6
15,37,4
16,34,1
17,19,4
17,30,0
17,36,3
18,4,1
18,32,6
18,34,3
19,12,0
19,28,0
19,34,0
20,4,1
20,13,1
20,29,1
21,23,1
22,15,1
23,10,1
23,17,1
23,31,1
24,31,5
24,37,5
25,13,4
25,15,4
25,17,3
25,22,4
25,31,4
25,33,4
25,38,4
26,24,4
27,30,3
28,6,0
29,4,1
29,6,0
29,13,0
29,27,0
30,17,5
31,3,0
31,24,1
31,30,0
31,31,0
32,5,0
32,7,0
32,21,0
33,2,1
33,4,1
33,8,4
33,11,1
34,12,3
35,20,0
35,24,0
36,2,0
37,0,6
37,38,5
38,7,3
38,9,3
38,30,3
39,24,5
40,4,4
40,7,5
41,2,1
41,24,0
41,26,1
42,24,5
43,33,1
43,36,1
43,37,1
44,4,0
44,25,0
44,27,0
45,39,4
46,17,6
47,9,2
48,13,3
49,30,0
50,11,0
50,14,0
50,31,0
51,16,5
51,25,5
51,37,5
52,13,4
52,17,4
52,19,4
53,29,5
54,10,0
54,14,0
54,29,0
55,14,1
56,19,1
57,36,1
58,4,1
58,13,4
59,15,1
59,36,1
60,37,5
61,17,3
61,30,5
61,35,3
62,26,5
63,28,0
64,3,4
64,4,3
65,2,4
65,17,4
65,35,0
65,36,0
66,0,0
66,13,0
66,36,0
67,23,0
67,33,0
68,36,2
69,15,0
69,37,0
70,23,0
70,34,0
70,36,0
71,2,1
71,15,5
72,12,6
72,20,6
73,2,5
73,10,0
73,13,3
73,19,2
73,27,3
73,31,3
74,4,0
74,31,0
75,21,0
76,11,2
76,12,2
76,14,2
76,37,2
77,18,4
77,19,6
78,17,1
78,19,5
79,4,0
79,7,5
79,29,1
80,31,2
81,21,6
81,24,5
81,31,6
82,16,3
83,7,1
84,2,4
84,13,0
84,17,0
84,21,0
85,13,6
85,34,6
86,7,3
87,20,0
88,19,5
88,33,5
89,4,4
90,14,2
90,17,3
90,28,2
90,29,2
91,3,2
92,23,3
93,24,0
94,18,5
95,6,1
95,10,1
96,5,0
97,13,4
97,37,5
98,31,4
99,12,6
100,13,1
100,17,3
