worker,label_prob,quality,n_labels
0,0.021329168152619784,0.6459387140489857,3
1,0.0006007274410150033,0.6536030814737677,1
2,0.05911469277025974,0.808009928268288,7
3,0.029323900870487776,0.7444416924590246,4
4,0.08805094320734852,0.7207812176895173,13
5,0.015866948373323198,0.7741386281832561,2
6,0.036808256240181324,0.8264607824221899,3
7,0.05711310909837647,0.7816248163814116,7
8,0.006536331612652425,0.6489215650305803,1
9,0.04187763049579655,0.8315247391909976,3
10,0.04113006198868696,0.8720763656350025,6
11,0.018072334339549023,0.8534248545073778,4
12,0.026767428503277214,0.7755470954292516,5
13,0.09872364325490451,0.6997794485923826,15
14,0.07037250369324491,0.6077870739572904,6
15,0.027093572691373236,0.7625493237382327,5
16,0.03662844513903812,0.792012815130496,2
17,0.08069802979944077,0.6110564276450259,12
18,0.05025863909080297,0.7823505572338589,3
19,0.08072425321306348,0.6082680736272462,7
20,0.01824631996882139,0.795183398014409,3
21,0.036186589136476925,0.6041459663379514,6
22,0.005587181811255216,0.8641656631050789,1
23,0.06391735294461942,0.8651171052717554,4
24,0.04282110495334444,0.7615306335502351,10
25,0.03720112545162198,0.8860796026055072,3
26,0.030863645516301098,0.7043024977594928,4
27,0.04596571709536035,0.805010691894667,3
28,0.01569144115740122,0.8421747094341856,3
29,0.04060112154218762,0.846302050171911,5
30,0.07689179230551718,0.7068735196332189,8
31,0.07124622006429658,0.8818348393774589,12
32,0.026661104910386216,0.7377224671332333,1
33,0.06804586472812588,0.7314106265760845,5
34,0.08313746981898901,0.7963788943544051,6
35,0.006859248877273883,0.7687195413883423,2
36,0.039999651389389636,0.6030927442634655,9
37,0.09084397401222012,0.7111772774332151,9
38,0.05953581014901896,0.6617482988569697,3
39,0.012775400014358153,0.763908660881863,2
